nci60	ccle	cgp	gdsc	gdscDec15	ctrp	nciSclc	mdaMills
NA	EFM-19	EFM-19	EFM-19	EFM-19	NA	NA	EFM19
NA	MEL-HO	MEL-HO	MEL-HO	MEL-HO	MEL-HO	NA	NA
NA	RL	RL	RL	RL	RL	NA	RL
NA	G-361	G-361	G-361	G-361	G-361	NA	G361
NA	GMS-10	GMS-10	GMS-10	GMS-10	GMS-10	NA	NA
NA	KYSE-70	KYSE-70	KYSE-70	KYSE-70	KYSE-70	NA	NA
NA	GAMG	GAMG	GAMG	GAMG	GAMG	NA	NA
NA	COLO 741	COLO-741	COLO-741	COLO-741	COLO 741	NA	COLO741
NA	HD-MY-Z	HD-MY-Z	HD-MY-Z	HD-MY-Z	HD-MY-Z	NA	NA
NA	NCI-H661	NCI-H661	NCI-H661	NCI-H661	NCI-H661	NA	H661
NA	LNCaP clone FGC	LNCaP-Clone-FGC	LNCaP-Clone-FGC	LNCaP-Clone-FGC	LNCaP clone FGC	NA	NA
NA	LS411N	LS-411N	LS-411N	LS-411N	LS411N	NA	LS411N
NA	YKG1	YKG-1	YKG-1	YKG-1	YKG1	NA	NA
NA	ESS-1	ESS-1	ESS-1	ESS-1	ESS-1	NA	ESS1
NA	TE-11	TE-11	TE-11	TE-11	TE-11	NA	NA
NA	KS-1	KS-1	KS-1	KS-1	NA	NA	NA
NA	TE-1	TE-1	TE-1	TE-1	TE-1	NA	NA
NA	TE-5	TE-5	TE-5	TE-5	TE-5	NA	NA
NA	NCI-H1155	NCI-H1155	NCI-H1155	NCI-H1155	NCI-H1155	NA	H1155
NA	TE-15	TE-15	TE-15	TE-15	TE-15	NA	NA
NA	ABC-1	ABC-1	ABC-1	ABC-1	NA	NA	NA
NA	8-MG-BA	8-MG-BA	8-MG-BA	8-MG-BA	8-MG-BA	NA	NA
NA	NCI-H1703	NCI-H1703	NCI-H1703	NCI-H1703	NCI-H1703	NA	H1703
NA	AGS	AGS	AGS	AGS	AGS	NA	AGS
NA	Detroit 562	Detroit562	Detroit562	Detroit562	Detroit 562	NA	NA
NA	LoVo	LoVo	LoVo	LoVo	LoVo	NA	LOVO
NA	SK-MEL-30	SK-MEL-30	SK-MEL-30	SK-MEL-30	SK-MEL-30	NA	NA
NA	22Rv1	22RV1	22RV1	22RV1	22Rv1	NA	NA
NA	C32	C32	C32	C32	C32	NA	NA
NA	Panc 03.27	PANC-03-27	PANC-03-27	PANC-03-27	Panc 03.27	NA	PANC0327
NA	NCI-H1395	NCI-H1395	NCI-H1395	NCI-H1395	NCI-H1395	NA	H1395
NA	LS1034	LS-1034	LS-1034	LS-1034	LS1034	NA	NA
NA	SW48	SW48	SW48	SW48	SW48	NA	SW48
NA	CHP-212	CHP-212	CHP-212	CHP-212	CHP-212	NA	NA
NA	NCI-H747	NCI-H747	NCI-H747	NCI-H747	NCI-H747	NA	H747
NA	SW1417	SW1417	SW1417	SW1417	SW1417	NA	SW1417
NA	SW948	SW948	SW948	SW948	SW948	NA	NA
NA	MDA-MB-415	MDA-MB-415	MDA-MB-415	MDA-MB-415	MDA-MB-415	NA	MDAMB415
NA	DMS 79	DMS-79	DMS-79	DMS-79	DMS 79	DMS 79	DMS79
NA	MDA-MB-468	MDA-MB-468	MDA-MB-468	MDA-MB-468	MDA-MB-468	NA	MDAMB468
NA	NCI-H526	NCI-H526	NCI-H526	NCI-H526	NCI-H526	NCI-H526	NA
NA	NCI-H2196	NCI-H2196	NCI-H2196	NCI-H2196	NCI-H2196	NA	NA
NA	CAL-85-1	CAL-85-1	CAL-85-1	CAL-85-1	CAL-85-1	NA	CAL851
NA	EFO-21	EFO-21	EFO-21	EFO-21	EFO-21	NA	EF021
NA	A-375	A375	A375	A375	A-375	NA	A375
NA	NCI-H446	NCI-H446	NCI-H446	NCI-H446	NCI-H446	NCI-H446	H446
NA	RMG-I	RMG-I	RMG-I	RMG-I	RMG-I	NA	NA
NA	RT-112	RT-112	RT-112	RT-112	RT-112	NA	NA
NA	NUGC-3	NUGC-3	NUGC-3	NUGC-3	NUGC-3	NA	NUGC3
NA	U-87 MG	U-87-MG	U-87-MG	U-87-MG	U-87 MG	NA	NA
NA	OE19	OE19	OE19	OE19	OE19	NA	OE19
NA	T84	T84	T84	T84	T84	NA	NA
NA	Calu-1	Calu-1	NA	Calu-1	Calu-1	NA	CALU1
NA	NCI-H2170	NCI-H2170	NCI-H2170	NCI-H2170	NCI-H2170	NA	H2170
NA	AN3 CA	AN3-CA	AN3-CA	AN3-CA	AN3 CA	NA	AN3CA
NA	KYSE-510	KYSE-510	KYSE-510	KYSE-510	KYSE-510	NA	NA
NA	HUP-T4	HuP-T4	HuP-T4	HuP-T4	HUP-T4	NA	NA
NA	KYSE-150	KYSE-150	KYSE-150	KYSE-150	KYSE-150	NA	NA
NA	PSN1	PSN1	PSN1	PSN1	PSN1	NA	PSN1
NA	NCI-H1299	NCI-H1299	NCI-H1299	NCI-H1299	NCI-H1299	NA	H1299
NA	SCC-25	SCC-25	SCC-25	SCC-25	SCC-25	NA	SCC25
NA	MHH-NB-11	MHH-NB-11	MHH-NB-11	MHH-NB-11	MHH-NB-11	NA	NA
NA	HCC1806	HCC1806	HCC1806	HCC1806	HCC1806	NA	HCC1806
NA	MONO-MAC-6	MONO-MAC-6	MONO-MAC-6	MONO-MAC-6	MONO-MAC-6	NA	NA
NA	MKN7	MKN7	MKN7	MKN7	MKN7	NA	NA
NA	SW-1710	SW1710	SW1710	SW1710	SW-1710	NA	NA
NA	MOLT-13	MOLT-13	MOLT-13	MOLT-13	MOLT-13	NA	NA
NA	SCC-15	SCC-15	SCC-15	SCC-15	NA	NA	SCC15
NA	NCI-H2126	NCI-H2126	NCI-H2126	NCI-H2126	NCI-H2126	NA	H2126
NA	NCI-H2141	NCI-H2141	NCI-H2141	NCI-H2141	NCI-H2141	NCI-H2141	NA
NA	RD	RD	RD	RD	RD	NA	RD
NA	TT	TT	TT	TT	TT	NA	NA
NA	UACC-812	UACC-812	UACC-812	UACC-812	UACC-812	NA	UACC812
NA	CAL-148	CAL-148	CAL-148	CAL-148	CAL-148	NA	CAL148
NA	MDA-MB-134-VI	MDA-MB-134-VI	MDA-MB-134-VI	MDA-MB-134-VI	NA	NA	MDAMB134VI
NA	HCC1599	HCC1599	HCC1599	HCC1599	NA	NA	HCC1599
NA	SK-MM-2	SK-MM-2	SK-MM-2	SK-MM-2	SK-MM-2	NA	SKMM2
NA	COLO-680N	COLO-680N	COLO-680N	COLO-680N	COLO-680N	NA	NA
NA	COLO-678	COLO-678	COLO-678	COLO-678	COLO-678	NA	COLO678
NA	LAMA-84	LAMA-84	LAMA-84	LAMA-84	LAMA-84	NA	NA
NA	EHEB	EHEB	EHEB	EHEB	EHEB	NA	EHEB
NA	CAL-54	CAL-54	CAL-54	CAL-54	CAL-54	NA	NA
NA	BV-173	BV-173	BV-173	BV-173	BV-173	NA	NA
NA	DOHH-2	DOHH-2	DOHH-2	DOHH-2	DOHH-2	NA	DOHH2
NA	NALM-6	NALM-6	NALM-6	NALM-6	NALM-6	NA	NALM6
NA	VM-CUB1	VM-CUB-1	VM-CUB-1	VM-CUB-1	VM-CUB1	NA	NA
NA	LP-1	LP-1	LP-1	LP-1	LP-1	NA	LP1
NA	LXF-289	LXF-289	LXF-289	LXF-289	LXF-289	NA	NA
NA	PF-382	PF-382	PF-382	PF-382	PF-382	NA	NA
NA	OCI-AML2	OCI-AML2	OCI-AML2	OCI-AML2	OCI-AML2	NA	NA
NA	KE-37	KE-37	KE-37	KE-37	KE-37	NA	NA
NA	KARPAS-422	KARPAS-422	KARPAS-422	KARPAS-422	KARPAS-422	NA	KARPAS422
NA	L-540	L-540	L-540	L-540	L-540	NA	NA
NA	HDLM-2	HDLM-2	HDLM-2	HDLM-2	HDLM-2	NA	NA
NA	SCLC-21H	SCLC-21H	NA	SCLC-21H	SCLC-21H	NA	NA
NA	Calu-3	Calu-3	Calu-3	Calu-3	Calu-3	NA	CALU3
NA	NCI-H2009	NCI-H2009	NCI-H2009	NCI-H2009	NCI-H2009	NA	NA
NA	HCC1419	HCC1419	HCC1419	HCC1419	HCC1419	NA	HCC1419
NA	SHP-77	SHP-77	SHP-77	SHP-77	SHP-77	SHP-77	SHP77
NA	NB-1	NB1	NB1	NB1	NB-1	NA	NA
NA	ZR-75-30	ZR-75-30	ZR-75-30	ZR-75-30	ZR-75-30	NA	ZR7530
NA	NCI-H2405	NCI-H2405	NCI-H2405	NCI-H2405	NCI-H2405	NA	NA
NA	DEL	DEL	DEL	DEL	DEL	NA	DEL
NA	BEN	BEN	BEN	BEN	BEN	NA	NA
NA	RPMI-8402	RPMI-8402	RPMI-8402	RPMI-8402	RPMI-8402	NA	NA
NA	SU-DHL-1	SU-DHL-1	SU-DHL-1	SU-DHL-1	SU-DHL-1	NA	NA
NA	P12-ICHIKAWA	P12-ICHIKAWA	P12-ICHIKAWA	P12-ICHIKAWA	P12-ICHIKAWA	NA	NA
NA	BFTC-905	BFTC-905	BFTC-905	BFTC-905	BFTC-905	NA	NA
NA	BFTC-909	BFTC-909	BFTC-909	BFTC-909	BFTC-909	NA	NA
NA	MHH-ES-1	MHH-ES-1	NA	MHH-ES-1	MHH-ES-1	NA	NA
NA	JVM-3	JVM-3	JVM-3	JVM-3	JVM-3	NA	NA
NA	NOMO-1	NOMO-1	NOMO-1	NOMO-1	NOMO-1	NA	NA
NA	NCI-H727	NCI-H727	NCI-H727	NCI-H727	NCI-H727	NA	H727
NA	MKN-45	MKN45	MKN45	MKN45	MKN-45	NA	MKN45
NA	8505C	8505C	8505C	8505C	8505C	NA	NA
NA	KU-19-19	KU-19-19	KU-19-19	KU-19-19	KU-19-19	NA	NA
NA	S-117	S-117	S-117	S-117	NA	NA	NA
NA	EM-2	EM-2	EM-2	EM-2	EM-2	NA	NA
NA	OPM-2	OPM-2	OPM-2	OPM-2	OPM-2	NA	OPM2
NA	CAL-62	CAL-62	CAL-62	CAL-62	CAL-62	NA	NA
NA	LCLC-103H	LCLC-103H	LCLC-103H	LCLC-103H	LCLC-103H	NA	NA
NA	697	697	697	697	697	NA	NA
NA	MHH-CALL-2	MHH-CALL-2	MHH-CALL-2	MHH-CALL-2	NA	NA	NA
NA	L-428	L-428	L-428	L-428	L-428	NA	NA
NA	MOLT-16	MOLT-16	MOLT-16	MOLT-16	MOLT-16	NA	NA
NA	LCLC-97TM1	LCLC-97TM1	LCLC-97TM1	LCLC-97TM1	LCLC-97TM1	NA	NA
NA	23132/87	23132-87	23132-87	23132-87	23132/87	NA	NA
NA	BHT-101	BHT-101	BHT-101	BHT-101	BHT-101	NA	NA
NA	JVM-2	JVM-2	JVM-2	JVM-2	JVM-2	NA	JVM2
NA	CAL-51	CAL-51	CAL-51	CAL-51	CAL-51	NA	CAL51
NA	L-363	L-363	L-363	L-363	L-363	NA	L363
NA	KM-H2	KM-H2	KM-H2	KM-H2	KM-H2	NA	KMH2
NA	SIMA	SIMA	SIMA	SIMA	SIMA	NA	NA
NA	B-CPAP	BCPAP	BCPAP	BCPAP	B-CPAP	NA	NA
NA	639-V	639-V	639-V	639-V	639-V	NA	NA
NA	CAL-120	CAL-120	CAL-120	CAL-120	CAL-120	NA	CAL120
NA	647-V	647-V	647-V	647-V	647-V	NA	NA
NA	RH-18	RH-18	RH-18	RH-18	RH-18	NA	NA
NA	Capan-2	Capan-2	Capan-2	Capan-2	Capan-2	NA	NA
NA	HuNS1	HuNS1	NA	NA	HuNS1	NA	NA
NA	AML-193	AML-193	NA	NA	AML-193	NA	NA
NA	NH-6	NH-6	NA	NA	NH-6	NA	NA
NA	NCI-H508	NCI-H508	NA	NCI-H508	NCI-H508	NA	NA
NA	HuH-6	HUH-6-clone5	NA	HUH-6-clone5	HuH-6	NA	NA
NA	KP-N-SI9s	KP-N-S19s	NA	NA	KP-N-SI9s	NA	NA
NA	HuH28	HuH-28	NA	NA	HuH28	NA	NA
NA	MJ	MJ	NA	NA	MJ	NA	NA
NA	NCI-H1105	NCI-H1105	NCI-H1105	NCI-H1105	NCI-H1105	NCI-H1105	NA
NA	COR-L51	COR-L51	NA	NA	COR-L51	NA	NA
NA	NCI-H1930	NCI-H1930	NA	NA	NA	NCI-H1930	NA
NA	MOG-G-UVW	MOG-G-UVW	MOG-G-UVW	MOG-G-UVW	NA	NA	NA
NA	NCI-H146	NCI-H146	NCI-H146	NCI-H146	NCI-H146	NCI-H146	NA
NA	SW403	SW403	NA	SW403	NA	NA	NA
NA	KATO III	KATOIII	KATOIII	KATOIII	KATO III	NA	NA
NA	MOG-G-CCM	MOG-G-CCM	MOG-G-CCM	MOG-G-CCM	NA	NA	NA
NA	CML-T1	CML-T1	CML-T1	CML-T1	CML-T1	NA	NA
NA	NALM-1	NALM-1	NA	NA	NA	NA	NA
NA	MHH-CALL-4	MHH-CALL-4	MHH-CALL-4	NA	MHH-CALL-4	NA	NA
NA	NB-4	NB4	NB4	NB4	NB-4	NA	NA
NA	1321N1	NA	NA	NA	NA	NA	NA
NA	143B	NA	NA	NA	NA	NA	NA
NA	253J	NA	NA	NA	253J	NA	NA
NA	253J-BV	NA	NA	NA	253J-BV	NA	NA
NA	42-MG-BA	NA	42-MG-BA	42-MG-BA	42-MG-BA	NA	NA
NA	59M	NA	NA	NA	NA	NA	59M
NA	8305C	NA	8305C	8305C	8305C	NA	NA
NA	A1207	NA	NA	NA	NA	NA	NA
NA	A4/Fuk	NA	NA	NA	A4/Fuk	NA	NA
NA	ACC-MESO-1	NA	NA	NA	ACC-MESO-1	NA	NA
NA	Alexander cells	NA	NA	NA	NA	NA	NA
NA	ALL-SIL	NA	ALL-SIL	ALL-SIL	ALL-SIL	NA	NA
NA	AMO-1	NA	AMO-1	AMO-1	AMO-1	NA	AMO1
NA	AU565	NA	AU565	AU565	AU565	NA	AU565
NA	AZ-521	NA	NA	NA	NA	NA	NA
NA	BC-3C	NA	NA	NA	BC-3C	NA	NA
NA	BCP-1	NA	NA	NA	BCP-1	NA	NA
NA	BDCM	NA	NA	NA	BDCM	NA	NA
NA	BICR 16	NA	NA	NA	BICR 16	NA	NA
NA	BICR 18	NA	NA	NA	BICR 18	NA	NA
NA	BICR 22	NA	BICR22	BICR22	BICR 22	NA	NA
NA	BICR 31	NA	BICR31	BICR31	BICR 31	NA	NA
NA	BICR 56	NA	NA	NA	BICR 56	NA	NA
NA	BICR 6	NA	NA	NA	BICR 6	NA	NA
NA	BJ hTERT	NA	NA	NA	NA	NA	NA
NA	BT-474	NA	BT-474	BT-474	BT-474	NA	BT474
NA	BT-483	NA	BT-483	BT-483	NA	NA	BT483
NA	CADO-ES1	NA	CADO-ES1	CADO-ES1	CADO-ES1	NA	NA
NA	Caki-2	NA	NA	NA	Caki-2	NA	CAKI2
NA	CAL-29	NA	CAL-29	CAL-29	CAL-29	NA	NA
NA	CAL-78	NA	CAL-78	CAL-78	CAL-78	NA	NA
NA	CCK-81	NA	CCK-81	CCK-81	CCK-81	NA	NA
NA	CH-157MN	NA	NA	NA	NA	NA	NA
NA	CHP-126	NA	CHP-126	CHP-126	CHP-126	NA	NA
NA	CI-1	NA	NA	NA	CI-1	NA	NA
NA	CJM	NA	NA	NA	CJM	NA	NA
NA	CL-11	NA	CL-11	CL-11	CL-11	NA	CL11
NA	CL-14	NA	NA	NA	NA	NA	CL14
NA	CL-34	NA	CL-34	CL-34	CL-34	NA	CL34
NA	CL-40	NA	CL-40	CL-40	NA	NA	CL40
NA	CMK-11-5	NA	NA	NA	NA	NA	NA
NA	CMK-86	NA	NA	NA	NA	NA	NA
NA	COLO 201	NA	NA	NA	COLO 201	NA	COLO201
NA	COLO 684	NA	NA	NA	COLO 684	NA	COLO684
NA	COLO 775	NA	NA	NA	NA	NA	NA
NA	COLO 829	NA	COLO-829	COLO-829	COLO 829	NA	COLO829
NA	COLO-320	NA	COLO-320	NA	COLO-320	NA	COLO320
NA	COLO-677	NA	NA	NA	NA	NA	NA
NA	COLO-704	NA	NA	NA	NA	NA	NA
NA	COLO-783	NA	COLO-783	COLO-783	NA	NA	NA
NA	COLO-818	NA	NA	NA	NA	NA	NA
NA	COLO-849	NA	NA	NA	NA	NA	NA
NA	COR-L24	NA	NA	NA	NA	NA	NA
NA	COR-L311	NA	COR-L311	COR-L311	NA	NA	NA
NA	COR-L47	NA	NA	NA	COR-L47	COR-L47	NA
NA	COR-L95	NA	COR-L95	COR-L95	COR-L95	NA	NA
NA	COV318	NA	NA	NA	NA	NA	COV318
NA	COV362	NA	NA	NA	COV362	NA	NA
NA	COV434	NA	NA	NA	COV434	NA	NA
NA	COV504	NA	NA	NA	NA	NA	NA
NA	COV644	NA	NA	NA	COV644	NA	NA
NA	D341 Med	NA	NA	NA	NA	NA	NA
NA	DAN-G	NA	DAN-G	DAN-G	DAN-G	NA	DANG
NA	DFCI024	NA	NA	NA	NA	NA	DFCI024
NA	DLD-1	NA	NA	NA	DLD-1	NA	DLD1
NA	DM-3	NA	NA	NA	NA	NA	NA
NA	DMS 454	NA	NA	NA	DMS 454	NA	NA
NA	DND-41	NA	DND-41	DND-41	DND-41	NA	NA
NA	EB1	NA	NA	NA	EB1	NA	EB1
NA	EBC-1	NA	EBC-1	EBC-1	EBC-1	NA	NA
NA	ECC10	NA	ECC10	ECC10	ECC10	NA	NA
NA	EFE-184	NA	NA	EFE-184	EFE-184	NA	EFE184
NA	EFM-192A	NA	EFM-192A	EFM-192A	EFM-192A	NA	EFM192A
NA	EJM	NA	EJM	EJM	EJM	NA	NA
NA	EN	NA	EN	EN	EN	NA	EN
NA	EOL-1	NA	NA	NA	EOL-1	NA	NA
NA	ES-2	NA	ES-2	ES-2	ES-2	NA	ES2
NA	EW8	NA	NA	NA	NA	NA	NA
NA	EWS502	NA	NA	NA	NA	NA	NA
NA	F-36P	NA	NA	NA	F-36P	NA	NA
NA	F5	NA	NA	NA	NA	NA	NA
NA	FTC-238	NA	NA	NA	FTC-238	NA	NA
NA	FU-OV-1	NA	FU-OV-1	FU-OV-1	FU-OV-1	NA	FUOV1
NA	FU97	NA	FU97	FU97	FU97	NA	FU97
NA	"G-292, clone A141B1"	NA	G-292-Clone-A141B1	G-292-Clone-A141B1	"G-292, clone A141B1"	NA	NA
NA	G-402	NA	G-402	G-402	G-402	NA	NA
NA	GA-10	NA	GA-10	GA-10	GA-10	NA	NA
NA	GB-1	NA	GB-1	GB-1	GB-1	NA	NA
NA	GOS-3	NA	NA	NA	GOS-3	NA	NA
NA	GP2d	NA	NA	NA	GP2d	NA	NA
NA	GR-M	NA	NA	NA	NA	NA	NA
NA	GRANTA-519	NA	GRANTA-519	GRANTA-519	GRANTA-519	NA	GRANTA519
NA	GSS	NA	NA	NA	GSS	NA	NA
NA	GSU	NA	NA	NA	GSU	NA	NA
NA	HARA	NA	HARA	HARA	HARA	NA	NA
NA	HCC-1171	NA	NA	NA	HCC-1171	NA	NA
NA	HCC-1195	NA	NA	NA	HCC-1195	NA	HCC1195
NA	HCC-1359	NA	NA	NA	NA	NA	HCC1359
NA	HCC-1438	NA	NA	NA	HCC-1438	NA	HCC1438
NA	HCC-15	NA	HCC-15	HCC-15	HCC-15	NA	HCC15
NA	HCC-1588	NA	NA	NA	HCC-1588	NA	NA
NA	HCC-1833	NA	NA	NA	HCC-1833	NA	HCC1833
NA	HCC-1897	NA	NA	NA	NA	NA	HCC1897
NA	HCC-2108	NA	NA	NA	HCC-2108	NA	HCC2108
NA	HCC-2279	NA	NA	NA	HCC-2279	NA	HCC2279
NA	HCC-2814	NA	NA	NA	NA	NA	HCC2814
NA	HCC-33	NA	NA	HCC-33	HCC-33	NA	NA
NA	HCC-366	NA	HCC-366	HCC-366	HCC-366	NA	HCC366
NA	HCC-44	NA	HCC-44	HCC-44	HCC-44	NA	NA
NA	HCC-56	NA	HCC-56	HCC-56	HCC-56	NA	NA
NA	HCC-78	NA	HCC-78	HCC-78	HCC-78	NA	HCC78
NA	HCC-827-GR5	NA	NA	NA	NA	NA	NA
NA	HCC-95	NA	NA	NA	HCC-95	NA	HCC95
NA	HCC1428	NA	HCC1428	HCC1428	HCC1428	NA	HCC1428
NA	HCC1500	NA	HCC1500	HCC1500	HCC1500	NA	HCC1500
NA	HCC1569	NA	HCC1569	HCC1569	HCC1569	NA	HCC1569
NA	HCC202	NA	HCC202	HCC202	HCC202	NA	HCC202
NA	HCC2935	NA	NA	NA	HCC2935	NA	NA
NA	HCC364	NA	NA	NA	NA	NA	HCC364
NA	HCC4006	NA	NA	NA	HCC4006	NA	NA
NA	HCC827	NA	HCC-827	HCC-827	HCC827	NA	HCC827
NA	HCT-8	NA	NA	NA	HCT-8	NA	HCT8
NA	HDQ-P1	NA	HDQ-P1	HDQ-P1	HDQ-P1	NA	HDQP1
NA	HEC-1-A	NA	NA	NA	HEC-1-A	NA	HEC1A
NA	HEC-108	NA	NA	NA	HEC-108	NA	HEC108
NA	HEC-151	NA	NA	NA	HEC-151	NA	NA
NA	HEC-251	NA	NA	NA	HEC-251	NA	HEC251
NA	HEC-265	NA	NA	NA	HEC-265	NA	HEC265
NA	HEC-50B	NA	NA	NA	HEC-50B	NA	HEC50B
NA	HEC-59	NA	NA	NA	HEC-59	NA	HEC59
NA	HEC-6	NA	NA	NA	HEC-6	NA	HEC6
NA	HEK TE	NA	NA	NA	NA	NA	NA
NA	HEL 92.1.7	NA	NA	NA	HEL 92.1.7	NA	NA
NA	Hep 3B2.1-7	NA	Hep3B2-1-7	Hep3B2-1-7	Hep 3B2.1-7	NA	NA
NA	Hep G2	NA	NA	NA	Hep G2	NA	HEPG2
NA	Hey-A8	NA	NA	NA	Hey-A8	NA	HEYA8
NA	HK-2	NA	NA	NA	NA	NA	NA
NA	HLC-1	NA	NA	NA	NA	NA	NA
NA	HLF	NA	NA	NA	HLF	NA	HLF
NA	HLF-a	NA	NA	NA	NA	NA	NA
NA	HMC-1-8	NA	NA	NA	HMC-1-8	NA	NA
NA	HMCB	NA	NA	NA	HMCB	NA	NA
NA	HMEL	NA	NA	NA	NA	NA	NA
NA	HPAC	NA	HPAC	HPAC	HPAC	NA	NA
NA	HPB-ALL	NA	NA	NA	HPB-ALL	NA	NA
NA	Hs 172.T	NA	NA	NA	NA	NA	NA
NA	Hs 229.T	NA	NA	NA	NA	NA	NA
NA	Hs 255.T	NA	NA	NA	NA	NA	NA
NA	Hs 274.T	NA	NA	NA	NA	NA	NA
NA	Hs 281.T	NA	NA	NA	NA	NA	NA
NA	Hs 294T	NA	NA	NA	Hs 294T	NA	NA
NA	Hs 343.T	NA	NA	NA	NA	NA	NA
NA	Hs 571.T	NA	NA	NA	NA	NA	NA
NA	Hs 600.T	NA	NA	NA	NA	NA	NA
NA	Hs 604.T	NA	NA	NA	NA	NA	NA
NA	Hs 606.T	NA	NA	NA	NA	NA	NA
NA	Hs 611.T	NA	NA	NA	Hs 611.T	NA	NA
NA	Hs 616.T	NA	NA	NA	NA	NA	NA
NA	Hs 618.T	NA	NA	NA	NA	NA	NA
NA	Hs 675.T	NA	NA	NA	NA	NA	NA
NA	Hs 683	NA	Hs-683	Hs-683	Hs 683	NA	NA
NA	Hs 688(A).T	NA	NA	NA	Hs 688(A).T	NA	NA
NA	Hs 695T	NA	NA	NA	NA	NA	NA
NA	Hs 698.T	NA	NA	NA	NA	NA	NA
NA	Hs 706.T	NA	NA	NA	NA	NA	NA
NA	Hs 729	NA	NA	NA	Hs 729	NA	NA
NA	Hs 737.T	NA	NA	NA	NA	NA	NA
NA	Hs 739.T	NA	NA	NA	NA	NA	NA
NA	Hs 742.T	NA	NA	NA	NA	NA	NA
NA	Hs 746T	NA	Hs746T	Hs746T	Hs 746T	NA	NA
NA	Hs 751.T	NA	NA	NA	NA	NA	NA
NA	Hs 766T	NA	Hs-766T	Hs-766T	Hs 766T	NA	NA
NA	Hs 819.T	NA	NA	NA	NA	NA	NA
NA	Hs 821.T	NA	NA	NA	NA	NA	NA
NA	Hs 822.T	NA	NA	NA	Hs 822.T	NA	NA
NA	Hs 834.T	NA	NA	NA	NA	NA	NA
NA	Hs 839.T	NA	NA	NA	Hs 839.T	NA	NA
NA	Hs 840.T	NA	NA	NA	NA	NA	NA
NA	Hs 852.T	NA	NA	NA	Hs 852.T	NA	NA
NA	Hs 863.T	NA	NA	NA	NA	NA	NA
NA	Hs 870.T	NA	NA	NA	NA	NA	NA
NA	Hs 888.T	NA	NA	NA	Hs 888.T	NA	NA
NA	Hs 895.T	NA	NA	NA	Hs 895.T	NA	NA
NA	Hs 934.T	NA	NA	NA	Hs 934.T	NA	NA
NA	Hs 936.T	NA	NA	NA	Hs 936.T	NA	NA
NA	Hs 939.T	NA	NA	NA	NA	NA	NA
NA	Hs 940.T	NA	Hs-940-T	Hs-940-T	Hs 940.T	NA	NA
NA	Hs 944.T	NA	Hs-944-T	NA	Hs 944.T	NA	NA
NA	HT115	NA	HT-115	HT-115	HT115	NA	HT115
NA	HTK-	NA	NA	NA	NA	NA	NA
NA	HuG1-N	NA	NA	NA	HuG1-N	NA	NA
NA	huH-1	NA	huH-1	huH-1	huH-1	NA	HUH1
NA	HuT 102	NA	NA	NA	NA	NA	NA
NA	HuT 78	NA	NA	NA	HuT 78	NA	NA
NA	IGR-37	NA	IGR-37	IGR-37	IGR-37	NA	NA
NA	IGR-39	NA	NA	NA	IGR-39	NA	NA
NA	IM95	NA	IM-95	IM-95	IM95	NA	IM95
NA	IMR-32	NA	NA	NA	IMR-32	NA	NA
NA	IOMM-Lee	NA	NA	NA	NA	NA	NA
NA	Ishikawa (Heraklio) 02 ER-	NA	Ishikawa_Heraklio_02ER-	Ishikawa(Heraklio)02ER-	Ishikawa (Heraklio) 02 ER-	NA	NA
NA	IST-MES2	NA	NA	NA	NA	NA	NA
NA	JeKo-1	NA	JEKO-1	JEKO-1	JeKo-1	NA	JEKO1
NA	JH-EsoAd1	NA	NA	NA	NA	NA	NA
NA	JHH-1	NA	JHH-1	JHH-1	JHH-1	NA	NA
NA	JHH-2	NA	JHH-2	JHH-2	JHH-2	NA	JHH2
NA	JHH-4	NA	JHH-4	JHH-4	JHH-4	NA	JHH4
NA	JHH-5	NA	NA	NA	JHH-5	NA	NA
NA	JHH-6	NA	JHH-6	JHH-6	JHH-6	NA	JHH6
NA	JHH-7	NA	JHH-7	JHH-7	NA	NA	JHH7
NA	JHOC-5	NA	NA	NA	JHOC-5	NA	NA
NA	JHOM-1	NA	NA	NA	JHOM-1	NA	JHOM1
NA	JHOM-2B	NA	NA	NA	NA	NA	NA
NA	JHOS-2	NA	JHOS-2	JHOS-2	JHOS-2	NA	NA
NA	JHOS-4	NA	JHOS-4	JHOS-4	NA	NA	JHOS4
NA	JHUEM-1	NA	NA	NA	JHUEM-1	NA	NA
NA	JHUEM-2	NA	NA	NA	JHUEM-2	NA	NA
NA	JHUEM-3	NA	NA	NA	JHUEM-3	NA	NA
NA	JIMT-1	NA	JIMT-1	JIMT-1	JIMT-1	NA	JIMT1
NA	JJN-3	NA	JJN-3	JJN-3	JJN-3	NA	JJN3
NA	JK-1	NA	NA	NA	JK-1	NA	NA
NA	JL-1	NA	NA	NA	JL-1	NA	NA
NA	JM1	NA	JM1	JM1	JM1	NA	NA
NA	JMSU-1	NA	NA	NA	JMSU-1	NA	NA
NA	JURKAT	NA	JURKAT	Jurkat	JURKAT	NA	NA
NA	JURL-MK1	NA	JURL-MK1	JURL-MK1	JURL-MK1	NA	NA
NA	K029AX	NA	NA	NA	K029AX	NA	NA
NA	KARPAS-620	NA	KARPAS-620	KARPAS-620	KARPAS-620	NA	NA
NA	KASUMI-2	NA	NA	NA	KASUMI-2	NA	KASUMI2
NA	Kasumi-6	NA	NA	NA	NA	NA	NA
NA	KCI-MOH1	NA	NA	NA	NA	NA	NA
