"compound_id"	"compound_name"	"equivalent_structures"	"primary_moa"	"moas"	"primary_target_gene_symbol"	"phase"	"rdkit_smiles"	"CAS"
"00c0d6b7ce3e40508cb6beec5a449642"	"A-443654"	"[MLS002232275, NCGC00347278]"	"Akt Inhibitor"	"[Akt Inhibitor, Akt Serine/threonine Kinase 1 Inhibitor, Pkb Alpha/akt1 Inhibitors]"	"AKT1"	"[Preclinical, Unknown]"	"[Cc1[nH]nc2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12, Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4c[nH]c5ccccc45)c3)cc12, Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12]"	"552325-16-3"
"00e7470820994ba631b4973d53ad167e"	"CEDIRANIB MALEATE"	"[NCGC00263097]"	"Vascular Endothelial Growth Factor Receptor 2 Inhibitor"	"[Vascular Endothelial Growth Factor Receptor 2 Inhibitor, Vegfr-1/2/3 Inhibitor, Vascular Endothelial Growth Factor Receptor 3 Inhibitor, Vascular Endothelial Growth Factor Receptor 1 Inhibitor]"	"KDR"	"[Phase III]"	"[COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1.O=C(O)/C=C\C(=O)O, COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1]"	"288383-20-0"
"0107e928e9d899534f4278f2ac737f0b"	"Chlormezanone"	"[MLS003876813, NCGC00015191, NCGC00024597, NCGC00016325, NCGC00261068, NCGC00255305]"	"Gamma-aminobutyric Acid Receptor Modulator"	"[Gamma-aminobutyric Acid Receptor Modulator, Gaba Modulators]"	"GABRA1"	"[Withdrawn, Unknown, Approved]"	"[CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1, CN1C(=O)CCS(=O)(=O)[C@@H]1c1ccc(Cl)cc1, CN1C(=O)CCS(=O)(=O)[C@H]1c1ccc(Cl)cc1]"	"80-77-3"
"011396763b3ec37fd33cdbf2c7bfbbd9"	"GLPG0187"	"[NCGC00510002, NCGC00509996]"	"Hypoxia-inducible Factor Prolyl Hydroxylase Inhibitor"	"[Hypoxia-inducible Factor Prolyl Hydroxylase Inhibitor, Hif Prolyl Hydroxylase Inhibitor, Integrin Receptor Antagonist]"	"EGLN1"	"[Preclinical, Unknown]"	"[COC(=O)C1=C(C)N=C(c2ncc(F)cc2F)N[C@H]1c1ccc(F)cc1Cl, COC(=O)C1=C(C)NC(c2ncc(F)cc2F)=N[C@H]1c1ccc(F)cc1Cl, COC(=O)C1=C(C)N=C(c2ncc(F)cc2F)N[C@@H]1c1ccc(F)cc1Cl]"	"298708-81-3"
"01375f99c0bba65878987d3fed6a61d2"	"Gsk-126"	"[NCGC00387839, NCGC00347286]"	"Ezh2 Methyltransferase Inhibitor"	"[Ezh2 Methyltransferase Inhibitor, Histone-lysine N-methyltransferase Ezh2 Inhibitor, Ezh2 Inhibitor]"	"EZH2"	"[Discontinued, Preclinical, Unknown]"	"[CC[C@H](C)n1cc(C)c2c(C(=O)NCc3c(C)cc(C)[nH]c3=O)cc(-c3ccc(N4CCNCC4)nc3)cc21, CCC(C)n1cc(C)c2c(C(=O)NCc3c(C)cc(C)[nH]c3=O)cc(-c3ccc(N4CCNCC4)nc3)cc21]"	"1346574-57-9"
"016327bc6b5f561608480a7c3512ef1b"	"Mk-0812"	"[NCGC00378765]"	"C-c Chemokine Receptor Type 2 Antagonist"	"[C-c Chemokine Receptor Type 2 Antagonist, Chemokine Ccr2 (mcp-1 Receptor) Antagonist]"	"CCR2"	"[Phase II, Unknown]"	"[CO[C@@H]1COCC[C@@H]1NC1CC[C@@](C(=O)N2CCc3ncc(C(F)(F)F)cc3C2)(C(C)C)C1, CO[C@@H]1COCC[C@@H]1N[C@@H]1CC[C@](C(=O)N2CCc3ncc(C(F)(F)F)cc3C2)(C(C)C)C1, CO[C@@H]1COCC[C@@H]1N[C@@H]1CC[C@@](C(=O)N2CCc3ncc(C(F)(F)F)cc3C2)(C(C)C)C1]"	"851916-42-2"
"0164c58986485d162184f0c732af572d"	"TORIN1"	"[NCGC00263215, MLS003230943]"	"Mtor Inhibitor"	"[Mtor Inhibitor, Serine/threonine-protein Kinase Mtor Inhibitor, Phosphatidylinositol 3-kinase Alpha Isoform Inhibitor]"	"MTOR"	"[Preclinical, Unknown]"	"[CCC(=O)N1CCN(c2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1]"	"1222998-36-8"
"01a7297b619dd5f97a92296a18b4b011"	"PD-1/PD-L1 Inhibitor 1"	"[NCGC00507856]"	"Pd-1 /pd-l1 Interaction Inhibitor"	"[Pd-1 /pd-l1 Interaction Inhibitor, Programmed Cell Death Protein 1/programmed Cell Death Protein Ligand 1 Inhibitor]"	"CD274"	"[Preclinical, Unknown]"	"[COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CN1CCCC[C@H]1C(=O)O]"	"1675201-83-8"
"01c3c658a1812424e14e54fb884e4ebd"	"Xmd8-92"	"[NCGC00250385, MLS003230939]"	"Erk5/bmk1 Inhibitor"	"[Erk5/bmk1 Inhibitor, Leucine-rich Repeat Kinase 2 Inhibitor, Mitogen Activated Protein Kinase 7 Inhibitor]"	"LRRK2"	"[preclinical, Preclinical, Unknown]"	"[CCOc1cc(N2CCC(O)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C]"	"1234480-50-2"
"02017f85c719892b3db7e504c440b11f"	"Zucapsaicin"	"[NCGC00017337, MLS000758306, NCGC00016441, NCGC00257869, AB07930300, MLS002154049, NCGC00024601, NCGC00090853]"	"Nf-kappab Activation Inhibitor"	"[Nf-kappab Activation Inhibitor, Ecto-nox Disulfide-thiol Exchanger 2 Inhibitor, Transient Receptor Potential Cation Channel Subfamily V Member 1 Inhibitor, Nf-kappab (nfkb) Activation Inhibitor, Bacterial Quinolone Resistance Protein Nora (staphylococcus Aureus) Inhibitor]"	"ENOX2"	"[Phase III, Unknown, Approved]"	"[COc1cc(CNC(=O)CCCC/C=C\C(C)C)ccc1O, COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O, COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O]"	"25775-90-0"
"0207512a6edec8370a73dcc000865af7"	"Vps34 inhibitor 1 (compound 19, pik-iii analogue)"	"[NCGC00507892]"	"Phosphatidylinositol 3-kinase Catalytic Subunit Type 3 Inhibitor"	"[Phosphatidylinositol 3-kinase Catalytic Subunit Type 3 Inhibitor, Vps34 Inhibitor]"	"PIK3C3"	"[Preclinical, Unknown]"	"[CC(C)(O)CNc1ncc(-c2ccnc(Nc3ccncc3)n2)c(CC2CC2)n1]"	"1383716-46-8"
"0224e5fa9f46607165d505c91aad350e"	"BMS-214662"	"[NCGC00510499, NCGC00509886]"	"Protein Farnesyltransferase/geranylgeranyltransferase Type-1 Inhibitor"	"[Protein Farnesyltransferase/geranylgeranyltransferase Type-1 Inhibitor, Farnesyltransferase (geranylgeranyl Pyrophosphate Synthase) Inhibitor]"	"COX10"	"[Phase II, Unknown]"	"[N#Cc1ccc2c(c1)CN(S(=O)(=O)c1cccs1)[C@H](Cc1ccccc1)CN2Cc1cnc[nH]1, N#Cc1ccc2c(c1)CN(S(=O)(=O)c1cccs1)[C@H](Cc1ccccc1)CN2Cc1c[nH]cn1, N#Cc1ccc2c(c1)CN(S(=O)(=O)c1cccs1)C(Cc1ccccc1)CN2Cc1c[nH]cn1]"	"195987-41-8"
"0226835f50876e718ed90d2ba66bcfe7"	"ALENDRONATE SODIUM"	"[NCGC00165719, NCGC00096054, NCGC00263967]"	"Protein Tyrosine Phosphatase (ptp) Inhibitor"	"[Protein Tyrosine Phosphatase (ptp) Inhibitor, Farnesyl Pyrophosphate Synthase Inhibitor, Geranylgeranyl Pyrophosphate Synthetase Inhibitor, Protein Tyrosine Phosphatase Inhibitor, Vitamin D Receptor Antagonist, Protein Tyrosine Phosphatase (ptp) Inhibitors]"	"FDPS"	"[Unknown, Approved]"	"[NCCCC(O)(P(=O)(O)O)P(=O)(O)O, NCCCC(O)(P(=O)([O-])O)P(=O)(O)O, NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+], NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.O.O.O.[Na+], NCCCC(O)(P(=O)(O)O)P(=O)(O)O.O.O.O.[Na+]]"	"129318-43-0"
"0238159b1adb0fe4fb1b5669558cdf96"	"Eeyarestatin I"	"[NCGC00346884]"	"Inhibitor Of Endoplasmic Reticulum Associated Protein Degradation"	"[Inhibitor Of Endoplasmic Reticulum Associated Protein Degradation, Endoplasmic Reticulum Associated Protein Degradation (erad) Inhibitor]"	""	"[Preclinical, Unknown]"	"[CC1(C)C(N(O)C(=O)Nc2ccc(Cl)cc2)N(c2ccc(Cl)cc2)C(=O)N1CC(=O)N/N=C/C=C/c1ccc([N+](=O)[O-])o1]"	"412960-54-4"
"0262c27d2c7343ea19846f5d0f5bd30d"	"Cyproheptadine hydrochloride"	"[MLS000028462, NCGC00260931, NCGC00015252, NCGC00093708, NCGC00024293, MLS001077277, MLS001424281]"	"Histamine H1 Receptor Antagonists"	"[Histamine H1 Receptor Antagonists, Histamine H1 Receptor Antagonist, 5-ht2b Receptor Antagonist]"	"HRH1"	"[Approved]"	"[CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1.Cl, CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1]"	"129-03-3"
"0264b6a00546479b9910cb823f779636"	"Elagolix"	"[NCGC00522303]"	"Gonadotropin Releasing Hormone Receptor Antagonist"	"[Gonadotropin Releasing Hormone Receptor Antagonist, Gnrh (lhrh) Receptor Antagonist]"	"GNRHR"	"[Phase III, Phase II, Approved]"	"[COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](NCCCC(=O)O)c3ccccc3)c2=O)c1F, COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](NCCCC(=O)[O-])c3ccccc3)c2=O)c1F.[Na+]]"	"834153-87-6"
"0267e5bddd43461446f70708e5d16410"	"Semagacestat"	"[NCGC00389768, NCGC00346556, NCGC00482735]"	"G-secretase Inhibitor"	"[G-secretase Inhibitor, Gamma-secretase Inhibitor]"	"PSN1"	"[Phase III, Discontinued]"	"[CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@H]1C(=O)N(C)CCc2ccccc21, CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H]1C(=O)N(C)CCc2ccccc21, CC(NC(=O)C(O)C(C)C)C(=O)NC1C(=O)N(C)CCc2ccccc21]"	"425386-60-3"
"02817a0895dec2e04cab3d221b092e60"	"DOXYCYCLINE HYDROCHLORIDE"	"[NCGC00167961, NCGC00093831, NCGC00389413, MLS002154032, NCGC00094660, NCGC00261090, NCGC00161602, NCGC00179395, NCGC00347135, MLS001056533, MLS001332531, MLS001332532, NCGC00188979, NCGC00015386, NCGC00016693]"	"Matrix Metalloproteinase Inhibitor"	"[Matrix Metalloproteinase Inhibitor, Matrix Metalloproteinase (mmp) Inhibitor, Protein-arginine Deiminase Inhibitor, Mmp Inhibitor, Protein Arginine Deaminase Inhibitor, 30s Ribosomal Protein S12 Inhibitor, Matrix Metalloproteinase Inhibitors]"	"MMP1"	"[Phase II, Unknown, Approved]"	"[CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21, CCO.C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(=O)C(=C(N)O)C(=O)[C@@H](N(C)C)C3[C@@H](O)C21, CCO.C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(=O)C(=C(N)O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21, CCO.C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.Cl.O, C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(=O)/C(=C(/N)O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21, C[C@H]1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.Cl, C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O=P(=O)O.O=P(=O)O.O=P(=O)O.O=P(=O)[O-].[Na+], CC1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(O)=C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21, CCO.C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)C3[C@@H](O)C21.Cl.O, C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21, C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)C21, C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(=O)C(=C(N)O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21, C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.Cl, C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)[C@@H]3[C@@H](O)[C@@H]21.Cl, CC1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21.Cl, C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)C21, C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O, C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)C3[C@@H](O)C21, C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)C3[C@@H](O)C21, C[C@H]1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21, C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21, C[C@H]1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21, C[C@@H]1c2cccc(O)c2C(=O)C2=C(O)[C@@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21, C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)[C@@H]3[C@@H](O)[C@@H]21, CC1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21]"	"10592-13-9"
"0284c4920eec6bbbb4b31fac4904d2d6"	"ETRASIMOD ARGININE"	"[NCGC00522578]"	"Lysophospholipid Edg8 (s1p5) Receptor Agonist"	"[Lysophospholipid Edg8 (s1p5) Receptor Agonist, Sphingosine 1-phosphate Receptor 5 Agonist, Sphingosine 1-phosphate Receptor 1 Agonist]"	"S1PR1"	"[Phase II, Unknown]"	"[O=C(O)CC1CCc2c1[nH]c1ccc(OCc3ccc(C4CCCC4)c(C(F)(F)F)c3)cc21, N=C(N)NCCC[C@@H](N)C(=O)O.O=C(O)C[C@H]1CCc2c1[nH]c1ccc(OCc3ccc(C4CCCC4)c(C(F)(F)F)c3)cc21, O=C(O)C[C@@H]1CCc2c1[nH]c1ccc(OCc3ccc(C4CCCC4)c(C(F)(F)F)c3)cc21, O=C(O)C[C@H]1CCc2c1[nH]c1ccc(OCc3ccc(C4CCCC4)c(C(F)(F)F)c3)cc21]"	"1206123-37-6"
"029a1c40a6731e88cc46f8f2600a9a7b"	"Sf-2523"	"[NCGC00510502]"	"Pi3k Beta Inhibitor"	"[Pi3k Beta Inhibitor, Phosphatidylinositol 3-kinase Beta Isoform Inhibitor, Phosphatidylinositol 3-kinase Alpha Isoform Inhibitor, Phosphatidylinositol 3-kinase Catalytic Subunit Gamma Inhibitor, Bromodomain Containing Protein 4 Inhibitor]"	"PIK3CB"	"[Preclinical, Unknown]"	"[O=c1cc(N2CCOCC2)oc2c(-c3ccc4c(c3)OCCO4)csc12]"	"1174428-47-7"
