nsc	cas	drug_name	idsyn	idnci60	idsclc	matchsclc	diff	correct_index	eq	comments
761068	1140909-48-3	Cabozantinib	0	178	178	761068	0	178	TRUE	
757148	860352-01-8	AZD-7762	109	109	109	757148	-109	109	TRUE	
125066	9041-93-4	Bleomycin	0	141	141	125066	0	141	TRUE	
765672	1266319-57-6	S-49076	0	0	60	765672	60	60	TRUE	
762	55-86-7	Nitrogen mustard	0	495	495	762	0	495	TRUE	
755764	69-23-8	Fluphenazine	0	0	306	755768;755764	306	306	TRUE	
761388	110078-46-1	Plerixafor	0	0	564	761388	564	564	TRUE	
757437	53003-10-4	VS-507	707	0	707	757437	0	707	TRUE	
760766	443913-73-3	Vandetanib	0	696	696	760766	0	696	TRUE	
767897	1327167-19-0	BPR1J-097	166	0	166	767897	0	166	TRUE	
758591	1022150-57-7	SGX-523	628	0	628	758591	0	628	TRUE	
767898	1001264-89-6	GDC-0068	316	0	316	767898	0	316	TRUE	
765888	1110813-31-4	PF-299804	547	0	547	765888	0	547	TRUE	
755765	220904-83-6	GW-5074	345	0	345	755765	0	345	TRUE	
764515	1092351-67-1	PP-242	567	0	567	764515	0	567	TRUE	
765632	700874-71-1	LY-2109761	439	0	439	765632	0	439	TRUE	
766271	477575-56-7	PHA-665752	554	554	554	766271	-554	554	TRUE	
756644	917828-48-9	PF-01367338	40	0	40	756644	0	40	TRUE	
34462	66-75-1	Uracil mustard	0	693	693	34462	0	693	TRUE	
639966	157716-52-4	KRX-0401	414	414	414	639966	-414	414	TRUE	
767189	1009298-59-2	AZD-2014	101	0	101	767189	0	101	TRUE	
750690	557795-19-4	Sunitinib	0	647	647	750690	0	647	TRUE	
703081	77307-50-7	SL-0101	635	0	635	703081	0	635	TRUE	
762154	1201692-18-3	Des-fluoro-TAK-960	0	0	256	762154	256	256	TRUE	
762152	960374-59-8	ONX-0914	513	0	513	762152	0	513	TRUE	
764764	501332-69-0	ONX-0801	510	0	510	764764	0	510	TRUE	
758249	929016-96-6	SB-939	619	0	619	758249	0	619	TRUE	
764043	1268524-70-4	(+)-JQ1	2	2	2	764043	-2	2	TRUE	
763758	1160830-00-1	SEN-450	625	0	625	763758	0	625	TRUE	
763526	670220-88-9	CP-868596	223	0	223	763526	0	223	TRUE	
633782	79902-63-9	Simvastatin	0	631	631	633782	0	631	TRUE	
765865	1097917-15-1	ASP-3026	81	0	81	765865	0	81	TRUE	
766270	1257044-40-8	ABT-199	22	0	22	766270	0	22	TRUE	
719276	129453-61-8	Fulvestrant	0	314	314	719276	0	314	TRUE	
758245	934353-76-1	ENMD-2076	282	0	282	758245	0	282	TRUE	
768011	1221878-06-3	XL-541	724	0	724	768011	0	724	TRUE	
8806	148-82-3	Melphalan	0	455	455	8806	0	455	TRUE	
766992	732983-37-8	BAY 61-3606	119	119	119	766992	-119	119	TRUE	
763527	1210004-12-8	JZL-195	400	0	400	763527	0	400	TRUE	
759674	1138325-13-9	ONX-0803	511	0	511	759674	0	511	TRUE	
758007	475108-18-0	ASP-4130	82	82	82	758007	-82	82	TRUE	
755400	790299-79-5	AB-1010	20	20	20	755400	-20	20	TRUE	
755404	5104-49-4	Flurbiprofen	0	0	307	755404	307	307	TRUE	
766819	425637-18-9	AEB-071	34	0	34	766819	0	34	TRUE	
760442	658084-64-1	AP0-866	63	0	63	760442	0	63	TRUE	
761910	936563-96-1	PCI-32765	359	359	359	761910	-359	359	TRUE	
679828	167869-21-8	PD-98059	533	533	533	679828	-533	533	TRUE	
765898		GDC-0152	317	0	317	765898	0	317	TRUE	
767896	1258861-20-9	LY-2940680	449	0	449	767896	0	449	TRUE	
767953	882531-87-5	R-1530	582	0	582	767953	0	582	TRUE	
760842	892546-37-1	BIM-46187	136	0	136	760842	0	136	TRUE	
754345	1149939-55-8	JNJ-28312141	392	0	392	754345	0	392	TRUE	
762672	290315-45-6	BMS-299897	148	0	148	762672	0	148	TRUE	
761189	432037-57-5	EB-1627	271	0	271	761189	0	271	TRUE	
3053	50-76-0	Dactinomycin	0	31	31	3053	0	31	TRUE	
759658	1227911-45-6	GSK-2334470	334	0	334	759658	0	334	TRUE	
764581	937265-83-3	ARRY-380	72	0	72	764581	0	72	TRUE	
760764	175414-77-4 	SNS-595; SPC-595	637	0	637	760764	0	637	TRUE	
761387	885499-61-6	CCT-128930	189	0	189	761387	0	189	TRUE	
125973	33069-62-4	Paclitaxel	0	523	523	125973	0	523	TRUE	
755770	391210-10-9	PD-0325901	531	531	531	755770	-531	531	TRUE	
765776	1240299-33-5	AZD-3514	105	0	105	765776	0	105	TRUE	
752840	912444-00-9	ABT-888	27	27	27	752840	-27	27	TRUE	
608210	71486-22-1	Vinorelbine	0	703	703	608210	0	703	TRUE	
759095	1072116-03-0	JNJ-38877605	393	0	393	759095	0	393	TRUE	
750	55-98-1	Busulfan	0	0	170	750	170	170	TRUE	
766906	1096708-71-2	MLN-2480	478	0	478	766906	0	478	TRUE	
756663	803712-79-0	GX15-070	347	0	347	756663	0	347	TRUE	
767954	1100598-15-9	EMD-1204831	278	0	278	767954;758244	0	278	TRUE	
754350	157752-20-0	CB-64D	188	0	188	754350	0	188	TRUE	
767599	1300031-49-5	GSK-1210151A	330	0	330	767599	0	330	TRUE	
758244	1100598-32-0	EMD-1214063	278	0	278	767954;758244	0	278	TRUE	
756643	897016-82-9	KX2-391	417	0	417	756643	0	417	TRUE	
765694	380843-75-4	Bosutinib	0	163	163	765694	0	163	TRUE	
767123	1037210-93-7	IPI-926	374	0	374	767123	0	374	TRUE	
753686	763113-22-0	AZD-2281	507	507	507	753686	-507	507	TRUE	
764821		CH-5428402 HCl	0	202	203	764821	1	202	FALSE	add 764821 to ncicslc from line 202 and remove line 203 
754349	850879-09-3	MP-470	484	484	484	754349	-484	484	TRUE	
606869	123318-82-1	Clofarabine	0	217	217	606869	0	217	TRUE	
767470	1228960-69-7	MLN-0905	476	0	476	767470	0	476	TRUE	
122819	29767-20-2	Teniposide	0	664	664	758255;122819	0	664	TRUE	
755982	425386-60-3	LY-450139 	0	0	451	755982	451	451	TRUE	
761879	1253836-17-7	ITRI-260	383	0	383	761879	0	383	TRUE	
758488	917111-44-5	CYT-997	244	0	244	758488	0	244	TRUE	
767600	936091-26-8	SAR-302503	609	609	609	767600	-609	609	TRUE	
77213	366-70-1	Procarbazine	0	569	569	77213	0	569	TRUE	
758872	379231-04-6	AZD-0530	98	98	98	758872	-98	98	TRUE	
767598	1056634-68-4	CYT-387	243	0	243	767598	0	243	TRUE	
760444	192185-68-5	R-115777	581	581	581	760444	-581	581	TRUE	
755771	162520-00-5	KD-032	403	0	403	755771	0	403	TRUE	
710464	468719-53-1	AFP-464	39	39	39	710464	-39	39	TRUE	
764580	917879-39-1	MK-2461	471	0	471	764580	0	471	TRUE	
218321	53910-25-1	Pentostatin	0	537	537	218321	0	537	TRUE	
764487	872511-34-7	BGJ-398	129	0	129	764487	0	129	TRUE	
759094	934353-75-0	ENMD-2076 Precursor	0	0	283	759094	283	283	TRUE	
754355	1038915-60-4	MK-4827	472	0	472	754355	0	472	TRUE	
36405	3895-92-9	MP-0922	483	204	483	36405	-204	204	FALSE	merge row 483 in 204 and remove line 483
754346	913376-83-7	AMG-458	52	0	52	754346	0	52	TRUE	
767601	297730-17-7	AVN-944	94	0	94	767601	0	94	TRUE	
762521	874101-00-5	RG-7167	596	0	596	762521	0	596	TRUE	
765949	497839-62-0	AEE-788	35	0	35	765949	0	35	TRUE	
757334	1150339-93-7	Cpd-401	0	0	227	757334	227	227	TRUE	
45388	3/4/42	Dacarbazine	0	248	248	45388	0	248	TRUE	
761385	956697-53-3	LDE-225	1	0	1	761386;761385	0	1	TRUE	
758006	953769-46-5	BLZ-945	144	0	144	758006	0	144	TRUE	
743414	220127-57-1	Imatinib	0	365	365	743414	0	365	TRUE	
25154	54-91-1	Pipobroman	0	562	562	25154	0	562	TRUE	
3088	305-03-3	Chlorambucil	0	207	207	3088	0	207	TRUE	
756645	877399-52-5	Crizotinib	0	229	229	756645	0	229	TRUE	
764579	223132-37-4	CS-7017	230	0	230	764579	0	230	TRUE	
745750	388082-77-7	Lapatinib	0	420	420	745750	0	420	TRUE	
616348	100286-90-6	Irinotecan	0	375	375	616348	0	375	TRUE	
762673	1204918-72-8	SB-1317	611	0	611	762673	0	611	TRUE	
757443	98319-26-7	Finasteride	0	0	302	757443	302	302	TRUE	
755766	127243-85-0	H-89	348	0	348	755766	0	348	TRUE	
762598	798577-91-0	BAL-27862	115	0	115	762598	0	115	TRUE	
747971	284461-73-0	Sorafenib	0	0	639	747971	639	639	TRUE	
766255	1186659-59-5	GSK-1838705A	331	0	331	766255	0	331	TRUE	
241240	41575-94-4	Carboplatin	0	184	184	241240	0	184	TRUE	
719344	120511-73-1	Anastrozole	0	0	61	719344	61	61	TRUE	
754351	956958-53-5	XL-147	721	0	721	754351	0	721	TRUE	
755386	336113-53-2	CK-0238273	215	380	215	755386	-380	380	FALSE	merge 215 to 380 and remove 215
761190	404950-80-7	LBH-589	525	525	525	761190	-525	525	TRUE	
758251	69408-81-7	CGX-571	58	0	58	758251	0	58	TRUE	
758247	571190-30-2	PD-0332991	524	524	524	758247	-524	524	TRUE	
756659	656247-18-6	BIBF-1120	134	0	134	756659	0	134	TRUE	
26271	50-18-0	Cyclophosphamide	0	242	242	26271	0	242	TRUE	
765695	212631-79-3	PD-184352	209	209	209	765695	-209	209	TRUE	
757441	319460-85-0	Axitinib	0	95	95	757441	0	95	TRUE	
764239	1035270-39-3	AZD-4547	106	0	106	764239	0	106	TRUE	
763832	916151-99-0	LOR-253	0	0	378	763832	378	378	TRUE	
758248	946128-88-7	RO-5126766	602	0	602	758248	0	602	TRUE	
756652	867160-71-2	ASP-7487	83	83	83	756652	-83	83	TRUE	
756661	50-53-3 	Chlorpromazine	0	0	208	756661	208	208	TRUE	
26980	50-07-7	Mitomycin C	0	464	464	26980	0	464	TRUE	
752	154-42-7	Thioguanine	0	13	13	752	0	13	TRUE	
755605	915087-33-1	Enzalutamide	0	0	285	755605	285	285	TRUE	
765435	888216-25-9	STA-9090	643	0	643	765435	0	643	TRUE	
759659	923564-51-6	ABT-263	23	23	23	759659	-23	23	TRUE	
757149	755038-65-4	BI-6727	132	0	132	757149	0	132	TRUE	
760765	859853-30-8	BMS-690514	155	0	155	760765	0	155	TRUE	
758005	848942-61-0	AZD-8931	112	0	112	758005	0	112	TRUE	
13875	645-05-6	Altretamine	0	0	47	13875	47	47	TRUE	
141540	33419-42-0	Etoposide	0	294	294	141540	0	294	TRUE	
755763	1236699-92-5 	AS-703026	76	0	76	755763	0	76	TRUE	
765395	958025-66-6	MPC-3100	485	0	485	765395	0	485	TRUE	
757333	1173928-26-1	SGI-1776	627	0	627	757333	0	627	TRUE	
767048	345627-92-1	BMS-387032	150	0	150	767048	0	150	TRUE	
49842	143-67-9	Vinblastine	0	701	701	49842	0	701	TRUE	
713563	107868-30-4	Exemestane	0	0	297	713563	297	297	TRUE	
755986	879085-55-9	Vismodegib	0	0	318	755986	318	318	TRUE	
732517	863127-77-9	Dasatinib	0	251	251	732517	0	251	TRUE	
761191	1197958-36-3	AP-26113	0	0	66	761191	66	66	TRUE	
761192	1160295-21-5	MLN-4924	479	479	479	761192	-479	479	TRUE	
761215	1035555-63-5	TAK-733	654	0	654	761215	0	654	TRUE	
765673	1219032-64-0	LY-2523355	0	0	520	765673	520	520	TRUE	
758485	702674-56-4	BX-912	173	173	173	758485	-173	173	TRUE	
761266	156436-89-4	PCI-0120	529	0	529	761266	0	529	TRUE	
764756	218137-86-1	C-75	176	0	176	764756	0	176	TRUE	
712807	154361-50-9	Capecitabine	0	0	183	712807	183	183	TRUE	
759676	371935-74-9	PI-103	557	557	557	759676	-557	557	TRUE	
127716	2353-33-5	Decitabine	0	253	253	127716	0	253	TRUE	
105014	4291-63-8	Cladribine	0	216	216	105014	0	216	TRUE	
758256	1197160-78-3	PF-05212384	545	0	545	758256	0	545	TRUE	
761760	468740-43-4	BMS-536924	152	152	152	761760	-152	152	TRUE	
754344	592542-60-4	ON-01910Na	0	0	509	754344	509	509	TRUE	
707545	467214-21-7	17-DMAG	6	6	6	707545	-6	6	TRUE	
747974	82640-04-8	Raloxifene	0	587	587	747974;761389	0	587	TRUE	
755769	154447-36-6	LY-294002	448	0	448	755769	0	448	TRUE	
757444	957881-03-7	AZD-1152	99	0	99	757444	0	99	TRUE	
62343	70-23-5	3-Bromopyruvic acid	0	9	10	62343	1	9	FALSE	merge 9 and 10 and remove 10
761693	1286238-55-8	Vertex ATR inhibitor Cpd 45	0	0	700	761693	700	700	TRUE	
761070	1232410-49-9	VE-821	698	0	698	761070	0	698	TRUE	
750691	439081-18-2	BIBW-2992	0	38	38	750691	0	38	TRUE	
764134	1195768-06-9	GSK-2118436B	0	247	247	764134	0	247	TRUE	
758871	1009298-09-2	AZD-8055	110	110	110	758871	-110	110	TRUE	
760443	1032568-63-0	BAY-80-6946	120	0	120	760443	0	120	TRUE	
678515	69123-94-0	FAU	298	0	298	678515	0	298	TRUE	
761193	1009820-21-6	CX-4945	236	0	236	761193	0	236	TRUE	
752493	160003-66-7	BSI-201	169	0	169	752493	0	169	TRUE	
764334	847499-27-8	CEP-18770	193	0	193	764334	0	193	TRUE	
758252	868540-17-4	Carfilzomib	0	185	185	758252	0	185	TRUE	
727859	12542-36-8	AT-101; BL-193	86	0	86	727859	0	86	TRUE	
330507	75747-14-7	17-AAG	5	5	5	330507	-5	5	TRUE	
761692	1196681-38-5	MK-8033	474	0	474	761692	0	474	TRUE	
762151	934541-31-8	TAK-901	655	0	655	762151	0	655	TRUE	
761931	904897-64-9	KHK Indazole	0	0	404	761931	404	404	TRUE	
759661	405169-16-6	CHIR-258	205	205	205	759661	-205	205	TRUE	
761216	700874-72-2	LY-2157299	440	0	440	761216	0	440	TRUE	
741078	606143-52-6	AZD-6244	108	108	108	741078	-108	108	TRUE	
767128		TL-32711	138	0	138	767128	0	138	TRUE	
764042	1201685-05-3	ARRY-162	71	0	71	764042	0	71	TRUE	
702294	52205-73-9	Estramustine	0	291	291	702294	0	291	TRUE	
763564	858668-07-2	EMD-534085	280	0	280	763564	0	280	TRUE	
768112		GENZ-644282	325	0	325	768112	0	325	TRUE	
757440	572924-54-0	MK-8669	475	0	475	757440	0	475	TRUE	
756642	209783-80-2	MS-275	284	0	284	756642	0	284	TRUE	
719345	112809-51-5	Letrozole	0	0	428	719345	428	428	TRUE	
763525	839707-37-8	SC-1	621	0	621	763525	0	621	TRUE	
123127	25316-40-9	Doxorubicin	0	267	267	123127	0	267	TRUE	
409962	154-93-8	Carmustine	0	186	186	409962	0	186	TRUE	
767006	475489-16-8	AEW-541	37	37	37	767006	-37	37	TRUE	
362856	85622-93-1	Temozolomide	0	0	662	362856	662	662	TRUE	
766907	1072833-77-2	MLN-2238	477	0	477	766907	0	477	TRUE	
756877	898222-46-3	1st Precursur Intermediate to TDP 665759	0	0	0		0	0	TRUE	
754359	934963-58-3	AEG-40730	36	0	36	754359	0	36	TRUE	
764040	1256589-74-8	CH-5424802	202	202	202	764040	-202	202	TRUE	
756647	950769-58-1	AC-220	28	28	28	756647	-28	28	TRUE	
19893	51-21-8	Fluorouracil	0	11	11	19893	0	11	TRUE	
754360	1201143-87-4	MI-219	197	0	197	754360	0	197	TRUE	
755773	12956-6	SP-600125	640	0	640	755773	0	640	TRUE	
758486	599150-20-6	HPI-1	353	0	353	758486	0	353	TRUE	
767125		BMN-673	146	0	146	765396;767125;767533	0	146	TRUE	
639186	112887-68-0	ZD-1694	588	588	588	639186	-588	588	TRUE	
767126	1057677-92-5	LEQ-506	427	0	427	767126	0	427	TRUE	
763932	755037-03-7	Regorafenib	0	0	593	763932	593	593	TRUE	
767952	1316214-52-4	ACY-1215	32	0	32	767952	0	32	TRUE	
764757	1071992-99-8	AT-406	89	0	89	764757	0	89	TRUE	
755606	288383-20-0	AZD-2171	102	0	102	755606	0	102	TRUE	
754356	717907-75-0	PF-562271	552	552	552	754356	-552	552	TRUE	
764765	1228237-45-3	ARQ-680	70	0	70	764765	0	70	TRUE	
756660	117-39-5	LNS-5662	434	0	434	756660	0	434	TRUE	
755981	857064-42-7	WP-1034	714	0	714	755981	0	714	TRUE	
82151	23541-50-6	Daunorubicin	0	252	252	82151	0	252	TRUE	
754353	944396-07-0	BKM-120	140	0	140	754353	0	140	TRUE	
760536	1013101-36-4	PF-04691502	543	0	543	760536	0	543	TRUE	
754362	405554-55-4	SB-590885	617	617	617	754362	-617	617	TRUE	
759675	1000669-72-6	KW-2449	416	0	416	759675	0	416	TRUE	
766824	1022957-12-5	CEP-14083	0	0	196	766824	196	196	TRUE	
170984	2062-78-4	Pimozide	0	559	559	170984	0	559	TRUE	
266046	61825-94-3	Oxaliplatin	0	519	519	266046	0	519	TRUE	
766821	1271022-90-2	BMS-911543	159	0	159	766821	0	159	TRUE	
755984	113906-27-7	PNU-74654	566	0	566	755984	0	566	TRUE	
764481	649735-63-7	BMS-582664	153	0	153	764481	0	153	TRUE	
766887	 728033-96-3	OSI-930	515	0	515	766887	0	515	TRUE	
764237	796967-16-3	ABT-869	26	0	26	764237	0	26	TRUE	
765436	1037184-44-3	YK-4-279	737	0	737	765436	0	737	TRUE	
754352	955365-80-7	MK-1775	469	0	469	754352	0	469	TRUE	
766811	603139-19-1	MK-0822	468	0	468	766811	0	468	TRUE	
122758	302-79-4	Tretinoin	0	379	92	122758	-287	92	TRUE	merge 379 to 92 and remove 379
767951	1089283-49-7	GSK-1904529A	332	332	332	767951	-332	332	TRUE	
761217	1146699-66-2	BMS-708163	156	156	156	761217	-156	156	TRUE	
32065	127-07-1	Hydroxyurea	0	355	355	32065	0	355	TRUE	
767533		BMN-673 (inactive enantiomer)	0	0	146	765396;767125;767533	146	146	TRUE	
737754	635702-64-6	Pazopanib	0	528	528	737754	0	528	TRUE	
760841	387867-13-2	MLN-518	480	0	480	760841	0	480	TRUE	
755927	1213269-23-8	WZ-4002	716	0	716	755927	0	716	TRUE	
756878		2nd Precursur Intermediate to TDP 665759	0	0	0		0	0	TRUE	
759498	693228-63-6	CYC-116	239	0	239	759498	0	239	TRUE	
142784	2226-96-2	OT-674	518	0	518	142784	0	518	TRUE	
756649	301836-41-9	SB-431542	615	0	615	756649	0	615	TRUE	
763931	956905-27-4	PF-04217903	542	0	542	763931	0	542	TRUE	
755388	53746-45-5	Fenoprofen	0	0	299	755388	299	299	TRUE	
761194	1061318-81-7	CUDC-305	233	0	233	761194	0	233	TRUE	
757438	918505-84-7	PLX-4720	565	565	565	757438	-565	565	TRUE	
754143	128517-07-7	Depsipeptide	0	255	255	754143	0	255	TRUE	
9706	51-18-3	Triethylenemelamine	0	685	685	9706	0	685	TRUE	
637037	19916-73-5	O6-BG	505	505	505	637037	-505	505	TRUE	
764488	426219-23-0	TAK-700	652	0	652	764488	0	652	TRUE	
756658	742112-34-1	OSU-03013	517	0	517	756658	0	517	TRUE	
14229	83-89-6	Acrichine	0	30	30	14229	0	30	TRUE	
6396	52-24-4	Thiotepa	0	672	672	6396	0	672	TRUE	
613327	122111-03-9	Gemcitabine	0	323	323	613327	0	323	TRUE	
758873	852808-04-9	ABT-737	25	0	25	758873	0	25	TRUE	
766991	937174-76-0	GSK-690693	338	338	338	766991	-338	338	TRUE	
764135	714971-09-2	AC-480	0	0	154	764135	154	154	TRUE	
733504	159351-69-6	Everolimus	0	295	295	733504	0	295	TRUE	
755387	781661-94-7	YM-155	738	738	738	755387	-738	738	TRUE	
764517	1255580-76-7	UNC-0638	691	691	691	764517	-691	691	TRUE	
1390	315-30-0	Allopurinol	0	46	46	1390	0	46	TRUE	
758253	26833-87-4	Omacetaxine mepasuccinate	0	352	508	758253	156	352	FALSE	merge 508 to 352 and remove 508
369100	99011-02-6	Imiquimod	0	367	367	369100	0	367	TRUE	
768068	934660-93-2	XL-518 (isomer 1)	0	0	722	768068	722	722	TRUE	
24559	18378-89-7	Plicamycin	0	463	463	24559	0	463	TRUE	
755401	229305-39-9	SCV-07	624	0	624	755401	0	624	TRUE	
755402	6385-02-0	Meclofenamate	0	0	452	755402	452	452	TRUE	
764091	1256580-46-7	GDC-0980	320	202	320	764091	-202	202	FALSE	merge 320 to 202 and remove 320
758250	1146618-41-8	SNS-314	636	0	636	758250	0	636	TRUE	
764136	783355-60-2	PCI-24781	530	0	530	764136	0	530	TRUE	
764039	1143532-39-1	AZD-5363	107	0	107	764039	0	107	TRUE	
768070	1004990-28-6	PF-4176340	548	0	548	768070	0	548	TRUE	
279836	65271-80-9	Mitoxantrone	0	466	466	279836	0	466	TRUE	
761691	1094069-99-4	SCH-1473759	622	0	622	761691	0	622	TRUE	
768100	1349796-36-6	XL-765	725	0	725	768100	0	725	TRUE	
759677	1028486-01-2 	MLN-8237	45	0	45	759677	0	45	TRUE	
609699	119413-54-6	Topotecan	0	679	679	609699	0	679	TRUE	
755775	849217-64-7	XL-880	310	310	310	755775	-310	310	TRUE	
758489	204205-90-3 	ZIP-301	743	0	743	758489	0	743	TRUE	
66847	50-35-1	Thalidomide	0	0	670	66847	670	670	TRUE	
246131	56124-62-0	Valrubicin	0	695	695	246131	0	695	TRUE	
756879	170632-47-0	YC-1	735	0	735	756879	0	735	TRUE	
765889	1227939-82-3	ABT-348	24	0	24	765889	0	24	TRUE	
119875		NSC119875	0	214	214	119875	0	214	TRUE	
756641	780757-88-2	ICG-001	360	0	360	756641	0	360	TRUE	
764823	845272-21-1	Varlitinib	0	0	697	764823	697	697	TRUE	
756662	666752-22-3	SR-13654	641	0	641	756662	0	641	TRUE	
138783	3543-75-7	Bendamustine	0	125	125	138783	0	125	TRUE	
16895	554-13-2	Lithium Carbonate	0	0	431	16895	431	431	TRUE	
721782	110117-83-4	1-Methyl-[D]-tryptophan	0	0	4	721782	4	4	TRUE	
756653	193551-21-2	SB-239063	614	0	614	756653	0	614	TRUE	
763094	1101854-58-3	JZL-184	399	0	399	763094	0	399	TRUE	
764090	1196681-44-3	BMS-777607	158	0	158	764090	0	158	TRUE	
764658	1224844-38-5	INK-128	371	0	371	764658	0	371	TRUE	
747972	191732-72-6	Lenalidomide	0	0	425	747972	425	425	TRUE	
754771	84625-61-6	Itraconazole	0	382	382	754771	0	382	TRUE	
79037	13010-47-4	Lomustine	0	436	436	79037	0	436	TRUE	
758243	1001350-96-4	BMS-754807	157	157	157	758243	-157	157	TRUE	
756646	430429-02-0	IWR-1	386	0	386	756646	0	386	TRUE	
756874	220036-08-8	NU-6027	499	0	499	756874	0	499	TRUE	
754230	146464-95-1	Pralatrexate	0	568	568	754230	0	568	TRUE	
766888	95809-78-2	BBOA	0	0	228	766888	228	228	TRUE	
759224	870281-82-6	CAL-101	179	179	179	759224	-179	179	TRUE	
109724	3778-73-2	Ifosfamide	0	364	364	109724	0	364	TRUE	
763929	252916-29-3	SU-6668	646	0	646	763929	0	646	TRUE	
761431	1029872-54-5	Vemurafenib	0	699	699	761431	0	699	TRUE	
761759	1157847-46-5	TAK-960 analog	0	0	657	761759	657	657	TRUE	
698215	157542-91-1	XK-469	719	0	719	698215	0	719	TRUE	
767746	475488-23-4	ADW-742	33	0	33	767746	0	33	TRUE	
102816	320-67-2	Azacitidine	0	97	97	102816	0	97	TRUE	
762418	1214266-16-6	TAK Plk inhibitor	0	0	650	762418	650	650	TRUE	
757439	698387-09-6	WAY-179272 	0	0	546	757439	546	546	TRUE	
761432	183133-96-2	Cabazitaxel	0	0	177	761432	177	177	TRUE	
765974	1217486-61-7	BYL-719	175	0	175	765974	0	175	TRUE	
759905	1186222-89-8	4SC-202	0	0	0		0	0	TRUE	
18509	106-60-5	Aminolevulinic acid	0	0	57	18509	57	57	TRUE	
765396	1207456-01-6	BMN-673 (racemate)	0	146	146	765396;767125;767533	0	146	TRUE	
755385	957054-30-7	GDC-0941	319	0	319	755385	0	319	TRUE	
751249	915019-65-7	BEZ-235	128	0	128	751249	0	128	TRUE	
765866	923032-37-5	BAY-86-9766	121	591	121	765866	-591	591	FALSE	merge 121 to 591 and remove 121
766118	108605-62-5	Teriflunomide	0	0	666	766118	666	666	TRUE	
67574	2068-78-2	Vincristine	0	702	702	67574	0	702	TRUE	
95100	20830-75-5	Digoxin	0	0	262	95100	262	262	TRUE	
758246	1204531-25-8 	GSK-1120212	0	683	683	758246	0	683	TRUE	
761069	945595-80-2	AMG-900	54	0	54	761069	0	54	TRUE	
765262	1037624-75-1	R-428	584	0	584	765262	0	584	TRUE	
760143	726169-73-9	MG-0103	459	0	459	760143	0	459	TRUE	
764659	891494-63-6	SCH-900776	623	0	623	764659	0	623	TRUE	
63878	147-94-4	Cytarabine	0	245	245	63878	0	245	TRUE	
764820	1229236-86-5	LY-2784544	444	0	444	764820	0	444	TRUE	
296961	63717-27-1	Amifostine	0	0	55	296961	55	55	TRUE	
754348	865773-15-5	PF-03084014 diastereomer 1	0	0	540	754348	540	540	TRUE	
755403	15307-79-6	Diclofenac	0	0	261	755403	261	261	TRUE	
