SAMPLE_ID	original order	SAMPLE_NAME	PRIMARY_MOA	GENE_SYMBOL	SMILES_ISO	SUPPLIER	SUPPLIER_ID	drug	matching
NCGC00509117-01	16	Calicheamicin gamma1	DNA Binder - cleaves ds DNA	NA	CCN[C@H]1CO[C@H](C[C@@H]1OC)O[C@@H]2[C@@H](O)[C@H](NO[C@H]3C[C@H](O)[C@H](SC(=O)C4=C(C)C(=C(O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](OC)[C@H]5O)C(=C4OC)OC)I)[C@@H](C)O3)[C@@H](C)O[C@H]2O[C@H]6C#C\C=C/C#C[C@]7(O)CC(=O)C(=C6\C7=C/CSSSC)/NC(=O)OC	Levena Biopharma	LN-T-6888		
NCGC00509118-01	17	N-Acetyl-Calicheamicin gamma1	DNA Binder - cleaves ds DNA	NA	CCN([C@H]1CO[C@H](C[C@@H]1OC)O[C@@H]2[C@@H](O)[C@H](NO[C@H]3C[C@H](O)[C@H](SC(=O)C4=C(C)C(=C(O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](OC)[C@H]5O)C(=C4OC)OC)I)[C@@H](C)O3)[C@@H](C)O[C@H]2O[C@H]6C#C\C=C/C#C[C@]7(O)CC(=O)C(=C6\C7=C/CSSSC)/NC(=O)OC)C(C)=O	Levena Biopharma	D4006		
NCGC00509119-01	18	Tubulysin IM-2 TFA	Tubulin polymerization Inhibitor	NA	CC[C@H](C)[C@H](NC(=O)[C@H]1CCCCN1C)C(=O)N(C)[C@H](C[C@@H](OC(C)=O)C2=NC(=CS2)C(O)=O)C(C)C	Levena Biopharma	T1208		
NCGC00509120-01	19	Tubulysin M TFA	Tubulin polymerization Inhibitor	NA	CC[C@H](C)[C@H](NC(=O)[C@H]1CCCCN1C)C(=O)N(C)[C@H](C[C@@H](OC(C)=O)C2=NC(=CS2)C(=O)N[C@H](C[C@H](C)C(O)=O)CC3=CC=CC=C3)C(C)C	Levena Biopharma	T1008		
NCGC00509121-01	20	Monomethyl Dolastatin 10 TFA salt	Tubulin polymerization Inhibitor	NA	CC[C@H](C)[C@@H]([C@H](N)CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](CC2=CC=CC=C2)C3=NC=CS3)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C	Levena Biopharma	T1002		
NCGC00509122-01	21	DM1	Tubulin polymerization Inhibitor	NA	CO[C@@H]1\C=C\C=C(/C)CC2=CC(=C(Cl)C(=C2)OC)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCS)[C@]3(C)OC3[C@H](C)C4C[C@@]1(O)NC(=O)O4	Levena Biopharma	LN-T-4582		
NCGC00509123-01	22	DM4	Tubulin polymerization Inhibitor	NA	CO[C@@H]1\C=C\C=C(/C)CC2=CC(=C(Cl)C(=C2)OC)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCC(C)(C)S)[C@]3(C)OC3[C@H](C)C4C[C@@]1(O)NC(=O)O4	Levena Biopharma	LN-T-7544		
NCGC00509125-01	23	Duocarmycin MA	DNA Alkylating Agent	NA	CC(C)(C)OC(=O)NC1=CC2=C([NH]C(=C2)C(=O)N3C[C@@H](CCl)C4=C3C=C(O)C5=C4C=CC=C5)C=C1	Levena Biopharma	D1008		
NCGC00509126-01	24	Duocarmycin TA	DNA Alkylating Agent	NA	COC1=CC2=C([NH]C(=C2)C(=O)N3C[C@@H](CCl)C4=C3C=C(O)C5=C4C=CC=C5)C(=C1OC)OC	Levena Biopharma	D1007		
NCGC00509128-01	25	Maytansinoid	Tubulin polymerization Inhibitor	NA	CO[C@@H]1\C=C\C=C(/C)CC2=CC(=C(Cl)C(=C2)OC)N(C)C(=O)C[C@H](O)[C@]3(C)O[C@H]3[C@H](C)C4C[C@@]1(O)NC(=O)O4	Levena Biopharma	T1109		
NCGC00509129-01	26	PNU 159682	DNA Topoisomerase II Inhibitor	NA	CO[C@H]1OCCN2[C@H]3C[C@@H](O[C@@H](C)[C@H]3O[C@H]12)O[C@H]4C[C@@](O)(CC5=C(O)C6=C(C(=C45)O)C(=O)C7=C(OC)C=CC=C7C6=O)C(=O)CO	Levena Biopharma	D4001		
NCGC00509141-01	27	Duocarmycin DM	DNA Alkylating Agent	NA	CN(C)CCOC1=CC2=C([NH]C(=C2)C(=O)N3C[C@@H](CCl)C4=C3C=C(O)C5=C4C=CC=C5)C=C1	Levena Biopharma	D1009		
