"stripped_cell_line_name"	"CCLE_Name"	"Alias"	"COSMICID"	"sex"	"source"	"Achilles_n_replicates"	"cell_line_NNMD"	"culture_type"	"culture_medium"	"cas9_activity"	"RRID"	"sample_collection_site"	"primary_or_metastasis"	"primary_disease"	"Subtype"	"age"	"Sanger_Model_ID"	"depmap_public_comments"	"lineage"	"lineage_subtype"	"lineage_sub_subtype"	"lineage_molecular_subtype"	"depmap_id"	"cdb.name"	"TissueType"	"OncoTree1"	"OncoTree2"	"OncoTree3"	"OncoTree4"	"EMT"	"NAPY"	"TNBC"
"786O"	"786O_KIDNEY"	""	905947	"Male"	"ATCC"	3	-4.2690894	"Adherent"	"RPMI + 10% FBS"	"36.5"	"CVCL_1051"	"kidney"	"Primary"	"Kidney Cancer"	"Renal Carcinoma, clear cell"	58	"SIDM00125"	""	"kidney"	"renal_cell_carcinoma"	"clear_cell"	""	"ACH-000649"	"786-O"	"kidney: clear_cell_renal_cell_carcinoma"	"Kidney"	"Renal Cell Carcinoma (RCC)"	"Renal Clear Cell Carcinoma (CCRCC)"	NA	"Mesenchymal"	NA	NA
"8305C"	"8305C_THYROID"	""	906795	"Female"	"DSMZ"	2	-4.7785178	"Adherent"	"RPMI + 15% FBS"	"8.6"	"CVCL_1053"	"thyroid"	"Primary"	"Thyroid Cancer"	"Carcinoma"	67	"SIDM00997"	""	"thyroid"	"thyroid_carcinoma"	""	""	"ACH-001306"	"8305C"	"thyroid: anaplastic_carcinoma"	"Thyroid"	"Anaplastic Thyroid Cancer (THAP)"	NA	NA	"Mesenchymal"	NA	NA
"8MGBA"	"8MGBA_CENTRAL_NERVOUS_SYSTEM"	""	687562	"Female"	"DSMZ"	2	-3.7124311	"Adherent"	"MEM + 20% FBS"	"45.7"	"CVCL_1052"	"central_nervous_system"	"Primary"	"Brain Cancer"	"Astrocytoma"	54	"SIDM00998"	""	"central_nervous_system"	"glioma"	"astrocytoma"	""	"ACH-000137"	"8-MG-BA"	"central_nervous_system: astrocytoma_Grade_IV"	"Brain_CNS"	"Diffuse Glioma (DIFG)"	"Astrocytoma (ASTR)"	NA	"Mesenchymal"	NA	NA
"9505BIK"	"9505BIK_PANCREAS"	""	NA	"Unknown"	"Academic lab"	1	-4.7043831	"Adherent"	"DMEM:F12 (1:1) + 10% FBS"	"38.4"	""	"pancreas"	""	"Pancreatic Cancer"	"Ductal Adenocarcinoma, exocrine"	NA	""	""	"pancreas"	"exocrine"	"exocrine_adenocarcinoma"	""	"ACH-001999"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"95T1000"	"95T1000_SOFT_TISSUE"	""	NA	"Unknown"	"Academic lab"	2	-3.4005582	"Adherent"	"RPMI + 10% FBS + 1% Pen-Strep"	"19.7"	"CVCL_WU67"	"soft_tissue"	""	"Liposarcoma"	"WDLPS"	NA	""	""	"soft_tissue"	"liposarcoma"	"WDLPS"	""	"ACH-001796"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"A2058"	"A2058_SKIN"	""	906792	"Male"	"ATCC"	2	-5.1908871	"Adherent"	"DMEM + 10% FBS"	"0"	"CVCL_1059"	"lymph_node"	"Metastasis"	"Skin Cancer"	"Melanoma"	43	"SIDM00797"	""	"skin"	"melanoma"	""	""	"ACH-000788"	"A2058"	"skin: malignant_melanoma"	"Skin"	"Melanoma (MEL)"	NA	NA	"Mesenchymal"	NA	NA
"A253"	"A253_SALIVARY_GLAND"	""	906794	"Male"	"ATCC"	2	-3.8540059	"Adherent"	"McCoy's 5A + 10% FBS"	"8.4"	"CVCL_1060"	"upper_aerodigestive_tract"	"Primary"	"Head and Neck Cancer"	"Squamous Cell Carcinoma, salivary gland"	54	"SIDM00796"	""	"upper_aerodigestive"	"upper_aerodigestive_squamous"	"salivary_gland"	""	"ACH-000740"	"A-253"	"salivary_gland: mucoepidermoid_carcinoma"	"Head_Neck"	"Salivary Carcinoma (SACA)"	"Mucoepidermoid Carcinoma (MUCC)"	NA	"Epithelial"	NA	NA
"A2780"	"A2780_OVARY"	""	906804	"Female"	"ECACC"	2	-3.7540908	"Adherent"	"RPMI + 10% FBS"	"16.7"	"CVCL_0134"	"ovary"	"Primary"	"Ovarian Cancer"	"Adenocarcinoma, endometrioid"	NA	"SIDM00210"	""	"ovary"	"ovary_adenocarcinoma"	"endometrioid"	""	"ACH-000657"	"A2780"	"ovary: adenocarcinoma"	"Ovary"	"Ovarian Epithelial Tumor (OVT)"	NA	NA	"Mesenchymal"	NA	NA
"A375"	"A375_SKIN"	""	906793	"Female"	"ATCC"	2	-4.1410239	"Adherent"	"DMEM + 10% FBS"	"9.6"	"CVCL_0132"	"skin"	"Primary"	"Skin Cancer"	"Melanoma"	54	"SIDM00795"	""	"skin"	"melanoma"	""	""	"ACH-000219"	"A-375"	"skin: malignant_melanoma"	"Skin"	"Melanoma (MEL)"	NA	NA	"Mesenchymal"	NA	NA
"A375SKINCJ1"	"A375_SKIN_CJ1_RESISTANT"	"A375 RMR"	NA	"Unknown"	"Academic lab"	2	-4.0064534	"Adherent"	"RPMI + 10% FBS + 1% Pen-Strep"	"19.5"	""	"skin"	""	"Skin Cancer"	"Melanoma"	NA	""	"Drug resistance: Dabrafenib and Trametinib"	"skin"	"melanoma"	""	""	"ACH-002001"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"A375SKINCJ2"	"A375_SKIN_CJ2_RESISTANT"	"A375 ER-2"	NA	"Unknown"	"Academic lab"	2	-4.238159	"Adherent"	"RPMI + 10% FBS + 1% Pen-Strep"	"10.1"	""	"skin"	""	"Skin Cancer"	"Melanoma"	NA	""	"Drug resistance: SCH772984"	"skin"	"melanoma"	""	""	"ACH-002002"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"A375SKINCJ3"	"A375_SKIN_CJ3_RESISTANT"	"A375 RMR SCH 0.25"	NA	"Unknown"	"Academic lab"	2	-3.1546944	"Adherent"	"RPMI + 10% FBS + 1% Glutamax + 0.5% Gentamicin + HEPES"	"7.6"	""	"skin"	""	"Skin Cancer"	"Melanoma"	NA	""	"Drug resistance: Dabrafenib and Trametinib"	"skin"	"melanoma"	""	""	"ACH-002003"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"A388"	"A388_SKIN"	""	910697	"Male"	"ATCC"	2	-4.2319551	"Adherent"	"DMEM + 10% FBS"	"14"	"CVCL_1063"	"lymph_node"	"Metastasis"	"Cervical Cancer"	"Squamous Cell Carcinoma"	86	"SIDM00794"	""	"cervix"	"cervical_squamous"	""	""	"ACH-001442"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"A3KAW"	"A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	""	910935	"Female"	"HSRRB"	2	-3.100244	"Suspension"	"RPMI + 10% FBS"	"28.2"	"CVCL_1062"	"ascites"	"Primary"	"Lymphoma"	"Diffuse Large B-cell Lymphoma (DLBCL)"	NA	"SIDM00495"	""	"lymphocyte"	"non_hodgkin_lymphoma"	"DLBCL"	""	"ACH-000697"	"A3/KAW"	"haematopoietic_and_lymphoid_tissue: diffuse_large_B_cell_lymphoma"	"Lymph"	"Non-Hodgkin's Lymphoma (NHL)"	"B-Cell Lymphoma (BCL)"	"Diffuse Large B-Cell Lymphoma (DLBCL)"	NA	NA	NA
"A427"	"A427_LUNG"	""	910851	"Male"	"Academic lab"	3	-2.7896306	"Adherent"	"DMEM + 10% FBS"	"33.7"	"CVCL_1055"	"lung"	""	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"	NA	"SIDM00810"	""	"lung"	"NSCLC"	"NSCLC_adenocarcinoma"	""	"ACH-000757"	"A427"	"Lung"	"Lung"	NA	NA	NA	NA	NA	NA
"A431"	"A431_SKIN"	""	910925	"Female"	"ATCC"	2	-4.26649	"Adherent"	"DMEM + 10% FBS"	"13.5"	"CVCL_0037"	"skin"	"Primary"	"Skin Cancer"	"Squamous Cell Carcinoma"	85	"SIDM00995"	""	"skin"	"skin_squamous"	""	""	"ACH-001328"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"A549"	"A549_LUNG"	""	905949	"Male"	"ATCC"	4	-2.6732347	"Adherent"	"DMEM + 10% FBS"	"17.2"	"CVCL_0023"	"lung"	"Primary"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"	52	"SIDM00903"	""	"lung"	"NSCLC"	"NSCLC_adenocarcinoma"	""	"ACH-000681"	"A549"	"lung: non_small_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"Mesenchymal"	NA	NA
"A673"	"A673_BONE"	""	684052	"Female"	"ATCC"	2	-2.945665	"Adherent"	"DMEM + 10% FBS"	"32.8"	"CVCL_0080"	"soft_tissue"	"Primary"	"Bone Cancer"	"Ewings Sarcoma"	15	"SIDM00848"	""	"bone"	"Ewing_sarcoma"	""	"EWS_FLI"	"ACH-000052"	"A-673"	"bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour"	"Bone"	"Ewing Sarcoma (ES)"	NA	NA	"Mesenchymal"	NA	NA
"ABC1"	"ABC1_LUNG"	""	906791	"Male"	"HSRRB"	3	-5.6365667	"Adherent"	"MEM + 10% FBS"	"22.5"	"CVCL_1066"	"pleural_effusion"	"Metastasis"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"	47	"SIDM00494"	""	"lung"	"NSCLC"	"NSCLC_adenocarcinoma"	""	"ACH-000528"	"ABC-1"	"lung: non_small_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"Epithelial"	NA	NA
"ACCMESO1"	"ACCMESO1_PLEURA"	""	NA	"Female"	"RIKEN"	2	-4.0540694	"Adherent"	"RPMI + 10% FBS + Glutamax + Sodium pyruvate"	"21.4"	"CVCL_5113"	"pleura"	""	"Lung Cancer"	"Mesothelioma"	61	""	""	"lung"	"mesothelioma"	""	""	"ACH-000086"	"ACC-MESO-1"	"pleura: mesothelioma"	"Mesothelium"	"Mesothelioma (MESO)"	NA	NA	"Mesenchymal"	NA	NA
"AGS"	"AGS_STOMACH"	""	906790	"Female"	"ATCC"	2	-3.4669359	"Adherent"	"F12K + 10% FBS"	"16.3"	"CVCL_0139"	"stomach"	"Primary"	"Gastric Cancer"	"Adenocarcinoma"	54	"SIDM00850"	""	"gastric"	"gastric_adenocarcinoma"	""	""	"ACH-000880"	"AGS"	"stomach: adenocarcinoma"	"Esophagus_Stomach"	"Esophagogastric Adenocarcinoma (EGC)"	"Stomach Adenocarcinoma (STAD)"	NA	"Epithelial"	NA	NA
"AML193"	"AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	""	NA	"Female"	"ATCC"	2	-2.6428428	"Suspension"	"IMDM + 5% FBS + 10ug/ml Insulin + 5ug/ml Transferrin + 2ng/ml GM-CSF"	"9.5"	"CVCL_1071"	"haematopoietic_and_lymphoid_tissue"	"Primary"	"Leukemia"	"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)"	13	""	""	"blood"	"AML"	"M5"	""	"ACH-000557"	"AML-193"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	NA	NA	NA
"AMO1"	"AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	""	1295741	"Female"	"DSMZ"	1	-3.400869	"Suspension"	"RPMI + 10% FBS"	"37"	"CVCL_1806"	"ascites"	"Primary"	"Myeloma"	"Multiple Myeloma, plasmacytoma"	64	"SIDM00993"	""	"plasma_cell"	"multiple_myeloma"	"plasmacytoma"	""	"ACH-000838"	"AMO-1"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	NA	NA	NA
"ANGMCSS"	"ANGMCSS_CENTRAL_NERVOUS_SYSTEM"	""	NA	"Male"	"Sigma-Aldrich"	2	-4.6995969	"Adherent"	"HITES + 10% FBS + 2mM Glutamine + 0.4ug/ml Hydrocortisone"	"20.8"	"CVCL_2297"	"central_nervous_system"	"Primary"	"Brain Cancer"	"Glioblastoma"	65	""	""	"central_nervous_system"	"glioma"	"glioblastoma"	""	"ACH-001329"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ASH3"	"ASH3_THYROID"	""	1290722	"Female"	"JCRB"	2	-5.1059322	"Adherent"	"DMEM:RPMI (1:1) + 10% FBS"	"8"	"CVCL_2856"	"thyroid"	"Primary"	"Thyroid Cancer"	"Carcinoma"	68	"SIDM00491"	""	"thyroid"	"thyroid_carcinoma"	""	""	"ACH-001443"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ASPC1"	"ASPC1_PANCREAS"	""	910702	"Female"	"ATCC"	3	-2.6741039	"Adherent"	"RPMI + 10% FBS"	"57.2"	"CVCL_0152"	"ascites"	"Metastasis"	"Pancreatic Cancer"	"Ductal Adenocarcinoma, exocrine"	62	"SIDM00899"	""	"pancreas"	"exocrine"	"exocrine_adenocarcinoma"	""	"ACH-000222"	"AsPC-1"	"pancreas: ductal_carcinoma"	"Pancreas"	"Pancreatic Adenocarcinoma (PAAD)"	NA	NA	"Epithelial"	NA	NA
"AU565"	"AU565_BREAST"	""	910704	"Female"	"ATCC"	2	-2.8551433	"Adherent"	"DMEM + 10% FBS"	"36.2"	"CVCL_1074"	"pleural_effusion"	"Metastasis"	"Breast Cancer"	"Adenocarcinoma"	43	"SIDM00898"	""	"breast"	"breast_adenocarcinoma"	"ERneg_HER2pos"	"HER2_amp"	"ACH-000248"	"AU565"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"Epithelial"	NA	NA
"BC3C"	"BC3C_URINARY_TRACT"	""	NA	"Female"	"DSMZ"	2	-4.9134778	"Adherent"	"McCoy's 5A + 10% FBS"	"4.9"	"CVCL_1958"	"urinary_tract"	"Primary"	"Bladder Cancer"	"Transitional Cell Carcinoma"	82	""	""	"urinary_tract"	"bladder_carcinoma"	"bladder_transitional_cell"	""	"ACH-000593"	"BC-3C"	"urinary_tract: transitional_cell_carcinoma"	"Bladder_Urinary_Tract"	"Bladder Urothelial Carcinoma (BLCA)"	NA	NA	"Mesenchymal"	NA	NA
"BFTC905"	"BFTC905_URINARY_TRACT"	""	910926	"Female"	"DSMZ"	2	-4.9015209	"Adherent"	"DMEM + 10% FBS"	"38.8"	"CVCL_1083"	"urinary_tract"	"Primary"	"Bladder Cancer"	"Transitional Cell Carcinoma"	51	"SIDM00989"	""	"urinary_tract"	"bladder_carcinoma"	"bladder_transitional_cell"	""	"ACH-000802"	"BFTC-905"	"urinary_tract: transitional_cell_carcinoma"	"Bladder_Urinary_Tract"	"Bladder Urothelial Carcinoma (BLCA)"	NA	NA	"Epithelial"	NA	NA
"BFTC909"	"BFTC909_KIDNEY"	""	910698	"Male"	"DSMZ"	2	-4.6059462	"Adherent"	"DMEM + 10% FBS"	"38.8"	"CVCL_1084"	"kidney"	"Primary"	"Kidney Cancer"	"Renal Carcinoma, transitional cell"	64	"SIDM00988"	""	"kidney"	"renal_cell_carcinoma"	"transitional_cell"	""	"ACH-000792"	"BFTC-909"	"kidney: carcinoma"	"Kidney"	"Renal Cell Carcinoma (RCC)"	NA	NA	"Mesenchymal"	NA	NA
"BHY"	"BHY_UPPER_AERODIGESTIVE_TRACT"	""	753535	"Male"	"DSMZ"	2	-3.9239631	"Adherent"	"DMEM + 10% FBS"	"8.8"	"CVCL_1086"	"upper_aerodigestive_tract"	"Primary"	"Head and Neck Cancer"	"Squamous Cell Carcinoma, oral"	52	"SIDM00986"	""	"upper_aerodigestive"	"upper_aerodigestive_squamous"	"oral"	""	"ACH-000548"	"BHY"	"upper_aerodigestive_tract: squamous_cell_carcinoma"	"Head_Neck"	NA	NA	NA	"Epithelial"	NA	NA
"BICR16"	"BICR16_UPPER_AERODIGESTIVE_TRACT"	""	NA	"Male"	"ECACC"	2	-2.4568332	"Adherent"	"DMEM + 10% FBS"	"26.3"	"CVCL_2308"	"upper_aerodigestive_tract"	"Primary"	"Head and Neck Cancer"	"Squamous Cell Carcinoma, oral"	NA	""	""	"upper_aerodigestive"	"upper_aerodigestive_squamous"	"oral"	""	"ACH-000503"	"BICR 16"	"upper_aerodigestive_tract: squamous_cell_carcinoma"	"Head_Neck"	NA	NA	NA	"Epithelial"	NA	NA
"BICR22"	"BICR22_UPPER_AERODIGESTIVE_TRACT"	""	1240121	"Male"	"ECACC"	2	-4.1026952	"Adherent"	"DMEM + 10% FBS + 2mM Glutamine + 0.4ug/ml Hydrocortisone"	"5.6"	"CVCL_2310"	"lymph_node"	"Metastasis"	"Head and Neck Cancer"	"Squamous Cell Carcinoma, oral"	NA	"SIDM00485"	""	"upper_aerodigestive"	"upper_aerodigestive_squamous"	"oral"	""	"ACH-000794"	"BICR 22"	"upper_aerodigestive_tract: squamous_cell_carcinoma"	"Head_Neck"	NA	NA	NA	"Epithelial"	NA	NA
"BICR31"	"BICR31_UPPER_AERODIGESTIVE_TRACT"	""	1290725	"Male"	"ECACC"	2	-3.4817019	"Adherent"	"DMEM + 10% FBS"	"44.3"	"CVCL_2312"	"upper_aerodigestive_tract"	"Primary"	"Head and Neck Cancer"	"Squamous Cell Carcinoma, oral"	NA	"SIDM00078"	""	"upper_aerodigestive"	"upper_aerodigestive_squamous"	"oral"	""	"ACH-000228"	"BICR 31"	"upper_aerodigestive_tract: squamous_cell_carcinoma"	"Head_Neck"	NA	NA	NA	"Epithelial"	NA	NA
"BICR56"	"BICR56_UPPER_AERODIGESTIVE_TRACT"	""	NA	"Female"	"ECACC"	2	-4.8620529	""	"DMEM + 10% FBS + 2mM Glutamine + 0.4ug/ml Hydrocortisone"	"19.3"	"CVCL_2313"	"upper_aerodigestive_tract"	"Primary"	"Head and Neck Cancer"	"Squamous Cell Carcinoma, oral"	NA	""	""	"upper_aerodigestive"	"upper_aerodigestive_squamous"	"oral"	""	"ACH-000771"	"BICR 56"	"upper_aerodigestive_tract: squamous_cell_carcinoma"	"Head_Neck"	NA	NA	NA	"Epithelial"	NA	NA
"BICR6"	"BICR6_UPPER_AERODIGESTIVE_TRACT"	""	NA	"Male"	"ECACC"	2	-3.8953808	"Adherent"	"DMEM + 10% FBS"	"10.6"	"CVCL_2314"	"upper_aerodigestive_tract"	"Primary"	"Head and Neck Cancer"	"Squamous Cell Carcinoma, oral"	NA	""	""	"upper_aerodigestive"	"upper_aerodigestive_squamous"	"oral"	""	"ACH-000415"	"BICR 6"	"upper_aerodigestive_tract: squamous_cell_carcinoma"	"Head_Neck"	NA	NA	NA	"Epithelial"	NA	NA
"BICR78"	"BICR78_UPPER_AERODIGESTIVE_TRACT"	""	1240122	"Male"	"Sigma-Aldrich"	2	-2.0572778	"Adherent"	"DMEM + 10% FBS + Glutamine + Hydrocortisone"	"7.5"	"CVCL_2315"	"upper_aerodigestive_tract"	"Primary"	"Head and Neck Cancer"	"Squamous Cell Carcinoma, oral"	NA	"SIDM00501"	""	"upper_aerodigestive"	"upper_aerodigestive_squamous"	"oral"	""	"ACH-001332"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BIN67"	"BIN67_OVARY"	""	NA	"Female"	"Academic lab"	2	-3.7384846	"Adherent"	"DMEM:F12  (1:1) + 20% FBS"	"57"	"CVCL_S987"	"bone"	"Metastasis"	"Ovarian Cancer"	"Small Cell Carcinoma of the Ovary Hypercalcemic Type (SCCOHT)"	NA	""	""	"ovary"	"SCCOHT"	""	""	"ACH-001278"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BL70"	"BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	""	NA	"Male"	"DSMZ"	1	-2.1778516	"Suspension"	"RPMI + 10% FBS + 1mM Sodium pyruvate + 50uM 2-Mercaptoethanol"	"62.7"	"CVCL_1088"	"haematopoietic_and_lymphoid_tissue"	""	"Lymphoma"	"B-cell, Non-Hodgkins, Burkitts"	16	"SIDM00074"	""	"lymphocyte"	"non_hodgkin_lymphoma"	"b_cell_burkitt"	""	"ACH-000402"	"BL-70"	"haematopoietic_and_lymphoid_tissue: Burkitt_lymphoma"	"Lymph"	"Non-Hodgkin's Lymphoma (NHL)"	"B-Cell Lymphoma (BCL)"	"Burkitt Lymphoma (BL)"	NA	NA	NA
"BLUE1"	"BLUE1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	""	NA	"Male"	"DSMZ"	2	-3.4145728	"Suspension"	"RPMI + 20% FBS"	"13"	"CVCL_1967"	"bone_marrow"	"Primary"	"Lymphoma"	"B-cell, Non-Hodgkins, Burkitts"	29	""	""	"lymphocyte"	"non_hodgkin_lymphoma"	"b_cell_burkitt"	""	"ACH-001450"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BOKU"	"BOKU_CERVIX"	""	NA	"Female"	"JCRB"	2	-4.063511	"Adherent"	"F12 + 10% FBS"	"13.7"	""	"cervix"	"Primary"	"Cervical Cancer"	"Squamous Cell Carcinoma"	NA	"SIDM00073"	""	"cervix"	"cervical_squamous"	""	""	"ACH-001451"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BT12"	"BT12_SOFT_TISSUE"	""	NA	"Female"	"Academic lab"	2	-3.575145	"Adherent"	"DMEM + 10% FBS"	"21.3"	"CVCL_M155"	"soft_tissue"	""	"Rhabdoid"	"Atypical Teratoid Rhabdoid Tumor (ATRT)"	0.1	""	""	"soft_tissue"	"ATRT"	""	""	"ACH-000160"	"BT12"	"Soft_Tissue"	"Soft_Tissue"	NA	NA	NA	NA	NA	NA
