,COSMIC.identifier,Sample.Name,Sample.Name.Old,Whole.Exome.Sequencing..WES.,Copy.Number.Alterations..CNA.,Gene.Expression,Methylation,Drug.Response,GDSC.Tissue.descriptor.1,GDSC.Tissue.descriptor.2,Cancer.Type..matching.TCGA.label.,Microsatellite..instability.Status..MSI.,Screen.Medium,Growth.Properties,Name,TissueType,OncoTree1,OncoTree2,OncoTree3,OncoTree4,EMT,NAPY,TNBC,CellosaurusID
13,687506,C-4-I,C-4-I,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent,C-4-I,CESC,Cervix,NA,NA,NA,Epithelial,NA,NA,
14,687514,ME-180,ME-180,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent,ME-180,CESC,Cervix,NA,NA,NA,Epithelial,NA,NA,
15,687561,42-MG-BA,42-MG-BA,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,R,Adherent,42-MG-BA,GBM,Brain_CNS,Diffuse Glioma (DIFG),Astrocytoma (ASTR),NA,Mesenchymal,NA,NA,
16,687562,8-MG-BA,8-MG-BA,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,8-MG-BA,GBM,Brain_CNS,Diffuse Glioma (DIFG),Astrocytoma (ASTR),NA,Mesenchymal,NA,NA,
17,687563,A172,A172,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,A172,GBM,Brain_CNS,Diffuse Glioma (DIFG),Astrocytoma (ASTR),NA,Mesenchymal,NA,NA,
18,687568,GB-1,GB-1,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,GB-1,GBM,Brain_CNS,Diffuse Glioma (DIFG),Astrocytoma (ASTR),NA,Mesenchymal,NA,NA,
19,687586,T98G,T98G,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,T98G,GBM,Brain_CNS,Diffuse Glioma (DIFG),Astrocytoma (ASTR),NA,Mesenchymal,NA,NA,
20,687588,U-118-MG,U-118-MG,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,U-118-MG,GBM,Brain_CNS,Diffuse Glioma (DIFG),Astrocytoma (ASTR),NA,Mesenchymal,NA,NA,
21,687590,U-87-MG,U-87-MG,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,U-87-MG,GBM,Brain_CNS,Diffuse Glioma (DIFG),Astrocytoma (ASTR),NA,Mesenchymal,NA,NA,
22,687592,YKG-1,YKG-1,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,YKG-1,GBM,Brain_CNS,Diffuse Glioma (DIFG),Astrocytoma (ASTR),NA,Mesenchymal,NA,NA,
23,687596,ChaGo-K-1,ChaGo-K-1,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_not specified,UNABLE TO CLASSIFY,MSS/MSI-L,R,Adherent,ChaGo-K-1,CANNOT_CLASSIFY,Lung,NA,NA,NA,Epithelial,NA,NA,
24,687600,NCI-H720,NCI-H720,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_carcinoid,,MSS/MSI-L,D/F12,Suspension,NCI-H720,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial-Mesenchymal,ASCL1,NA,
25,687777,Calu-3,Calu-3,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,Calu-3,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial,NA,NA,
26,687780,COR-L23,COR-L23,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,R,Adherent,COR-L23,NOT_TCGA,Lung,Non-Small Cell Lung Cancer (NSCLC),NA,NA,Epithelial,NA,NA,
27,687787,LK-2,LK-2,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,R,Adherent,LK-2,LUSC,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Squamous Cell Carcinoma (LUSC),NA,Epithelial,NA,NA,
28,687794,NCI-H1437,NCI-H1437,Y,Y,N,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H1437,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,NA,NA,NA,
29,687798,NCI-H1623,NCI-H1623,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,NCI-H1623,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial,NA,NA,
30,687799,NCI-H1648,NCI-H1648,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,NCI-H1648,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial,NA,NA,
31,687800,NCI-H1650,NCI-H1650,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H1650,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial,NA,NA,
32,687802,NCI-H1693,NCI-H1693,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H1693,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial,NA,NA,
33,687804,NCI-H1770,NCI-H1770,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_not specified,UNABLE TO CLASSIFY,MSS/MSI-L,D/F12,Suspension,NCI-H1770,CANNOT_CLASSIFY,Lung,Non-Small Cell Lung Cancer (NSCLC),NA,NA,Epithelial-Mesenchymal,NA,NA,
34,687807,NCI-H1838,NCI-H1838,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H1838,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial-Mesenchymal,NA,NA,
35,687812,NCI-H2085,NCI-H2085,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,NCI-H2085,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial,NA,NA,
36,687815,NCI-H2170,NCI-H2170,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,R,Adherent,NCI-H2170,LUSC,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Squamous Cell Carcinoma (LUSC),NA,Epithelial,NA,NA,
37,687816,NCI-H2228,NCI-H2228,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H2228,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial-Mesenchymal,NA,NA,
38,687819,NCI-H2342,NCI-H2342,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,NCI-H2342,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial,NA,NA,
39,687820,NCI-H2347,NCI-H2347,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H2347,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial,NA,NA,
40,687821,NCI-H2405,NCI-H2405,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,NCI-H2405,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial-Mesenchymal,NA,NA,
41,687829,NCI-H661,NCI-H661,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,R,Adherent,NCI-H661,NOT_TCGA,Lung,Non-Small Cell Lung Cancer (NSCLC),NA,NA,Mesenchymal,NA,NA,
42,687980,COR-L311,COR-L311,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,COR-L311,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial,POU2F3,NA,
43,687983,DMS-114,DMS-114,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent,DMS-114,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Mesenchymal,YAP1,NA,
44,687985,DMS-273,DMS-273,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent,DMS-273,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Mesenchymal,NEUROD1,NA,
45,687995,NCI-H1048,NCI-H1048,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSI-H,D/F12,Adherent,NCI-H1048,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial,POU2F3,NA,
46,687997,NCI-H1092,NCI-H1092,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,NCI-H1092,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial-Mesenchymal,ASCL1,NA,
47,688006,NCI-H1694,NCI-H1694,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,NCI-H1694,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial-Mesenchymal,NEUROD1,NA,
48,688007,NCI-H187,NCI-H187,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H187,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial-Mesenchymal,ASCL1,NA,
49,688010,NCI-H1963,NCI-H1963,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H1963,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial-Mesenchymal,ASCL1,NA,
50,688011,NCI-H2029,NCI-H2029,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent,NCI-H2029,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial,ASCL1,NA,
51,688013,NCI-H209,NCI-H209,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H209,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial,ASCL1,NA,
52,688014,NCI-H2141,NCI-H2141,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,NCI-H2141,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial-Mesenchymal,ASCL1,NA,
53,688015,NCI-H2171,NCI-H2171,Y,Y,N,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,NCI-H2171,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,NA,NEUROD1,NA,
54,688018,NCI-H2227,NCI-H2227,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Semi-Adherent,NCI-H2227,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial-Mesenchymal,NEUROD1,NA,
55,688021,NCI-H345,NCI-H345,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,NCI-H345,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial-Mesenchymal,ASCL1,NA,
56,688023,NCI-H446,NCI-H446,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Semi-Adherent,NCI-H446,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Mesenchymal,NEUROD1,NA,
57,688025,NCI-H526,NCI-H526,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H526,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial,POU2F3,NA,
58,688026,NCI-H64,NCI-H64,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H64,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial-Mesenchymal,ASCL1,NA,
59,688027,NCI-H69,NCI-H69,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H69,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial-Mesenchymal,ASCL1,NA,
60,688031,NCI-H82,NCI-H82,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H82,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Mesenchymal,NEUROD1,NA,
61,688058,NCI-H2052,NCI-H2052,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent,NCI-H2052,NA,Mesothelium,Mesothelioma (MESO),NA,NA,Mesenchymal,NA,NA,
62,688086,SK-N-DZ,SK-N-DZ,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,SK-N-DZ,NA,Brain_CNS,Embryonal Tumor (EMBT),Neuroblastoma (NBL),NA,Mesenchymal,NA,NA,
63,688087,SK-N-FI,SK-N-FI,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,SK-N-FI,NA,Brain_CNS,Embryonal Tumor (EMBT),Neuroblastoma (NBL),NA,Mesenchymal,NA,NA,
64,688121,VA-ES-BJ,VA-ES-BJ,Y,Y,Y,Y,Y,soft_tissue,soft_tissue_other,,MSS/MSI-L,D/F12,Adherent,VA-ES-BJ,NA,Soft_Tissue,sarcoma,NA,NA,Mesenchymal,NA,NA,
65,713869,VMRC-LCD,VMRC-LCD,Y,Y,Y,N,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,,D/F12,Adherent,VMRC-LCD,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial,NA,NA,
66,713878,LU-139,LU-139,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,LU-139,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial-Mesenchymal,ASCL1,NA,
67,713880,SBC-5,SBC-5,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent,SBC-5,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Mesenchymal,YAP1,NA,
68,713885,SBC-1,SBC-1,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,SBC-1,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial,ASCL1,NA,
69,713899,LU-135,LU-135,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,LU-135,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial-Mesenchymal,NEUROD1,NA,
70,717431,SK-N-SH,SK-N-SH,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,SK-N-SH,OTHER,Brain_CNS,Embryonal Tumor (EMBT),Neuroblastoma (NBL),NA,Mesenchymal,NA,NA,
71,722045,NCI-H2030,NCI-H2030,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H2030,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Mesenchymal,NA,NA,
72,722046,NCI-H2122,NCI-H2122,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H2122,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial,NA,NA,
73,722058,NCI-H1734,NCI-H1734,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H1734,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial,NA,NA,
74,722066,NCI-H650,NCI-H650,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,NCI-H650,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Mesenchymal,NA,NA,
75,724812,T24,T-24,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,T-24,BLCA,Bladder_Urinary_Tract,Bladder Urothelial Carcinoma (BLCA),NA,NA,Mesenchymal,NA,NA,
76,724825,NCI-H929,NCI-H929,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,NCI-H929,NA,Blood,Multiple Myeloma (MM),NA,NA,NA,NA,NA,
77,724828,SK-N-AS,SK-N-AS,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,SK-N-AS,NA,Brain_CNS,Embryonal Tumor (EMBT),Neuroblastoma (NBL),NA,Mesenchymal,NA,NA,
78,724831,NCI-H1299,NCI-H1299,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,R,Adherent,NCI-H1299,NOT_TCGA,Lung,Non-Small Cell Lung Cancer (NSCLC),NA,NA,Mesenchymal,NA,NA,
79,724834,NCI-H2087,NCI-H2087,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Semi-Adherent,NCI-H2087,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial,NA,NA,
80,724838,UM-UC-3,UM-UC-3,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,UM-UC-3,BLCA,Bladder_Urinary_Tract,Bladder Urothelial Carcinoma (BLCA),NA,NA,Mesenchymal,NA,NA,
81,724839,SW756,SW756,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent,SW756,CESC,Cervix,NA,NA,NA,Mesenchymal,NA,NA,
82,724855,NCI-H727,NCI-H727,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_carcinoid,,MSS/MSI-L,R,Adherent,NCI-H727,NOT_TCGA,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Carcinoid (LUCA),NA,Epithelial,NA,NA,
83,724859,Calu-6,Calu-6,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,Calu-6,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial-Mesenchymal,NA,NA,
84,724863,LU-65,LU-65,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,R,Suspension,LU-65,NOT_TCGA,Lung,Non-Small Cell Lung Cancer (NSCLC),NA,NA,Epithelial-Mesenchymal,NA,NA,
85,724866,NCI-H1355,NCI-H1355,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,NCI-H1355,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial-Mesenchymal,NA,NA,
86,724868,NCI-H1792,NCI-H1792,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H1792,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial-Mesenchymal,NA,NA,
87,724869,HPAF-II,HPAF-II,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent,HPAF-II,PAAD,Pancreas,Pancreatic Adenocarcinoma (PAAD),NA,NA,Epithelial,NA,NA,
88,724870,MIA-PaCa-2,MIA-PaCa-2,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent,MIA-PaCa-2,PAAD,Pancreas,Pancreatic Adenocarcinoma (PAAD),NA,NA,Epithelial-Mesenchymal,NA,NA,
89,724872,SHP-77,SHP-77,Y,Y,Y,N,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Semi-Adherent,SHP-77,NOT_TCGA,Lung,Small Cell Lung Cancer (SCLC),NA,NA,Epithelial-Mesenchymal,ASCL1,NA,
90,724873,NCI-H2009,NCI-H2009,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,NCI-H2009,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial,NA,NA,
91,724874,NCI-H2291,NCI-H2291,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H2291,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Epithelial,NA,NA,
92,724878,SW1573,SW1573,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,SW1573,LUAD,Lung,Non-Small Cell Lung Cancer (NSCLC),Lung Adenocarcinoma (LUAD),NA,Mesenchymal,NA,NA,
93,735784,TE-5,TE-5,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,TE-5,NA,Esophagus_Stomach,Esophageal Squamous Cell Carcinoma (ESCC),NA,NA,Epithelial,NA,NA,
94,749709,HCC1954,HCC1954,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,HCC1954,BRCA,Breast,Breast Carcinoma (BRCA),Breast Invasive Ductal Carcinoma (IDC),NA,Epithelial,NA,NA,
95,749710,HCC1143,HCC1143,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,HCC1143,NA,Breast,Breast Carcinoma (BRCA),Breast Invasive Ductal Carcinoma (IDC),NA,Epithelial,NA,Breast Triple Negative,
96,749711,HCC1187,HCC1187,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Suspension,HCC1187,BRCA,Breast,Breast Carcinoma (BRCA),Breast Invasive Ductal Carcinoma (IDC),NA,Epithelial,NA,Breast Triple Negative,
