cgp	ccle	nci60
HuCCT1	HuCCT1	
KALS-1	KALS-1	
CAL-12T	CAL-12T	
THP-1	THP-1	
A3-KAW	A3/KAW	
HCC1954	HCC1954	
CAMA-1	CAMA-1	
AM-38	AM-38	
HSC-3	HSC-3	
HSC-4	HSC-4	
KP-4	KP4	
HGC-27	HGC-27	
U-266	U266B1	
CAS-1	CAS-1	
COR-L23	COR-L23	
SK-OV-3	SK-OV-3	OV:SK_OV_3
HPAF-II	HPAF-II	
CA46	CA46	
A498	A-498	RE:A498
A673	A-673	
CAPAN-1	Capan-1	
NCI-H1563	NCI-H1563	
NCI-H358	NCI-H358	
CFPAC-1	CFPAC-1	
OVCAR-3	NIH:OVCAR-3	OV:OVCAR_3
NCI-H1650	NCI-H1650	
NCI-H1793	NCI-H1793	
NCI-H1437	NCI-H1437	
KNS-62	KNS-62	
Hs-578-T	Hs 578T	BR:HS578T
BT-20	BT-20	
HH	HH	
FADU	FaDu	
SJRH30	SJRH30	
MDA-MB-361	MDA-MB-361	
DB	DB	
CAL-27	CAL 27	
MES-SA	MES-SA	
NCI-H1792	NCI-H1792	
GCT	GCT	
NCI-SNU-16	SNU-16	
NCI-H82	NCI-H82	
NCI-N87	NCI-N87	
U-2-OS	U-2 OS	
H4	H4	
GDM-1	GDM-1	
HCC1143	HCC1143	
T-24	T24	
G-401	G-401	
HCC1937	HCC1937	
Saos-2	Saos-2	
D-283MED	D283 Med	
SCC-9	SCC-9	
HCC1395	HCC1395	
NMC-G1	NMC-G1	
TE-9	TE-9	
KNS-42	KNS-42	
KYSE-520	KYSE-520	
KYSE-270	KYSE-270	
YH-13	YH-13	
IA-LM	IA-LM	
NCI-H2052	NCI-H2052	
EB2	EB2	
SK-N-FI	SK-N-FI	
SK-N-AS	SK-N-AS	
SNU-423	SNU-423	
SCC-4	SCC-4	
HCC1187	HCC1187	
SNU-387	SNU-387	
Daudi	Daudi	
HT	HT	
C2BBe1	C2BBe1	
EPLC-272H	EPLC-272H	
BxPC-3	BxPC-3	
NCI-H1355	NCI-H1355	
NCI-SNU-5	SNU-5	
SNU-475	SNU-475	
RPMI-7951	RPMI-7951	
COLO-792	COLO 792	
LS-513	LS513	
ChaGo-K-1	ChaGo-K-1	
DMS-273	DMS 273	
FTC-133	FTC-133	
A704	A-704	
Mewo	MeWo	
NCI-H2081	NCI-H2081	
NCI-H1092	NCI-H1092	
SW837	SW837	
IGR-1	IGR-1	
NCI-H1436	NCI-H1436	
COR-L88	COR-L88	
HT55	HT55	
OAW-42	OAW42	
OAW-28	OAW28	
KASUMI-1	KASUMI-1	
SK-HEP-1	SK-HEP-1	
OVCAR-8	OVCAR-8	OV:OVCAR_8
NCI-H596	NCI-H596	
NCI-H650	NCI-H650	
SW1573	SW 1573	
SK-CO-1	SK-CO-1	
KARPAS-299	KARPAS-299	
YAPC	YAPC	
HT-1197	HT-1197	
A253	A-253	
DK-MG	DK-MG	
NCI-H292	NCI-H292	
U-118-MG	U-118 MG	
TCCSUP	TCCSUP	
CAL-33	CAL-33	
COR-L279	COR-L279	
KURAMOCHI	KURAMOCHI	
A2058	A2058	
Daoy	Daoy	
LC-1F	LC-1F	
HLE	HLE	
CMK	CMK	
CPC-N	CPC-N	
PLC-PRF-5	PLC/PRF/5	
KP-N-YN	KP-N-YN	
CCF-STTG1	CCF-STTG1	
DMS-153	DMS 153	
NCI-H1048	NCI-H1048	
NCI-H1618	NCI-H1618	
SKM-1	SKM-1	
HT-144	HT-144	
DV-90	DV-90	
HCC70	HCC70	
NCI-H2452	NCI-H2452	
NCI-SNU-1	SNU-1	
LOUCY	Loucy	
MPP-89	MPP 89	
PANC-08-13	Panc 08.13	
MG-63	MG-63	
NCI-H23	NCI-H23	LC:NCI_H23
SW1088	SW 1088	
NCI-H1838	NCI-H1838	
BL-70	BL-70	
RCM-1	RCM-1	
A101D	A101D	
NCI-H1755	NCI-H1755	
NCI-H1693	NCI-H1693	
SW780	SW 780	
RKO	RKO	
MCF7	MCF7	BR:MCF7
SK-LMS-1	SK-LMS-1	
HUTU-80	HuTu 80	
MEG-01	MEG-01	
ONS-76	ONS-76	
SNU-C1	SNU-C1	
SK-N-DZ	SK-N-DZ	
DMS-114	DMS 114	
ST486	ST486	
OC-314	OC 314	
MDA-MB-157	MDA-MB-157	
769-P	769-P	
786-0	786-O	RE:786_0
Caov-3	Caov-3	
MOLT-4	MOLT-4	LE:MOLT_4
NCI-H524	NCI-H524	
NCI-H209	NCI-H209	
MIA-PaCa-2	MIA PaCa-2	
SBC-5	SBC-5	
IPC-298	IPC-298	
EFO-27	EFO-27	
A2780	A2780	
IGROV-1	IGROV1	OV:IGROV1
NCI-H889	NCI-H889	
SK-MEL-24	SK-MEL-24	
HT-1376	HT-1376	
NCI-H2171	NCI-H2171	
PANC-10-05	Panc 10.05	
EVSA-T	EVSA-T	
CHL-1	CHL-1	
LK-2	LK-2	
SK-MEL-3	SK-MEL-3	
AsPC-1	AsPC-1	
NCI-H441	NCI-H441	
NCI-H2030	NCI-H2030	
KMS-12-BM	KMS-12-BM	
T98G	T98G	
HL-60	HL-60	LE:HL_60
DBTRG-05MG	DBTRG-05MG	
MEL-JUSO	MEL-JUSO	
SW620	SW620	CO:SW_620
HCT-116	HCT 116	CO:HCT_116
VMRC-RCZ	VMRC-RCZ	
DU-145	DU 145	PR:DU_145
SK-MEL-2	SK-MEL-2	ME:SK_MEL_2
A549	A549	LC:A549
A172	A172	
NCI-H1975	NCI-H1975	
COLO-679	COLO-679	
MDA-MB-453	MDA-MB-453	
TYK-nu	TYK-nu	
EFM-19	EFM-19	
MEL-HO	MEL-HO	
RL	RL	
G-361	G-361	
GMS-10	GMS-10	
KYSE-70	KYSE-70	
GAMG	GAMG	
NCI-H522	NCI-H522	LC:NCI_H522
COLO-741	COLO 741	
HD-MY-Z	HD-MY-Z	
NCI-H661	NCI-H661	
LNCaP-Clone-FGC	LNCaP clone FGC	
LS-411N	LS411N	
YKG-1	YKG1	
ESS-1	ESS-1	
U251	U-251 MG	CNS:U251
TE-11	TE-11	
KS-1	KS-1	
TE-1	TE-1	
TE-5	TE-5	
NCI-H1155	NCI-H1155	
TE-15	TE-15	
ABC-1	ABC-1	
8-MG-BA	8-MG-BA	
NCI-H1703	NCI-H1703	
AGS	AGS	
Detroit562	Detroit 562	
ACHN	ACHN	RE:ACHN
LoVo	LoVo	
SK-MEL-30	SK-MEL-30	
22RV1	22Rv1	
C32	C32	
PANC-03-27	Panc 03.27	
RPMI-8226	RPMI 8226	LE:RPMI_8226
NCI-H1395	NCI-H1395	
LS-1034	LS1034	
SW48	SW48	
CHP-212	CHP-212	
NCI-H747	NCI-H747	
SW1417	SW1417	
SW948	SW948	
MDA-MB-415	MDA-MB-415	
DMS-79	DMS 79	
MDA-MB-468	MDA-MB-468	
NCI-H526	NCI-H526	
BT-549	BT-549	BR:BT_549
NCI-H2196	NCI-H2196	
CAL-85-1	CAL-85-1	
EFO-21	EFO-21	
A375	A-375	
HT-29	HT-29	CO:HT29
NCI-H446	NCI-H446	
SK-MEL-5	SK-MEL-5	ME:SK_MEL_5
RMG-I	RMG-I	
PC-3	PC-3	PR:PC_3
RT-112	RT-112	
NUGC-3	NUGC-3	
U-87-MG	U-87 MG	
OE19	OE19	
KM12	KM12	CO:KM12
T84	T84	
Calu-1	Calu-1	
LOXIMVI	LOX IMVI	ME:LOXIMVI
NCI-H2170	NCI-H2170	
AN3-CA	AN3 CA	
UACC-257	UACC-257	ME:UACC_257
KYSE-510	KYSE-510	
HuP-T4	HUP-T4	
KYSE-150	KYSE-150	
PSN1	PSN1	
NCI-H1299	NCI-H1299	
SCC-25	SCC-25	
MHH-NB-11	MHH-NB-11	
HCC1806	HCC1806	
MONO-MAC-6	MONO-MAC-6	
MKN7	MKN7	
SW1710	SW-1710	
MOLT-13	MOLT-13	
SR	SR-786	LE:SR
SCC-15	SCC-15	
NCI-H2126	NCI-H2126	
NCI-H2141	NCI-H2141	
RD	RD	
TT	TT	
UACC-812	UACC-812	
CAL-148	CAL-148	
MDA-MB-134-VI	MDA-MB-134-VI	
HCC1599	HCC1599	
SK-MM-2	SK-MM-2	
COLO-680N	COLO-680N	
COLO-678	COLO-678	
LAMA-84	LAMA-84	
EHEB	EHEB	
CAL-54	CAL-54	
BV-173	BV-173	
DOHH-2	DOHH-2	
NALM-6	NALM-6	
VM-CUB-1	VM-CUB1	
LP-1	LP-1	
LXF-289	LXF-289	
PF-382	PF-382	
OCI-AML2	OCI-AML2	
KE-37	KE-37	
KARPAS-422	KARPAS-422	
L-540	L-540	
HDLM-2	HDLM-2	
SCLC-21H	SCLC-21H	
Calu-3	Calu-3	
NCI-H2009	NCI-H2009	
HCC1419	HCC1419	
SHP-77	SHP-77	
NB1	NB-1	
ZR-75-30	ZR-75-30	
NCI-H2405	NCI-H2405	
DEL	DEL	
BEN	BEN	
RPMI-8402	RPMI-8402	
SU-DHL-1	SU-DHL-1	
P12-ICHIKAWA	P12-ICHIKAWA	
BFTC-905	BFTC-905	
BFTC-909	BFTC-909	
MHH-ES-1	MHH-ES-1	
JVM-3	JVM-3	
NOMO-1	NOMO-1	
NCI-H727	NCI-H727	
MKN45	MKN-45	
8505C	8505C	
KU-19-19	KU-19-19	
S-117	S-117	
EM-2	EM-2	
OPM-2	OPM-2	
CAL-62	CAL-62	
LCLC-103H	LCLC-103H	
697	697	
MHH-CALL-2	MHH-CALL-2	
L-428	L-428	
MOLT-16	MOLT-16	
LCLC-97TM1	LCLC-97TM1	
23132-87	23132/87	
BHT-101	BHT-101	
JVM-2	JVM-2	
CAL-51	CAL-51	
L-363	L-363	
KM-H2	KM-H2	
SIMA	SIMA	
BCPAP	B-CPAP	
639-V	639-V	
CAL-120	CAL-120	
647-V	647-V	
RH-18	RH-18	
HN	HN	
COLO-320-HSR		
A427		
A431		
A4-Fuk		
ACN		
ALL-PO		
ARH-77		
ATN-1		
BALL-1		
BB30-HNC		
BB49-HNC		
BB65-RCC		
BC-1		
BC-3		
BE-13		
BOKU		
BPH-1		
C-33-A		
C-4-II		
C8166		
Ca9-22		
CAL-39		
CAL-72		
CaR-1		
Ca-Ski		
CCRF-CEM		LE:CCRF_CEM
CESS		
CHP-134		
COLO-684		
COLO-824		
CP66-MEL		
CP67-MEL		
CRO-AP2		
CTB-1		
CTV-1		
D-247MG		
D-263MG		
D-336MG		
D-392MG		
D-423MG		
D-502MG		
D-542MG		
D-566MG		
DG-75		
DJM-1		
DOK		
DoTc2-4510		
DSH1		
EB-3		
ECC4		
EGI-1		
EKVX		LC:EKVX
EoL-1-cell		
ES1		
ES3		
ES5		
ES6		
ES7		
ES8		
ETK-1		
EW-1		
EW-11		
EW-12		
EW-13		
EW-16		
EW-18		
EW-22		
EW-24		
EW-3		
EW-7		
GAK		
GI-ME-N		
GOTO		
GP5d		
GR-ST		
GT3TKB		
H9		
HAL-01		
HC-1		
HCC2998		CO:HCC_2998
HCE-4		
HCE-T		
H-EMC-SS		
HMV-II		
HO-1-N-1		
HOP-62		LC:HOP_62
HOP-92		LC:HOP_92
HT-3		
HTC-C3		
HuO-3N1		
HuO9		
IM-9		
IMR-5		
IST-MEL1		
IST-SL1		
IST-SL2		
JAR		
JEG-3		
JiyoyeP-2003		
J-RT3-T3-5		
K5		
KARPAS-45		
KGN		
KINGS-1		
KMOE-2		
KOSC-2		
KP-N-YS		
KY821		
LAN-6		
LB1047-RCC		
LB2241-RCC		
LB2518-MEL		
LB373-MEL-D		
LB647-SCLC		
LB771-HNC		
LB831-BLC		
LB996-RCC		
LC4-1		
LN-405		
LU-134-A		
LU-135		
LU-139		
M059J		
M14		ME:M14
MC-IXC		
ME-180		
MFH-ino		
MFM-223		
MHH-PREB-1		
MKN28		
ML-2		
MMAC-SF		
MN-60		
MRK-nu-1		
MS-1		
MZ7-mel		
NB10		
NB12		
NB13		
NB14		
NB17		
NB5		
NB6		
NB69		
NB7		
NBsusSR		
NCCIT		
NCI-H1304		
NCI-H1522		
NCI-H1770		
NCI-H1993		
NCI-H2107		
NCI-H250		
NCI-H345		
NCI-H378		
NCI-H630		
NCI-H64		
NEC8		
NH-12		
NKM-1		
no-10		
no-11		
NOS-1		
NTERA-S-cl-D1		
NY		
OCUB-M		
OMC-1		
OVCAR-5		OV:OVCAR_5
P30-OHK		
PA-1		
PFSK-1		
QIMR-WIL		
Ramos-2G6-4C10		
REH		
RH-1		
RO82-W-1		
RPMI-2650		
RPMI-6666		
RPMI-8866		
RXF393		RE:RXF_393
SAS		
SBC-1		
SCC-3		
SCH		
SF268		CNS:SF_268
SF539		CNS:SF_539
SiHa		
SKG-IIIa		
SK-MG-1		
SK-NEP-1		
SN12C		RE:SN12C
SNU-C2B		
SW13		
SW626		
SW684		
SW872		
SW954		
SW962		
SW982		
TC-YIK		
TE-12		
TGBC1TKB		
TGBC24TKB		
TGW		
TK10		RE:TK_10
TUR		
U031		RE:UO_31
U-698-M		
UMC-11		
VA-ES-BJ		
WSU-NHL		
MZ2-MEL		
NCI-H1694	NCI-H1694	
KLE	KLE	
SK-MEL-1	SK-MEL-1	
NCI-H1734	NCI-H1734	
NCI-H322M	NCI-H322	LC:NCI_H322M
SH-4	SH-4	
ECC10	ECC10	
NCI-H1963	NCI-H1963	
RL95-2	RL95-2	
EFE-184	EFE-184	
MC116	MC116	
AU565	AU565	
HCC1569	HCC1569	
GB-1	GB-1	
NCI-H69	NCI-H69	
KG-1	KG-1	
NCI-H1648	NCI-H1648	
NCI-H1623	NCI-H1623	
Capan-2	Capan-2	
Malme-3M	Malme-3M	ME:MALME_3M
NCI-H2122	NCI-H2122	
BT-474	BT-474	
NCI-H1581	NCI-H1581	
G-402	G-402	
RT4	RT4	
K-562	K-562	LE:K_562
MV-4-11	MV-4-11	
8305C	8305C	
UACC-893	UACC-893	
CHP-126	CHP-126	
KU812	KU812	
SIG-M5	SIG-M5	
A388		
COLO-829		
CP50-MEL-B		
ES4		
LC-2-ad		
LU-165		
MC-CAR		
MLMA		
Mo-T		
MZ1-PC		
NCI-H128		
NCI-H1417		
NCI-H187		
NCI-H1882		
NCI-H719		
NCI-H720		
NCI-H748		
SK-PN-DW		
SNB75		CNS:SNB_75
SW756		
TE-441-T		
YT		
HuNS1	HuNS1	
AML-193	AML-193	
NH-6	NH-6	
NCI-H508	NCI-H508	
HUH-6-clone5	HuH-6	
KP-N-S19s	KP-N-SI9s	
HuH-28	HuH28	
MJ	MJ	
MDA-MB-435	MDA-MB-435S	ME:MDA_MB_435
NCI-H1105	NCI-H1105	
COR-L51	COR-L51	
NCI-H1930	NCI-H1930	
SNB19	SNB-19	CNS:SNB_19
MOG-G-UVW	MOG-G-UVW	
NCI-H146	NCI-H146	
SW403	SW403	
KATOIII	KATO III	
MOG-G-CCM	MOG-G-CCM	
CML-T1	CML-T1	
NALM-1	NALM-1	
MHH-CALL-4	MHH-CALL-4	
NB4	NB-4	
380		
BONNA-12		
Capan-2-DSMZ-C		
COLO-720E		
COR-L96CAR		
CRO-AP5		
D-245MG		
D-384MED		
D-397MG		
D-458MED		
D-538MG		
D-556MED		
GA-10-Clone-20		
GA-10-Clone-4		
GOTO-P3		
Gp2D		
HA7-RCC		
HeLaSF		
ITO-II		
LAN-1		
LAN-5		
LS-174T		
MC-1010		
MUTZ-1		
NB16		
NB19		
NCI-ADR-RES		
NCI-H157		
NCI-H2330		
NCI-H295		
NCI-N417		
PD1503a		
RERF-LC-FM		
RF-48		
RTSG		
SCCH-26		
SUP-B8		
TCO-1		
TE-161-T		
VMRC-MELG		
WERI-Rb-1		
P3HR-1	P3HR-1	
	HuT 78	
NCI-H1184	NCI-H1184	
TC-71	TC-71	
	OV56	
JHOS-4	JHOS-4	
	RMUG-S	
	Hs 895.T	
LN-229	LN-229	
RKN	RKN	
PA-TU-8988S	PA-TU-8988S	
RERF-LC-Ad2	RERF-LC-Ad2	
OUMS-23	OUMS-23	
	OUMS-27	
	PL45	
	Hs 940.T	
	Hs 611.T	
Toledo	Toledo	
RERF-GC-1B	RERF-GC-1B	
	COV318	
NCI-H2085	NCI-H2085	
NCI-H2066	NCI-H2066	
NCI-H1341	NCI-H1341	
	SW480	
	Hs 746T	
	Hs 739.T	
	SNU-C2A	
	HEC-151	
JHH-7	JHH-7	
	HuT 102	
SUP-B15	SUP-B15	
EBC-1	EBC-1	
	YMB-1	
	OC 316	
	Hs 936.T	
	Hs 618.T	
	Hs 870.T	
	Hs 706.T	
	PANC-1	
	Hs 742.T	
	BICR 56	
	BICR 16	
	BICR 6	
	AZ-521	
	KPL-1	
	TUHR4TKB	
HPAC	HPAC	
	JHOM-1	
	SU.86.86	
HCC-33	HCC-33	
	JHOC-5	
	ACC-MESO-1	
	SNU-1214	
	LMSU	
	SNU-1197	
	Panc 02.03	
	CJM	
	BICR 22	
	SH-SY5Y	
	TM-31	
	SNU-1272	
	BICR 18	
TE-4	TE-4	
	PCM6	
	TUHR14TKB	
	YD-15	
	U-BLC1	
	SNU-761	
SNU-61	SNU-61	
NCI-H1915	NCI-H1915	
	SNU-324	
	YD-10B	
	HCC-2279	
	HLC-1	
	TUHR10TKB	
VMRC-LCP	VMRC-LCP	
	OVK18	
	SNU-1077	
	HCC-1588	
	SNU-213	
	HT115	
	TE-14	
	SNU-520	
	JHUEM-3	
	Li-7	
	SNU-119	
	SNU-1033	
SNU-C5	SNU-C5	
	GSS	
	HCC-1171	
	SNU-C4	
	U-138 MG	
	SNU-620	
	GSU	
	KMS-18	
	JHOM-2B	
OV-90	OV-90	
OVTOKO	OVTOKO	
	HLF	
JHH-4	JHH-4	
CCK-81	CCK-81	
JHH-1	JHH-1	
	RERF-LC-AI	
	JHH-5	
FU97	FU97	
HCC-15	HCC-15	
M059K	M059K	
MFE-319	MFE-319	
	GOS-3	
PA-TU-8902	PA-TU-8902	
L-1236	L-1236	
DAN-G	DAN-G	
	SH-10-TC	
	KMS-21BM	
	KMS-26	
	KMS-27	
	KMS-28BM	
	KNS-60	
	KMS-34	
	MKN74	
KP-3	KP-3	
	NCO2	
	KHM-1B	
KG-1-C	KG-1-C	
	KMBC-2	
KMRC-20	KMRC-20	
	Ki-JK	
	A4/Fuk	
	HEC-108	
	HEL 92.1.7	
	CMK-11-5	
	HEC-265	
SK-N-SH	SK-N-SH	
	HEC-6	
	HEC-50B	
KMS-11	KMS-11	
	KE-39	
	COV504	
	KE-97	
VMRC-RCW	VMRC-RCW	
	LUDLU-1	
	HuG1-N	
NUGC-4	NUGC-4	
	HMC-1-8	
	KMM-1	
	MOR/CPR	
HARA	HARA	
NCI-H1568	NCI-H1568	
	BCP-1	
	COLO 201	
SNU-182	SNU-182	
	SK-N-MC	
MDA-MB-436	MDA-MB-436	
	Panc 02.13	
RD-ES	RD-ES	
	SW 1271	
	SK-BR-3	
OCUM-1	OCUM-1	
	TEN	
	Hs 604.T	
	JHUEM-1	
GA-10	GA-10	
SNU-398	SNU-398	
	EB1	
JM1	JM1	
SK-ES-1	SK-ES-1	
	HEC-251	
	HCC-95	
	253J	
	HCC-1438	
	253J-BV	
	SNU-1066	
	SNU-1041	
	HCC-2108	
COLO-783	COLO-783	
	HCC-1359	
	BICR 31	
	COV362	
	COV434	
	WM-983B	
	Hs 751.T	
NCI-H2110	NCI-H2110	
	DMS 454	
COR-L47	COR-L47	
	FTC-238	
COR-L311	COR-L311	
NCI-H2286	NCI-H2286	
	NCI-H1339	
	WM-793	
	WM1799	
	WM-88	
	Hs 255.T	
JHH-6	JHH-6	
NCI-H1876	NCI-H1876	
COR-L24	COR-L24	
	COV644	
	GP2d	
	PE/CA-PJ15	
COR-L95	COR-L95	
	PE/CA-PJ49	
	PE/CA-PJ34 (clone C12)	
	RT112/84	
	PE/CA-PJ41 (clone D2)	
	OV7	
MDST8	MDST8	
SUIT-2	SUIT-2	
	LC-1/sq-SF	
SUP-M2	SUP-M2	
NCI-H2172	NCI-H2172	
	Ishikawa (Heraklio) 02 ER-	
OVMANA	OVMANA	
HCC-366	HCC-366	
	SNU-349	
	UM-UC-1	
NAMALWA	NAMALWA	
	59M	
VMRC-LCD	VMRC-LCD	
	HCC-1833	
RH-30	RH-30	
	SNU-601	
	SNU-668	
	COLO 775	
	COLO 684	
	KLM-1	
	GR-M	
	SNU-685	
	CMK-86	
	SNU-886	
	HCT-8	
	NCC-StC-K140	
H3255	NCI-H3255	
	SNU-719	
	SNU-489	
SNU-81	SNU-81	
	HTK-	
SNU-1040	SNU-1040	
	SNU-1076	
SNU-175	SNU-175	
SNU-407	SNU-407	
	SNU-201	
	KMS-20	
	SNU-216	
	SNU-1196	
	SNU-1079	
	HCC-1195	
	NCI-H854	
	SNU-466	
	YD-38	
	SNU-1105	
SNU-283	SNU-283	
	SNU-46	
	SNU-308	
	YD-8	
	SNU-245	
	SNU-478	
	SNU-410	
	SNU-899	
	SNU-503	
	Set-2	
	SNU-738	
	SNU-626	
	SNU-869	
	SNU-878	
	SNU-840	
	SNU-8	
	NCI-H684	
	IGR-39	
	Alexander cells	
	Hep 3B2.1-7	
KYM-1	KYM-1	
	JMSU-1	
	IMR-32	
SU-DHL-8	SU-DHL-8	
	T3M-4	
	COLO-818	
	PK-45H	
	HEC-59	
	T3M-10	
NUGC-2	NUGC-2	
NCI-H929	NCI-H929	
	KMRC-3	
NCI-H2023	NCI-H2023	
	D341 Med	
NCI-H660	NCI-H660	
	Hs 675.T	
	PEER	
SK-MEL-31	SK-MEL-31	
	Hs 839.T	
	Hs 939.T	
	OCI-LY3	
	Hs 819.T	
	ZR-75-1	
	SK-N-BE(2)	
HCC-56	HCC-56	
	TO 175.T	
	PK-1	
	Hs 840.T	
	TE 617.T	
	IST-MES2	
	NCI-H1373	
	Hs 229.T	
NCI-H1836	NCI-H1836	
	Hs 688(A).T	
	Panc 05.04	
	Hs 822.T	
CI-1	CI-1	
	"G-292, clone A141B1"	
	Hs 737.T	
	Hs 616.T	
	Hs 600.T	
	TE 159.T	
143B	143B	
RERF-LC-KJ	RERF-LC-KJ	
	Hs 683	
	Hs 729	
JHOS-2	JHOS-2	
	U-937	
HCC202	HCC202	
	Reh	
	T.T	
	OCI-LY10	
	OC 315	
	SW 1353	
LN-18	LN-18	
	Hep G2	
MCAS	MCAS	
	COLO 829	
VCaP	VCaP	
COLO-704	COLO-704	
EFM-192A	EFM-192A	
	Hs 766T	
NCI-H196	NCI-H196	
NCI-H211	NCI-H211	
	Hs 571.T	
	MDA PCa 2b	
	K029AX	
	Hs 695T	
LOU-NH91	LOU-NH91	
TOV-21G	TOV-21G	
	OVSAHO	
RERF-LC-Sq1	RERF-LC-Sq1	
	HMCB	
FU-OV-1	FU-OV-1	
	Hey-A8	
	MM1-S	
	L3.3	
KP-2	KP-2	
huH-1	huH-1	
	Panc 04.03	
OVISE	OVISE	
NCI-H647	NCI-H647	
	SEM	
	HLF-a	
42-MG-BA	42-MG-BA	
	KCI-MOH1	
HCC-44	HCC-44	
	1321N1	
EN	EN	
	PK-59	
HCC-78	HCC-78	
	HEC-1-A	
	JHUEM-2	
RERF-LC-Ad1	RERF-LC-Ad1	
KELLY	KELLY	
QGP-1	QGP-1	
SCaBER	SCaBER	
OVKATE	OVKATE	
	DLD-1	
ES-2	ES-2	
NCI-H1781	NCI-H1781	
	LS 180	
BDCM	BDCM	
	Hs 606.T	
	NCI-H2106	
	SW579	
TOV-112D	TOV-112D	
	Hs 294T	
	Hs 944.T	
	TCC-PAN2	
	Caki-2	
KMRC-2	KMRC-2	
JHH-2	JHH-2	
	IM95	
WM-266-4	WM-266-4	
KMRC-1	KMRC-1	
COLO-849	COLO-849	
	Sq-1	
NCI-H2444	NCI-H2444	
MOLM-13	MOLM-13	
KYSE-30	KYSE-30	
PA-TU-8988T	PA-TU-8988T	
IGR-37	IGR-37	
	LN-443	
	SLR 23	
	HMEL	
	OELE	
	LN-235	
	BJ hTERT	
	LN-428	
	SLR 24	
	EWS502	
	SALE	
	HCC-2814	
	SK-RC 31	
	TIG-3 TD	
	TC-32	
	SF-172	
	PrEC LH	
	U343	
	RCC-4	
	LN-215	
	LN-464	
	SLR 25	
	U-178	
	F5	
	HEK TE	
	SLR 26	
	SK-RC-20	
	SF767	
	A1207	
	LN-319	
	HCC364	
	UMRC6	
	LN382	
	IOMM-Lee	
	UMRC2	
	DFCI024	
	HCC-1897	
	SLR 21	
	LNZ308	
	LN-340	
	HCC-827-GR5	
	SLR 20	
	HK-2	
	EW8	
	UOK101	
	JH-EsoAd1	
	CH-157MN	
	MOLP-2	
UT-7	UT-7	
GRANTA-519	GRANTA-519	
	RS-5	
NCI-H1385	NCI-H1385	
	HCC827	
TF-1	TF-1	
	Hs 172.T	
	Hs 834.T	
	TE 125.T	
ALL-SIL	ALL-SIL	
	KASUMI-2	
DND-41	DND-41	
ME-1	ME-1	
	DM-3	
	JeKo-1	
JJN-3	JJN-3	
	NU-DHL-1	
CL-14	CL-14	
	KYO-1	
	JL-1	
