DRUG_NAME	STD_NAME	nci60	ccle	gdscDec15	ctrp	nciSclc	PUBCHEM_NAME
ADW-742	NA	NA	NA	NA	NA	NA	NVP-ADW742;475488-23-4;CHEMBL399021;ADW742, NVP-ADW742;475489-15-7
AEB-071	NA	NA	NA	NA	NA	NA	Sotrastaurin;425637-18-9;AEB071;AEB-071;UNII-7I279E1NZ8
AEE-788	NA	NA	NA	NA	NA	NA	497839-62-0;AEE788;(R)-6-(4-((4-Ethylpiperazin-1-yl)methyl)phenyl)-N-(1-phenylethyl)-7H-pyrrolo[2,3-d]pyrimidin-4-amine;AEE 788;GNF-Pf-5343
AEG-40730	NA	NA	NA	NA	NA	NA	NA
AEW-541	NA	NA	NA	NA	NA	NA	NVP-AEW541;475489-16-8;AEW-541;475488-34-7;AEW541
AEW541	NA	NA	NA	NA	NA	NA	NVP-AEW541;475489-16-8;AEW-541;475488-34-7;AEW541
AFATINIB	NA	NA	NA	NA	NA	NA	Afatinib;439081-18-2;Tovok;BIBW 2992;850140-72-6
AFP-464	NA	NA	NA	NA	NA	NA	UNII-73JNH95XPX;AFP464;468719-53-1;AFP 464;AFP-464
AFP464	NA	NA	NA	NA	NA	NA	AFP464;468719-52-0;468719-53-1;NSC710464;AC1L9IUY
AG-014699	NA	NA	NA	NA	NA	NA	459868-92-9;Rucaparib phosphate;AG-014699;PF-01367338;Rucaparib (phosphate)
AG-2037	NA	NA	NA	NA	NA	NA	Pelitrexol;UNII-DHT6E8M4KP;446022-33-9;AG 2037;AG-2037
AGIOS CMP 301	NA	NA	NA	NA	NA	NA	NA
AICAR	NA	NA	NA	NA	NA	NA	NA
AKT INHIBITOR VIII	NA	NA	NA	NA	NA	NA	NA
ALISERTIB	NA	NA	NA	NA	NA	NA	Alisertib;1028486-01-2;MLN8237;MLN-8237;MLN 8237
ALLOPURINOL	NA	NA	NA	NA	NA	NA	allopurinol;315-30-0;1H-Pyrazolo[3,4-d]pyrimidin-4-ol;Zyloprim;Lopurin
ALTRETAMINE	NA	NA	NA	NA	NA	NA	altretamine;HEXAMETHYLMELAMINE;Hexalen;Hexastat;645-05-6
ALVESPIMYCIN	NA	NA	NA	NA	NA	NA	alvespimycin;17-DMAG;UNII-001L2FE0M3;CHEBI:65324;KOS-1022
ALVOCIDIB	NA	NA	NA	NA	NA	NA	Flavopiridol;Alvocidib;146426-40-6;Flavopiridol hydrochloride;FLAVO
AM-2282	NA	NA	NA	NA	NA	NA	staurosporine;Staurosporin;(+)-Staurosporine;Antibiotic 230;Antibiotic AM 2282
AMD-473	NA	NA	NA	NA	NA	NA	Picoplatin;AMD 473;AMD-473;JM-473;ZD0473
AMG-208	NA	NA	NA	NA	NA	NA	AMG-208;1002304-34-8;AMG 208;UNII-Y2SR66P7VM;7-methoxy-4-((6-phenyl-[1,2,4]triazolo[4,3-b]pyridazin-3-yl)methoxy)quinoline
AMG-458	NA	NA	NA	NA	NA	NA	AMG-458;913376-83-7;AMG 458;AMG458;UNII-4535RW5Y3A
AMG-706	NA	NA	NA	NA	NA	NA	Motesanib;453562-69-1;AMG-706;AMG 706;UNII-U1JK633AYI
AMG-900	NA	NA	NA	NA	NA	NA	AMG 900;AMG-900;945595-80-2;AMG900;UNII-9R2G075611
AMIFOSTINE	NA	NA	NA	NA	NA	NA	amifostine;Ethiofos;20537-88-6;Gammaphos;Ethyol
AMINOFLAVONE	NA	NA	NA	NA	NA	NA	UNII-2EXS38428U;NSC-686288;5-amino-2-(4-amino-3-fluorophenyl)-6,8-difluoro-7-methyl-4H-1-benzopyran-4-one;165179-35-1;2EXS38428U
AMINOLEVULINIC ACID	NA	NA	NA	NA	NA	NA	NA
AMONAFIDE	NA	NA	NA	NA	NA	NA	Amonafide;69408-81-7;Nafidimide;Benzisoquinolinedione;5-Aminomitonafide
ANAFRANIL	NA	NA	NA	NA	NA	NA	Clomipramine hydrochloride;17321-77-6;Anafranil;Clomipramine HCL;3-(3-chloro-10,11-dihydro-5H-dibenzo[b,f]azepin-5-yl)-N,N-dimethylpropan-1-amine hydrochloride
ANALOG OF S-49076	NA	NA	NA	NA	NA	NA	NA
ANASTROZOLE	NA	NA	NA	NA	NA	NA	anastrozole;120511-73-1;Arimidex;anastrazole;Anastrozol
AP-24534	NA	NA	NA	NA	NA	NA	PONATINIB;943319-70-8;Iclusig;AP24534;AP 24534
AP0-866	NA	NA	NA	NA	NA	NA	NA
AR-42	NA	NA	NA	NA	NA	NA	935881-37-1;AR-42;AR 42;OSU-HDAC42;(S)-N-Hydroxy-4-(3-methyl-2-phenylbutanamido)benzamide
ARABINOSIDE	NA	NA	NA	NA	NA	NA	Vidarabine;Vidarabine monohydrate;Ara-A;24356-66-9;UNII-FA2DM6879K
ARIAD ALK/EGFR INHIBITOR RELATED TO AP-26113	NA	NA	NA	NA	NA	NA	NA
ARN-509	NA	NA	NA	NA	NA	NA	ARN-509;956104-40-8;ARN 509;UNII-4T36H88UA7;ARN509
ARQ-197	NA	NA	NA	NA	NA	NA	Tivantinib;905854-02-6;ARQ 197;ARQ-197;ARQ197
ARQ-621	NA	NA	NA	NA	NA	NA	UNII-UU55190C8S;1095253-39-6;ARQ-621;ARQ 621;(R)-N-(3-AMINOPROPYL)-3-CHLORO-N-(1-(7-CHLORO-4-OXO-3-(PHENYLAMINO)-3,4-DIHYDROQUINAZOLIN-2-YL)BUT-3-YN-1-YL)-2-FLUOROBENZAMIDE
ARQ-680	NA	NA	NA	NA	NA	NA	NA
ARRY-162	NA	NA	NA	NA	NA	NA	Binimetinib;MEK162;606143-89-9;MEK-162;ARRY-438162
ARRY-380	NA	NA	NA	NA	NA	NA	Arry-380;937265-83-3;Arry380;ARRY-380 (analog );UNII-H32S1659ED
ARRY-520 (ISOMER A)	NA	NA	NA	NA	NA	NA	NA
ARRY-520 (ISOMER B)	NA	NA	NA	NA	NA	NA	NA
ARSENIC TRIOXIDE	NA	NA	NA	NA	NA	NA	NA
AS-703026	NA	NA	NA	NA	NA	NA	Pimasertib;1236699-92-5;AS703026;AS-703026;UNII-6ON9RK82AL
AS-703569	NA	NA	NA	NA	NA	NA	UNII-5277GPA358;AS-703569;Cenisertib;AS703569;AS 703569
AS601245	NA	NA	NA	NA	NA	NA	AS601245;345987-15-7;SCHEMBL186278;CHEMBL406703;(2s)-1,3-Benzothiazol-2-Yl{2-[(2-Pyridin-3-Ylethyl)amino]pyrimidin-4-Yl}ethanenitrile
AS605240	NA	NA	NA	NA	NA	NA	AS-605240;AS605240;PI 3-Kgamma Inhibitor;648450-29-7;AS 605240
ASORBIC ACID	NA	NA	NA	NA	NA	NA	NA
ASP-3026	NA	NA	NA	NA	NA	NA	ASP3026;1097917-15-1;ASP-3026;ASP 3026;UNII-HP4L6MXF10
ASP-4130	NA	NA	NA	NA	NA	NA	Tivozanib;475108-18-0;AV-951;KRN-951;AV 951
ASP-7487	NA	NA	NA	NA	NA	NA	Linsitinib;OSI-906;867160-71-2;OSI 906;OSI906
ASPARAGINASE	NA	NA	NA	NA	NA	NA	NA
ASTEX FGF INHIBITOR	NA	NA	NA	NA	NA	NA	NA
AT-101; BL-193	NA	NA	NA	NA	NA	NA	NA
AT-13148	NA	NA	NA	NA	NA	NA	AT13148;1056901-62-2;UNII-A49037RP1E;AT-13148;(S)-1-(4-(1H-Pyrazol-4-yl)phenyl)-2-amino-1-(4-chlorophenyl)ethanol
AT-13387	NA	NA	NA	NA	NA	NA	AT13387;Onalespib;912999-49-6;AT-13387;UNII-Q7Y33N57ZZ
AT-406	NA	NA	NA	NA	NA	NA	AT-406;1071992-99-8;AT406;AT 406;SM 406
AT-7519	NA	NA	NA	NA	NA	NA	AT7519;844442-38-2;AT-7519;AT 7519;UNII-X1BF92PW9T
AT-9283	NA	NA	NA	NA	NA	NA	AT9283;UNII-XAV9KYN9WL;AT-9283;896466-04-9;C19H23N7O2
AT13387	NA	NA	NA	NA	NA	NA	AT13387;Onalespib;912999-49-6;AT-13387;UNII-Q7Y33N57ZZ
ATRA	NA	NA	NA	NA	NA	NA	Retinoic acid;tretinoin;Vitamin A acid;trans-Retinoic acid;302-79-4
AUY-922	NA	NA	NA	NA	NA	NA	NVP-AUY922;747412-49-3;Luminespib;UNII-C6V1DAR5EB;VER-52296
AUY922	NA	NA	NA	NA	NA	NA	NVP-AUY922;747412-49-3;Luminespib;UNII-C6V1DAR5EB;VER-52296
AV-951	NA	NA	NA	NA	NA	NA	Tivozanib;475108-18-0;AV-951;KRN-951;AV 951
AVN-944	NA	NA	NA	NA	NA	NA	AVN-944;UNII-I3NPL1V48Q;AVN 944;297730-17-7;AVN944
AXITINIB	NA	NA	NA	NA	NA	NA	Axitinib;319460-85-0;AG-013736;Inlyta;AG 013736
AZ628	NA	NA	NA	NA	NA	NA	878739-06-1;AZ 628;AZ-628;AZ628;UNII-560S6B5D79
AZACITIDINE	NA	NA	NA	NA	NA	NA	5-azacytidine;Azacitidine;320-67-2;Ladakamycin;Vidaza
AZD-0530	NA	NA	NA	NA	NA	NA	Saracatinib;379231-04-6;AZD0530;AZD-0530;nchembio866-comp19
AZD-1152	NA	NA	NA	NA	NA	NA	Barasertib;AZD1152;722543-31-9;AZD-1152;UNII-16XC2U7W8N
AZD-1480	NA	NA	NA	NA	NA	NA	AZD1480;935666-88-9;AZD-1480;UNII-KL2Z2TLF01;(S)-5-chloro-N2-(1-(5-fluoropyrimidin-2-yl)ethyl)-N4-(5-methyl-1H-pyrazol-3-yl)pyrimidine-2,4-diamine
AZD-2014	NA	NA	NA	NA	NA	NA	AZD2014;1009298-59-2;AZD-2014;Vistusertib;UNII-0BSC3P4H5X
AZD-2171	NA	NA	NA	NA	NA	NA	Cediranib;288383-20-0;Recentin;AZD2171;AZD 2171
AZD-2461	NA	NA	NA	NA	NA	NA	AZD-2461;1174043-16-3;AZD2461;AZD 2461;4-(4-fluoro-3-(4-methoxypiperidine-1-carbonyl)benzyl)phthalazin-1(2H)-one
AZD-2858	NA	NA	NA	NA	NA	NA	AZD2858;486424-20-8;CHEMBL2177161;AZD 2858;AZD-2858
AZD-3514	NA	NA	NA	NA	NA	NA	AZD3514;1240299-33-5;CHEMBL2346976;AZD-3514;1-(4-(2-(4-(1-(3-(Trifluoromethyl)-7,8-dihydro-[1,2,4]triazolo[4,3-b]pyridazin-6-yl)piperidin-4-yl)phenoxy)ethyl)piperazin-1-yl)ethanone
AZD-4547	NA	NA	NA	NA	NA	NA	1035270-39-3;AZD-4547;AZD4547;AZD 4547;UNII-2167OG1EKJ
AZD-5363	NA	NA	NA	NA	NA	NA	AZD5363;1143532-39-1;AZD-5363;UNII-WFR23M21IE;AZD 5363
AZD-6244	NA	NA	NA	NA	NA	NA	Selumetinib;606143-52-6;AZD 6244;AZD6244;ARRY-142886
AZD-7762	NA	NA	NA	NA	NA	NA	AZD7762;860352-01-8;AZD-7762;AZD 7762;(S)-5-(3-Fluorophenyl)-N-(piperidin-3-yl)-3-ureidothiophene-2-carboxamide
AZD-8055	NA	NA	NA	NA	NA	NA	AZD8055;1009298-09-2;AZD-8055;AZD 8055;(5-(2,4-bis((S)-3-methylmorpholino)pyrido[2,3-d]pyrimidin-7-yl)-2-methoxyphenyl)methanol
AZD-8330	NA	NA	NA	NA	NA	NA	AZD8330;869357-68-6;AZD-8330;ARRY-704;ARRY-424704
AZD-8931	NA	NA	NA	NA	NA	NA	Sapitinib;AZD8931;848942-61-0;AZD-8931;AZD8931 (Sapitinib)
AZD0530	Saracatinib	NA	NA	NA	NA	NA	Saracatinib;379231-04-6;AZD0530;AZD-0530;nchembio866-comp19
AZD1480	NA	NA	NA	NA	NA	NA	AZD1480;935666-88-9;AZD-1480;UNII-KL2Z2TLF01;(S)-5-chloro-N2-(1-(5-fluoropyrimidin-2-yl)ethyl)-N4-(5-methyl-1H-pyrazol-3-yl)pyrimidine-2,4-diamine
AZD4547	NA	NA	NA	NA	NA	NA	1035270-39-3;AZD-4547;AZD4547;AZD 4547;UNII-2167OG1EKJ
AZD6244	Selumetinib	NA	NA	NA	NA	NA	Selumetinib;606143-52-6;AZD 6244;AZD6244;ARRY-142886
AZD6482	NA	NA	NA	NA	NA	NA	1173900-33-8;AZD6482;AZD 6482;AZD-6482;(R)-2-(1-(7-methyl-2-morpholino-4-oxo-4H-pyrido[1,2-a]pyrimidin-9-yl)ethylamino)benzoic acid
AZD7762	NA	NA	NA	NA	NA	NA	AZD7762;860352-01-8;AZD-7762;AZD 7762;(S)-5-(3-Fluorophenyl)-N-(piperidin-3-yl)-3-ureidothiophene-2-carboxamide
AZD8055	NA	NA	NA	NA	NA	NA	AZD8055;1009298-09-2;AZD-8055;AZD 8055;(5-(2,4-bis((S)-3-methylmorpholino)pyrido[2,3-d]pyrimidin-7-yl)-2-methoxyphenyl)methanol
BAL-101553	NA	NA	NA	NA	NA	NA	UNII-5PT0QP06X5;5PT0QP06X5;Lisavanbulin;Lisavanbulin [INN];SCHEMBL1160313
BAL-27862	NA	NA	NA	NA	NA	NA	4o2a;SCHEMBL1160317;CHEMBL3422109;LSFOZQQVTWFMNS-UHFFFAOYSA-N;BAL-27862
BAM7	NA	NA	NA	NA	NA	NA	BAM7;331244-89-4;CHEMBL3417395;(E)-4-(2-(2-Ethoxyphenyl)hydrazono)-3-methyl-1-(4-phenylthiazol-2-yl)-1H-pyrazol-5(4H)-one;4-(2-(2-Ethoxyphenyl)hydrazono)-3-methyl-1-(4-phenylthiazol-2-yl)-1H-pyrazol-5(4H)-one
BARASERTIB	NA	NA	NA	NA	NA	NA	Barasertib;AZD1152;722543-31-9;AZD-1152;UNII-16XC2U7W8N
BARDOXOLONE METHYL	NA	NA	NA	NA	NA	NA	NA
BATRACYLIN	NA	NA	NA	NA	NA	NA	Daniquidone;Batracylin;67199-66-0;Bay H 2049;NSC-320846
BAY 61-3606	NA	NA	NA	NA	NA	NA	NA
BAY-80-6946	NA	NA	NA	NA	NA	NA	Copanlisib;1032568-63-0;BAY 80-6946;UNII-WI6V529FZ9;BAY80-6946
BAY-86-9766	NA	NA	NA	NA	NA	NA	923032-38-6;Refametinib (RDEA119, Bay 86-9766);RDEA-119;SCHEMBL345334;CHEMBL2138601
BDF00016096	NA	NA	NA	NA	NA	NA	NA
BELINOSTAT	NA	NA	NA	NA	NA	NA	Belinostat;414864-00-9;PXD101;PXD-101;Belinostat (PXD101)
BEN	NA	NA	NA	NA	NA	NA	benzamidine;Benzenecarboximidamide;Benzimidamide;618-39-3;Phenylamidine
BENDAMUSTINE	NA	NA	NA	NA	NA	NA	Bendamustine;16506-27-7;Bendamustinum [Latin];Bendamustina [Spanish];Bendeka
BENZIMATE	NA	NA	NA	NA	NA	NA	NA
BEXAROTENE	NA	NA	NA	NA	NA	NA	Bexarotene;153559-49-0;Targretin;Targrexin;Targretyn
BEZ-235	NA	NA	NA	NA	NA	NA	915019-65-7;NVP-BEZ235;dactolisib;BEZ235;NVP-BEZ 235
BGJ-398	NA	NA	NA	NA	NA	NA	NVP-BGJ398;872511-34-7;BGJ-398;BGJ398;BGJ 398
BGT-226	NA	NA	NA	NA	NA	NA	NVP-BGT226;1245537-68-1;UNII-4YG62LG876;BGT226;BGT-226
BI-2536	NA	NA	NA	NA	NA	NA	BI 2536;755038-02-9;BI-2536;BI2536;UNII-4LJG22T9C6
BI-6727	NA	NA	NA	NA	NA	NA	Volasertib;755038-65-4;BI 6727;UNII-6EM57086EA;BI-6727
BIA	NA	NA	NA	NA	NA	NA	NA
BIBF-1120	NA	NA	NA	NA	NA	NA	Nintedanib;Vargatef;BIBF-1120;Intedanib;BIBF 1120
BICALUTAMIDE	NA	NA	NA	NA	NA	NA	bicalutamide;90357-06-5;Casodex;Cosudex;ICI 176334
BIM-46187	NA	NA	NA	NA	NA	NA	PH-064;BIM-46187;892546-37-1;SCHEMBL1414707;AOB6169
BIRB 0796	NA	NA	NA	NA	NA	NA	NA
BIRINAPANT	NA	NA	NA	NA	NA	NA	Birinapant;1260251-31-7;TL-32711;UNII-6O4Z07B57R;Birinapant (TL32711)
BIX02189	NA	NA	NA	NA	NA	NA	BIX02189;BIX 02189;1094614-85-3;BIX-02189;(3Z)-3-[[3-[(dimethylamino)methyl]anilino]-phenylmethylidene]-N,N-dimethyl-2-oxo-1H-indole-6-carboxamide
BKM-120	NA	NA	NA	NA	NA	NA	944396-07-0;NVP-BKM120;Buparlisib;5-(2,6-dimorpholinopyrimidin-4-yl)-4-(trifluoromethyl)pyridin-2-amine;NVP-BKM-120
BLEOMYCIN	NA	NA	NA	NA	NA	NA	Bleomicina;Bleomycins;Bleomicin;Bleomycine;Bleomycinum
BLEOMYCIN (50 UM)	NA	NA	NA	NA	NA	NA	NA
BLEOMYCIN A2	NA	NA	NA	NA	NA	NA	NA
BLZ-945	NA	NA	NA	NA	NA	NA	BLZ945;953769-46-5;BLZ-945;UNII-7W3V82OQ0P;BLZ 945
BML-277	NA	NA	NA	NA	NA	NA	Chk2 Inhibitor II;BML-277;516480-79-8;Chk2 Inhibitor II hydrate;CHEMBL179583
BMN-673	NA	NA	NA	NA	NA	NA	Talazoparib;BMN-673;1207456-01-6;BMN 673;UNII-9QHX048FRV
BMN-673 (INACTIVE ENANTIOMER)	NA	NA	NA	NA	NA	NA	NA
BMN-673 (RACEMATE)	NA	NA	NA	NA	NA	NA	NA
BMS-299897	NA	NA	NA	NA	NA	NA	BMS 299897;BMS-299897;290315-45-6;2-[(1R)-1-[[(4-Chlorophenyl)sulfonyl](2,5-difluorophenyl)amino]ethyl]-5-fluoro-benzenebutanoic acid;C24H21ClF3NO4S
BMS-345541	NA	NA	NA	NA	NA	NA	BMS-345541;547757-23-3;BMS 345541;UNII-BXU277OCN5;CHEMBL471496
BMS-387032	NA	NA	NA	NA	NA	NA	345627-80-7;SNS-032;BMS-387032;BMS 387032;SNS 032
BMS-509744	NA	NA	NA	NA	NA	NA	BMS-509744;439575-02-7;CHEMBL209148;N-(5-((5-(4-Acetylpiperazine-1-carbonyl)-4-methoxy-2-methylphenyl)thio)thiazol-2-yl)-4-(((3,3-dimethylbutan-2-yl)amino)methyl)benzamide;SCHEMBL14460651
BMS-536924	NA	NA	NA	NA	NA	NA	BMS-536924;UNII-40E3AZG1MX;468740-43-4;BMS536924;BMS 536924
BMS-582664	NA	NA	NA	NA	NA	NA	Brivanib alaninate;649735-63-7;BMS-582664;Brivanib (alaninate);BMS582664
BMS-599626	NA	NA	NA	NA	NA	NA	BMS-599626;714971-09-2;(S)-Morpholin-3-ylmethyl (4-((1-(3-fluorobenzyl)-1H-indazol-5-yl)amino)-5-methylpyrrolo[2,1-f][1,2,4]triazin-6-yl)carbamate;AC480;UNII-2252724U5N
BMS-690514	NA	NA	NA	NA	NA	NA	BMS-690514;859853-30-8;BMS 690514;UNII-VKU5X213Q7;(3R,4R)-4-Amino-1-[[4-[(3-methoxyphenyl)amino]pyrrolo[2,1-f][1,2,4]triazin-5-yl]methyl]piperidin-3-ol
BMS-708163	NA	NA	NA	NA	NA	NA	Avagacestat;BMS-708163;1146699-66-2;BMS 708163;UNII-TQ44WWY45Q
BMS-754807	NA	NA	NA	NA	NA	NA	BMS-754807;1001350-96-4;BMS 754807;BMS754807;UNII-W9E3353E8J
BMS-777607	NA	NA	NA	NA	NA	NA	BMS-777607;BMS 777607;1196681-44-3;BMS777607;1025720-94-8
BMS-911543	NA	NA	NA	NA	NA	NA	BMS-911543;1271022-90-2;BMS911543;BMS 911543;UNII-7N03P021J8
BN-2629	NA	NA	NA	NA	NA	NA	NA
BORTEZAMIDE	NA	NA	NA	NA	NA	NA	NA
BORTEZOMIB	NA	NA	NA	NA	NA	NA	Bortezomib;179324-69-7;Velcade;PS-341;Ps 341
BOSUTINIB	NA	NA	NA	NA	NA	NA	Bosutinib;380843-75-4;SKI-606;SKI 606;SKI606
BOSUTINIB ISOMER	NA	NA	NA	NA	NA	NA	NA
BP-1-102	NA	NA	NA	NA	NA	NA	CHEMBL1829876;4-(N-(4-cyclohexylbenzyl)-2-(2,3,4,5,6-pentafluoro-N-methylphenylsulfonamido)acetamido)-2-hydroxybenzoic acid;BP-1-102;SCHEMBL10243263;BDBM50353432
BPR1J-097	NA	NA	NA	NA	NA	NA	bpr1j-097;1327167-19-0;CHEMBL1807392;SCHEMBL12077294;AOB1332
BRIVANIB	NA	NA	NA	NA	NA	NA	Brivanib;649735-46-6;BMS-540215;BMS 540215;UNII-DDU33B674I
BRYOSTATIN 1	NA	NA	NA	NA	NA	NA	NA
BSI-201	NA	NA	NA	NA	NA	NA	4-Iodo-3-nitrobenzamide;Iniparib;160003-66-7;BSI-201;Iniparib (BSI-201)
BUSULFAN	NA	NA	NA	NA	NA	NA	busulfan;Myleran;55-98-1;Busulphan;Leucosulfan
BUTHIONINE SULPHOXIMINE	NA	NA	NA	NA	NA	NA	NA
BX-795	NA	NA	NA	NA	NA	NA	BX795;702675-74-9;BX 795;BX-795;N-[3-[[5-IODO-4-[[3-[(2-THIENYLCARBONYL)AMINO]PROPYL]AMINO]-2-PYRIMIDINYL]AMINO]PHENYL]-1-PYRROLIDINECARBOXAMIDE
BX-912	NA	NA	NA	NA	NA	NA	BX-912;702674-56-4;BX912;BX 912;N-[3-[[5-BROMO-4-[[2-(1H-IMIDAZOL-5-YL)ETHYL]AMINO]-2-PYRIMIDINYL]AMINO]PHENYL]-1-PYRROLIDINECARBOXAMIDE
BY-PRODUCT OF CUDC-305	NA	NA	NA	NA	NA	NA	NA
BYL-719	NA	NA	NA	NA	NA	NA	BYL-719;alpelisib;1217486-61-7;BYL719;UNII-08W5N2C97Q
C-75	NA	NA	NA	NA	NA	NA	218137-86-1;C75;4-Methylene-2-octyl-5-oxotetrahydrofuran-3-carboxylic acid;C-75;4-methylidene-2-octyl-5-oxooxolane-3-carboxylic acid
CABAZITAXEL	NA	NA	NA	NA	NA	NA	CABAZITAXEL;Jevtana;Taxoid XRP6258;183133-96-2;Cabazitaxelum
CABOZANTINIB	NA	NA	NA	NA	NA	NA	Cabozantinib;849217-68-1;XL184;XL-184;Cometriq
CAL-101	NA	NA	NA	NA	NA	NA	CAL-101;Idelalisib;870281-82-6;Zydelig;CAL 101
CALUSTERONE	NA	NA	NA	NA	NA	NA	CALUSTERONE;Methosarb;Dimethyltestosterone;Calusteronum;Calusterona
CAMPTOTHECIN	NA	NA	NA	NA	NA	NA	camptothecin;Camptothecine;(S)-(+)-Camptothecin;7689-03-4;(+)-Camptothecine
CANERTINIB	NA	NA	NA	NA	NA	NA	Canertinib;267243-28-7;CI-1033;UNII-C78W1K5ASF;Canertinib (CI-1033)
CAPECITABINE	NA	NA	NA	NA	NA	NA	CAPECITABINE;154361-50-9;Xeloda;Capiibine;Capecitibine
