"","drug_id","drug_name","synonyms","pathway_name","targets","pubchem","extended_name"
"60",60,"BI-2536","-","Cell cycle","PLK1, PLK2, PLK3","11364421","BI-2536"
"62",62,"BMS-536924","BMS 536924","IGF1R signaling","IGF1R, IR","10390396","BMS-536924_62"
"63",63,"BMS-509744","KIN001-127, ITK inhibitor","Other, kinases","ITK","20635522","BMS-509744"
"64",64,"CMK","KIN001-128","Other, kinases","RSK2","16663089","CMK"
"71",71,"Pyrimethamine","Daraprim, Chloridine","Other","Dihydrofolate reductase (DHFR)","4993","Pyrimethamine"
"83",83,"JW-7-52-1",NA,"PI3K/MTOR signaling","MTOR","49836027","JW-7-52-1"
"86",86,"A-443654","KIN001-139","PI3K/MTOR signaling","AKT1, AKT2, AKT3","10172943","A-443654"
"87",87,"GW843682X","GW843682X (AN-13)","Cell cycle","PLK1","9826308","GW843682X"
"88",88,"Entinostat","MS-275","Chromatin histone acetylation","HDAC1, HDAC3","4261","Entinostat"
"89",89,"Parthenolide","-","Chromatin histone acetylation","HDAC1","7251185","Parthenolide"
"91",91,"GSK319347A","KIN001-135, IKK-3 inhibitor","Other, kinases","IKK","11626927","GSK319347A"
"94",94,"TGX221","TGX-221, Tgx 221","PI3K/MTOR signaling","PI3Kbeta","9907093","TGX221"
"104",104,"Bortezomib","PS-341, LDP-341, Velcade","Protein stability and degradation","Proteasome","387447","Bortezomib"
"106",106,"XMD8-85","ERK5-IN-1","Other","ERK5, BET","46844147","XMD8-85"
"110",110,"Seliciclib","Roscovitine, CYC-202, AL-39256","Cell cycle","CDK2, CDK7, CDK9","160355","Seliciclib"
"111",111,"Salubrinal","EIF-2alpha Inhibitor","Other","EIF2A","5717801","Salubrinal"
"119",119,"Lapatinib","Tykerb, Tyverb","RTK signaling","EGFR, ERBB2","208908","Lapatinib"
"127",127,"GSK269962A","GSK 269962A","Cytoskeleton","ROCK1, ROCK2","16095342","GSK269962A_127"
"133",133,"Doxorubicin","Doxil, Rubex, Adriamycin, Adriablastin, Doxorubicine","DNA replication","Anthracycline","31703","Doxorubicin_133"
"134",134,"Etoposide","Etopophos, Vepesid, Eposin, VP-16","DNA replication","TOP2","36462","Etoposide"
"135",135,"Gemcitabine","Gemzar, LY-188011","DNA replication","Pyrimidine antimetabolite","60750","Gemcitabine_135"
"136",136,"Mitomycin-C","Mytozytrex, NSC-26980, MMC, Mitosol, Mitozytrex","DNA replication","DNA crosslinker","5746","Mitomycin-C"
"140",140,"Vinorelbine","vinorelbine tartrate, Navelbine, Exelbine","Mitosis","Microtubule destabiliser","5311497","Vinorelbine"
"147",147,"NSC-87877","NSC 87877","Other","SHP-1 (PTPN6), SHP-2 (PTPN11)","5459322","NSC-87877"
"150",150,"Bicalutamide","ICI-176334, Casodex, Cosudex, ICI 176334","Hormone-related","AR","2375","Bicalutamide_150"
"151",151,"QS11","944328-88-5","Other","ARFGAP1","4263900","QS11"
"152",152,"CP466722","CP-466722, CP 466722, 1080622-86-1","Genome integrity","ATM","44551660","CP466722"
"153",153,"Midostaurin","PKC412, benzoylstaurosporine, CGP-41251","Other","PKC, PPK, FLT1, c-FGR, others","several","Midostaurin"
"154",154,"CHIR-99021","CT 99021, CHIR99021, CHIR 99021","WNT signaling","GSK3A, GSK3B","9956119","CHIR-99021_154"
"155",155,"Ponatinib","AP24534, AP-24534, KIN001-192, Iclusig","Other, kinases","ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3","24826799","Ponatinib"
"156",156,"AZD6482","AZD 6482, AZD-6482, AK-55409","PI3K/MTOR signaling","PI3Kbeta","44137675","AZD6482_156"
"157",157,"JNK-9L","KIN001-204, JNK inhibitor 9l","JNK and p38 signaling","JNK2, JNK3","25222038","JNK-9L"
"158",158,"PF-562271","PF-00562271","Cytoskeleton","FAK, FAK2","11713159","PF-562271"
"159",159,"HG6-64-1","KIN001-206","ERK MAPK signaling","BRAF","53302361","HG6-64-1"
"163",163,"JQ1","JQ-1, (+)-JQ-1","Chromatin other","BRD2, BRD3, BRD4, BRDT","46907787","JQ1_163"
"164",164,"JQ12","-","Chromatin histone acetylation","HDAC1, HDAC2","none","JQ12"
"165",165,"DMOG","Dimethyloxalylglcine","Metabolism","HIF-PH","560326","DMOG"
"166",166,"FTI-277","-","Other","Farnesyl-transferase (FNTA)","3005532","FTI-277"
"167",167,"OSU-03012","AR-12, OSU 03012, OSU03012, PDK1 inhibitor AR-12","Metabolism","PDK1 (PDPK1)","10027278","OSU-03012"
"170",170,"Shikonin","Anchusin","Other","not defined","5208","Shikonin"
"171",171,"AKT inhibitor VIII","Akti-1/2, KIN001-102","PI3K/MTOR signaling","AKT1, AKT2, AKT3","10196499","AKT inhibitor VIII_171"
"172",172,"Embelin","Emberine, Embelic acid","Apoptosis regulation","XIAP","3218","Embelin"
"173",173,"FH535","-","Other","PPARgamma, PPARdelta","3463933","FH535"
"175",175,"PAC-1","GTPL5238","Apoptosis regulation","Procaspase-3, Procaspase-7","6753378","PAC-1"
"176",176,"IPA-3","IPA 3","Cytoskeleton","PAK1","521106","IPA-3"
"177",177,"GSK650394","GSK-650394, GSK 650394","Other, kinases","SGK2, SGK3","25022668","GSK650394"
"178",178,"BAY-61-3606","Syk Inhibitor, BAY-613606","Other, kinases","SYK","10200390","BAY-61-3606"
"179",179,"5-Fluorouracil","5-FU","Other","Antimetabolite (DNA & RNA)","3385","5-Fluorouracil"
"180",180,"Thapsigargin","Octanoic acid","Other","SERCA","446378","Thapsigargin"
"182",182,"Obatoclax Mesylate","GX15-070MS, Obatoclax, GX15-070","Apoptosis regulation","BCL2, BCL-XL, BCL-W, MCL1","11404337","Obatoclax Mesylate"
"184",184,"BMS-754807","BMS754807, BMS 754807","RTK signaling","IGF1R, IR","24785538","BMS-754807"
"185",185,"Linsitinib","OSI-906, ASP-7487","IGF1R signaling","IGF1R","11640390","Linsitinib"
"186",186,"Bexarotene","LG-100069, Targretin, Targret, Targrexin, Targretyn, Bexarotenum","Other","Retinioic X receptor (RXR) agonist","82146","Bexarotene"
"190",190,"Bleomycin","-","DNA replication","dsDNA break induction","several","Bleomycin"
"192",192,"LFM-A13","DDE-28","Other, kinases","BTK","54676905","LFM-A13"
"193",193,"GW-2580","GX2580, CFMS receptor tyrosine kinase inhibitor","RTK signaling","CSF1R","11617559","GW-2580"
"194",194,"Luminespib","AUY922, VER-52296,NVP-AUY922,  AUY","Protein stability and degradation","HSP90","10096043","Luminespib"
"196",196,"Phenformin","DBI","Other","Biguanide agent","8249","Phenformin"
"197",197,"Bryostatin 1","Bryostatin","Other","PKC","5280757","Bryostatin 1"
"199",199,"Pazopanib","Votrient","RTK signaling","CSF1R, KIT,  PDGFRA, PDGFRB","10113978","Pazopanib"
"200",200,"Dacinostat","NVP-LAQ824, LAQ824","Chromatin histone acetylation","HDAC1","6445533","Dacinostat"
"201",201,"Epothilone B","Patupilone, EpoB, EPO906, GNF-PF-193","Mitosis","Microtubule stabiliser","448013","Epothilone B"
"202",202,"GSK1904529A","GSK-1904529A, GSK 1904529A","RTK signaling","IGF1R, IR","25124816","GSK1904529A"
"203",203,"BMS-345541","BMS345541, IKK Inhibitor 3","Other, kinases","IKK1, IKK2","9813758","BMS-345541"
"204",204,"Tipifarnib","Zarnestra","Other","Farnesyl-transferase (FNTA)","159324","Tipifarnib"
"205",205,"Avagacestat","BMS-708163, BMS 708163","Other","Amyloid beta20, Amyloid beta40","46883536","Avagacestat_205"
"206",206,"Ruxolitinib","INCB-18424, Ruxolitinib Phosphate, Jakafi","Other, kinases","JAK1, JAK2","25126798","Ruxolitinib"
"207",207,"AS601245","-","JNK and p38 signaling","JNK1, JNK2, JNK2","10109823","AS601245"
"208",208,"Ispinesib Mesylate","SB-715992","Mitosis","KSP","6450816","Ispinesib Mesylate"
"211",211,"TL-2-105","-","Other","not defined","none","TL-2-105"
"219",219,"AT-7519","AT7519","Cell cycle","CDK1, CDK2, CDK4, CDK6, CDK9","11338033","AT-7519"
"221",221,"TAK-715","KIN001-201, TAK 715","JNK and p38 signaling","p38alpha, p38beta","9952773","TAK-715"
"222",222,"BX-912","-","Metabolism","PDK1 (PDPK1)","11754511","BX-912"
"223",223,"ZSTK474","KIN001-167, ZSTK-474, ZSTK 474","PI3K/MTOR signaling","PI3K (class 1)","11647372","ZSTK474"
"224",224,"AS605240","KIN001-173, AS-605240","PI3K/MTOR signaling","PI3Kgamma","5289247","AS605240"
"225",225,"Genentech Cpd 10","-","Mitosis","AURKA, AURKB","none","Genentech Cpd 10"
"226",226,"GSK1070916","GSK-1070916","Mitosis","AURKA, AURKC","46885626","GSK1070916"
"228",228,"AKT inhibitor VIII","Akti-1/2, KIN001-102","PI3K/MTOR signaling","AKT1, AKT2, AKT3","10196499","AKT inhibitor VIII_228"
"229",229,"Enzastaurin","LY317615","Other, kinases","PKCB","176167","Enzastaurin"
"230",230,"GSK429286A","-","Cytoskeleton","ROCK1, ROCK2","11373846","GSK429286A"
"231",231,"FMK","KIN001-242","Other, kinases","RSK","none","FMK"
"235",235,"QL-XII-47","-","Other, kinases","BTK, BMX","none","QL-XII-47_235"
"236",236,"IC-87114","-","PI3K/MTOR signaling","PI3Kdelta","-","IC-87114"
"238",238,"Idelalisib","CAL-101, Zydelig","PI3K/MTOR signaling","PI3Kdelta","11625818","Idelalisib"
"245",245,"UNC0638","UNC-0638, UNC 0683","Chromatin histone methylation","G9a and GLP methyltransferases","46224516","UNC0638_245"
"249",249,"Cabozantinib","BMS-907351, XL-184, Cometriq","RTK signaling","VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, TIE2,AXL","25102847","Cabozantinib"
"252",252,"WZ3105","-","Other","SRC, ROCK2, NTRK2, FLT3, IRAK1, others","none","WZ3105"
"253",253,"XMD14-99","-","Other, kinases","ALK, CDK7, LTK, others","none","XMD14-99"
"254",254,"Quizartinib","AC220, AC 220, AC-220, Asp-2689","RTK signaling","FLT3","24889392","Quizartinib"
"255",255,"CP724714","CP-724714","EGFR signaling","ERBB2","9874913","CP724714"
"256",256,"JW-7-24-1","-","Other, kinases","LCK","none","JW-7-24-1"
"257",257,"NPK76-II-72-1","-","Cell cycle","PLK3","none","NPK76-II-72-1"
"258",258,"STF-62247","STF62247","Other","Autophagy inducer","704473","STF-62247"
"260",260,"NG-25","NG25","Other, kinases","TAK1, M4K2","53340664","NG-25_260"
"261",261,"TL-1-85","-","Other, kinases","TAK1, MAP4K2","none","TL-1-85"
"262",262,"VX-11e","VX11e, VX11e","ERK MAPK signaling","ERK2","11634725","VX-11e"
"263",263,"FR-180204","FR 180204, FR180204, ERK Inhibitor II","ERK MAPK signaling","ERK1, ERK2","11493598","FR-180204"
"264",264,"ACY-1215","-","Chromatin histone acetylation","HDAC6","-","ACY-1215"
"265",265,"Tubastatin A","-","Chromatin histone acetylation","HDAC1, HDAC6, HDAC8","53394750","Tubastatin A"
"266",266,"Zibotentan","ZD4054, ZD-4054","Other","Endothelin-1 receptor (EDNRA)","9910224","Zibotentan"
"268",268,"Sepantronium bromide","YM155, YM-155, YM 155","Apoptosis regulation","BIRC5","11178236","Sepantronium bromide"
"269",269,"NSC-207895","XI-006, NSC207895","p53 pathway","MDM4","42640","NSC-207895"
"271",271,"VNLG/124","HDAC inhibitor XV","Chromatin histone acetylation","HDAC,RAR","24894414","VNLG/124"
"272",272,"AR-42","HDAC-42, AR 42, AR42","Chromatin histone acetylation","HDAC1","6918848","AR-42"
"273",273,"CUDC-101","CUDC 101","Other","HDAC1-10, EGFR, ERBB2","24756910","CUDC-101"
"274",274,"Belinostat","PXD101, PXD-101","Chromatin histone acetylation","HDAC1","6918638","Belinostat"
"275",275,"I-BET-762","GSK525762A","Chromatin other","BRD2, BRD3, BRD4","46943432","I-BET-762"
"276",276,"CAY10603","-","Chromatin histone acetylation","HDAC1, HDAC6","24951314","CAY10603"
"277",277,"Linifanib","ABT-869, ABT 869","RTK signaling","VEGFR1, VEGFR2, VEGFR3, CSF1R, FLT3, KIT","11485656","Linifanib"
"279",279,"BIX02189","BIX 02189","ERK MAPK signaling","MEK5, ERK5","46931012","BIX02189"
"281",281,"Alectinib","CH5424802, CH 542802, Alecensa","RTK signaling","ALK","49806720","Alectinib"
"282",282,"Pelitinib","EKB-569, EKB 569","EGFR signaling","EGFR","6445562","Pelitinib"
"283",283,"Omipalisib","GSK2126458, GSK-2126458, EX-8678, GSK458","PI3K/MTOR signaling","PI3K (class 1), MTORC1, MTORC2","25167777","Omipalisib"
"284",284,"JNJ38877605","-","RTK signaling","MET","-","JNJ38877605"
"285",285,"SU11274","-","RTK signaling","MET","-","SU11274"
"286",286,"KIN001-236","-","Chromatin histone acetylation","HDAC6, HDAC10","none","KIN001-236"
"287",287,"KIN001-244","PDK1 inhibitor 7","Other, kinases","PDK1","56965967","KIN001-244"
"288",288,"WHI-P97","AC1L1GQE, KIN001-055","Other, kinases","JAK3","3796","WHI-P97"
"289",289,"KIN001-042","-","WNT signaling","GSK3B","-","KIN001-042"
"290",290,"KIN001-260","Bayer IKKb inhibitor, ACHP","DNA replication","CDC7","10451420","KIN001-260"
"291",291,"KIN001-266","-","DNA replication","CDC7","44143370","KIN001-266"
"292",292,"Masitinib","AB1010, Masivet","RTK signaling","KIT, PDGFRA, PDGFRB","10074640","Masitinib"
"293",293,"Amuvatinib","MP470, MP 470, MP-470","RTK signaling","KIT, PDGFRA, FLT3","11282283","Amuvatinib"
"294",294,"MPS-1-IN-1","-","Mitosis","MPS1","25195352","MPS-1-IN-1"
"295",295,"NVP-BHG712","BHG712","Other, kinases","EPHB4, RAF, SRC, ABL","16747388","NVP-BHG712"
"298",298,"OSI-930","OSI 930 OSI930","RTK signaling","KIT, VEGFR2","9868037","OSI-930"
"299",299,"OSI-027","A-1065-5","PI3K/MTOR signaling","MTORC1, MTORC2","44224160","OSI-027"
"300",300,"CX-5461","CX5461, CX 5461","Other","RNA Polymerase 1","25257557","CX-5461"
"301",301,"PHA-793887","PHA793887, PHA 793887","Cell cycle","CDK2, CDK7, CDK5","46191454","PHA-793887"
"302",302,"PI-103","PI-103, PI103, PI 103","Other, kinases","PI3Kalpha, DAPK3, CLK4, PIM3, HIPK2","9884685","PI-103"
"303",303,"PIK-93","PIK 93, PIK93","PI3K/MTOR signaling","PK3CG","6852167","PIK-93"
"304",304,"SB52334","SB-52334, SB 52334","RTK signaling","ALK5","9967941","SB52334"
"305",305,"TPCA-1","-","Other, kinases","IKK2","9903786","TPCA-1"
"306",306,"Fedratinib","TG101348, TG-101348, SAR302503, SAR-302503","Other, kinases","JAK2","16722836","Fedratinib"
"308",308,"Foretinib","GSK1363089, XL-880, EXEL-2880, GSK089","RTK signaling","MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR","42642645","Foretinib"
"309",309,"Y-39983","-","Cytoskeleton","ROCK","9810884","Y-39983"
"310",310,"YM201636","YM-201636, YM 201636","PI3K/MTOR signaling","PIKFYVE","9956222","YM201636"
"312",312,"Tivozanib","AV-951, AV 951, KRN-951, KIL8951, ASP-4130","RTK signaling","VEGFR1, VEGFR2, VEGFR3, PDGFR, KIT","9911830","Tivozanib"
"317",317,"WYE-125132","-","PI3K/MTOR signaling","mTOR","-","WYE-125132"
"326",326,"GSK690693","GSK 690693, GSK-690693","PI3K/MTOR signaling","AKT1, AKT2, AKT3","16725726","GSK690693"
"328",328,"SNX-2112","SNX 2112","Protein stability and degradation","HSP90","24772860","SNX-2112"
"329",329,"QL-XI-92","-","Cytoskeleton","DDR1","none","QL-XI-92"
"330",330,"XMD13-2","-","Cytoskeleton","MRCKB","none","XMD13-2"
"331",331,"QL-X-138","-","Other, kinases","BTK","none","QL-X-138"
"332",332,"XMD15-27","-","Other, kinases","CAMK2","none","XMD15-27"
"333",333,"T0901317","TO-901317, TO901317","Other","LXR, FXR","447912","T0901317"
"341",341,"Selisistat","EX-527, EX 527","Chromatin histone acetylation","SIRT1","5113032","Selisistat"
"342",342,"Tenovin-6","-","Chromatin histone acetylation","SIRT","-","Tenovin-6"
"344",344,"THZ-2-49","-","Cell cycle","CDK9","none","THZ-2-49"
"345",345,"KIN001-270","CDK9 inhibitor, CDK9-IN-1","Other","CDK9","66577006","KIN001-270"
"346",346,"THZ-2-102-1","-","Cell cycle","CDK7","none","THZ-2-102-1"
"356",356,"AT7867","-","PI3K/MTOR signaling","AKT","-","AT7867"
"362",362,"CI-1033","-","RTK signaling","EGFR, ERBB2, ERBB4","-","CI-1033"
"363",363,"PF-00299804","-","RTK signaling","EGFR, ERBB2, ERBB4","-","PF-00299804"
"366",366,"TWS119","-","WNT signaling","GSK3","-","TWS119"
"371",371,"Torin 2","-","PI3K/MTOR signaling","mTOR","-","Torin 2"
"372",372,"Pilaralisib","XL-147","PI3K/MTOR signaling","PI3K","-","Pilaralisib"
"374",374,"GSK1059615","-","PI3K/MTOR signaling","PI3K","-","GSK1059615"
"375",375,"Voxtalisib","XL-765, SAR245409","PI3K/MTOR signaling","PI3K (class 1), DNAPK, MTOR","-","Voxtalisib"
"376",376,"Brivanib, BMS-540215","-","RTK signaling","VEGFR, PDGFR","-","Brivanib, BMS-540215"
"380",380,"BIBF-1120","-","RTK signaling","VEGFR, PDGFR, FGFR","-","BIBF-1120"
"381",381,"AST-1306","-","RTK signaling","EGFR, ERBB4","-","AST-1306"
"382",382,"Apitolisib","GDC0980","PI3K/MTOR signaling","mTOR, PI3K","-","Apitolisib"
"406",406,"LIMK1 inhibitor BMS4","-","Cytoskeleton","LIMK1","-","LIMK1 inhibitor BMS4"
"407",407,"kb NB 142-70","-","Other, kinases","PKD","-","kb NB 142-70"
"408",408,"Sphingosine Kinase 1 Inhibitor II","PF-543","Other, kinases","Sphingosine Kinase","-","Sphingosine Kinase 1 Inhibitor II"
"409",409,"eEF2K Inhibitor, A-484954","-","Other, kinases","eEF2K","-","eEF2K Inhibitor, A-484954"
"410",410,"MetAP2 Inhibitor, A832234","-","Other","MetAP2","-","MetAP2 Inhibitor, A832234"
"412",412,"Venotoclax","ABT-199, Veneclexta, GDC-0199","Apoptosis regulation","BCL-2 selective","-","Venotoclax"
"415",415,"CPI-613","-","Other","Metabo, Mitochondria","-","CPI-613"
"416",416,"CAY10566","-","Other","Stearoyl-CoA desaturase","-","CAY10566"
"427",427,"Ara-G","9-??-D-Arabinofuranosyl guanine","Other","Anti-metabolite","-","Ara-G"
"428",428,"Pemetrexed","-","DNA replication","TYMS","-","Pemetrexed"
"431",431,"Alisertib","MLN8237","Mitosis","AURKA","-","Alisertib"
"432",432,"Flavopiridol","-","Cell cycle","CDK","-","Flavopiridol"
"435",435,"C-75","-","Apoptosis regulation","FAS","-","C-75"
"436",436,"CAP-232, TT-232, TLN-232","-","Metabolism","Glycolysis","-","CAP-232, TT-232, TLN-232"
"437",437,"Trichostatin A","-","Chromatin histone acetylation","HDAC","-","Trichostatin A"
"438",438,"Panobinostat","Farydak, LBH589","Chromatin histone acetylation","HDAC","-","Panobinostat"
"439",439,"LCL161","-","Apoptosis regulation","XIAP, cIAP1, cIAP2","-","LCL161"
"442",442,"IMD-0354","-","Other, kinases","IKKb","-","IMD-0354"
"446",446,"MIM1","-","Apoptosis regulation","MCL-1","-","MIM1"
"447",447,"ETP-45835","-","Other, kinases","MNK1, MNK2","-","ETP-45835"
"449",449,"CD532","-","Mitosis","AURKA","-","CD532"
"461",461,"NSC319726","-","p53 pathway","P53 Mut specific","-","NSC319726"
"474",474,"ARRY-520","-","Mitosis","KIF11","-","ARRY-520"
"476",476,"SB505124","SB 505124, SB505124","RTK signaling","TGFBR1, ACVR1B, ACVR1C","-","SB505124_476"
"477",477,"A-83-01","-","Other","TGFB","-","A-83-01"
"478",478,"LDN-193189","-","Other","BMP","-","LDN-193189"
"546",546,"FTY-720","Fingolimod hydrochloride; Gilenya; TDI-132; Imusera; Gilenia","Other","S1P","-","FTY-720"
"552",552,"BAM7","-","Other","Bax activator","-","BAM7"
"562",562,"AGI-6780","-","Metabolism","IDH2(R140Q)","-","AGI-6780"
"563",563,"Kobe2602","-","RTK signaling","RAS effector","-","Kobe2602"
"573",573,"LGK974","-","WNT signaling","PORCN","-","LGK974"
"574",574,"Wnt-C59","-","WNT signaling","PORCN","-","Wnt-C59"
"576",576,"RU-SKI 43","-","Other","Shh","-","RU-SKI 43"
"1001",1001,"AICA Ribonucleotide","AICAR, N1-(b-D-Ribofuranosyl)-5-aminoimidazole-4-carboxamide","Metabolism","AMPK agonist","65110","AICA Ribonucleotide"
"1004",1004,"Vinblastine","Velban","Mitosis","Microtubule destabiliser","6710780","Vinblastine"
"1005",1005,"Cisplatin","cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP","DNA replication","DNA crosslinker","84691","Cisplatin_1005"
"1006",1006,"Cytarabine","Ara-Cytidine, Arabinosyl Cytosine, U-19920","Other","Antimetabolite","6253","Cytarabine"
"1007",1007,"Docetaxel","RP-56976, Taxotere","Mitosis","Microtubule stabiliser","148124","Docetaxel"
"1008",1008,"Methotrexate","Abitrexate, Amethopterin, Rheumatrex, Trexall, Folex","DNA replication","Antimetabolite","126941","Methotrexate"
"1009",1009,"Tretinoin","ATRA, Vesanoid, Renova, Atralin, Tretin-X, Avita","Other","Retinoic acid","444795","Tretinoin"
"1010",1010,"Gefitinib","ZD-1839, Iressa","EGFR signaling","EGFR","123631","Gefitinib"
"1011",1011,"Navitoclax","ABT-263, ABT263, ABT 263","Apoptosis regulation","BCL2, BCL-XL, BCL-W","24978538","Navitoclax"
"1012",1012,"Vorinostat","Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683","Chromatin histone acetylation","HDAC inhibitor Class I, IIa, IIb, IV","5311","Vorinostat"
"1013",1013,"Nilotinib","Tasigna, AMN 107","ABL signaling","ABL","644241","Nilotinib"
"1014",1014,"Refametinib","RDEA119, BAY-86-9766, BAY 869766","ERK MAPK signaling","MEK1, MEK2","44182295","Refametinib_1014"
"1015",1015,"CI-1040","CI 1040, PD-18435, PD-184352, 212631-79-3","ERK MAPK signaling","MEK1, MEK2","6918454","CI-1040"
"1016",1016,"Temsirolimus","CCI-779, Torisel","PI3K/MTOR signaling","MTOR","6918289","Temsirolimus"
"1017",1017,"Olaparib","AZD2281, KU0059436,  Lynparza","Genome integrity","PARP1, PARP2","23725625","Olaparib_1017"
"1018",1018,"Veliparib","ABT-888, ABT888, ABT 888","Genome integrity","PARP1, PARP2","11960529","Veliparib"
"1019",1019,"Bosutinib","SKI-606, Bosulif","Other, kinases","SRC, ABL, TEC","5328940","Bosutinib"
"1020",1020,"Lenalidomide","CDC-501, CC-5013, Revlimid","Protein stability and degradation","CRBN","216326","Lenalidomide"
"1021",1021,"Axitinib","AG-13736, Inlyta","RTK signaling","PDGFR, KIT, VEGFR","6450551","Axitinib"
"1022",1022,"AZD7762","AZD-7762, AZD 7762","Cell cycle","CHEK1, CHEK2","11152667","AZD7762_1022"
"1023",1023,"GW441756","GW 441756","RTK signaling","NTRK1","9943465","GW441756"
"1024",1024,"Lestaurtinib","CEP-701, SP-924, SPM-924, A-154475, KT-555","Other, kinases","FLT3, JAK2, NTRK1, NTRK2, NTRK3","126565","Lestaurtinib"
"1025",1025,"SB216763","SB-216763, SB 216763","WNT signaling","GSK3A, GSK3B","176158","SB216763"
"1026",1026,"Tanespimycin","17-AAG, BMS-722782","Protein stability and degradation","HSP90","6505803","Tanespimycin"
"1028",1028,"VX-702","VX702, VX 702","JNK and p38 signaling","p38","10341154","VX-702"
"1029",1029,"Motesanib","AMG-706, AMG 706, AMG706","RTK signaling","VEGFR, RET, KIT, PDGFR","11667893","Motesanib"
"1030",1030,"KU-55933","KU55933","Genome integrity","ATM","5278396","KU-55933"
"1031",1031,"Elesclomol","STA-4783","Protein stability and degradation","HSP90","300471","Elesclomol"
"1032",1032,"Afatinib","BIBW2992, Tovok, Gilotrif","EGFR signaling","EGFR, ERBB2","10184653","Afatinib_1032"
"1033",1033,"Vismodegib","GDC0449, Erivedge","Other","SMO","24776445","Vismodegib"
"1036",1036,"PLX-4720","PLX4720, PLX 4720","ERK MAPK signaling","BRAF","24180719","PLX-4720_1036"
"1037",1037,"BX795","BX-795","Other, kinases","TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC","10077147","BX795"
"1038",1038,"NU7441","KU-57788, NU-7432, NU-7741","Genome integrity","DNAPK","11327430","NU7441"
"1039",1039,"SL0101","SL-0101, SL 0101-1","Other, kinases","RSK, AURKB, PIM1, PIM3","10459196","SL0101"
"1042",1042,"Doramapimod","BIRB-796, BIRB 796","JNK and p38 signaling","p38, JNK2","156422","Doramapimod"
"1043",1043,"JNK Inhibitor VIII","-","JNK and p38 signaling","JNK","11624601","JNK Inhibitor VIII"
