"","drug_id","drug_name","synonyms","pathway_name","targets","pubchem","extended_name"
"1061",1061,"SB590885","SB-590885","ERK MAPK signaling","BRAF","11316960","SB590885"
"1062",1062,"Selumetinib","AZD6244, AZD-6244, ARRY-886","ERK MAPK signaling","MEK1, MEK2","10127622","Selumetinib_1062"
"1067",1067,"CCT007093","-","Cell cycle","PPM1D","2314623","CCT007093"
"1068",1068,"Obatoclax Mesylate","GX15-070MS, Obatoclax, GX15-070","Apoptosis regulation","BCL2, BCL-XL, BCL-W, MCL1","11404337","Obatoclax Mesylate"
"1069",1069,"EHT-1864","EHT 1864","Cytoskeleton","RAC1, RAC2, RAC3","9938202","EHT-1864"
"1072",1072,"Avagacestat","BMS-708163, BMS 708163","Other","Amyloid beta20, Amyloid beta40","46883536","Avagacestat"
"1073",1073,"5-Fluorouracil","5-FU","Other","Antimetabolite (DNA & RNA)","3385","5-Fluorouracil"
"1079",1079,"Dasatinib","BMS-354825-03, BMS-354825, Sprycel","Other, kinases","ABL, SRC, Ephrins, PDGFR, KIT","3062316","Dasatinib"
"1080",1080,"Paclitaxel","BMS-181339-01, Taxol, Onxol, Paxene, Praxel, Abraxane","Mitosis","Microtubule stabiliser","36314","Paclitaxel"
"1083",1083,"Crizotinib","Xalkori, PF2341066, PF-2341066, PF 2341066","RTK signaling","MET, ALK, ROS1","11626560","Crizotinib"
"1084",1084,"Rapamycin","AY-22989, Sirolimus, WY-090217, Torisel, Rapamune","PI3K/MTOR signaling","MTORC1","5384616","Rapamycin"
"1085",1085,"Sorafenib","Nexavar, 284461-73-0, BAY 43-9006","Other, kinases","PDGFR, KIT, VEGFR, RAF","216239","Sorafenib"
"1086",1086,"BI-2536","-","Cell cycle","PLK1, PLK2, PLK3","11364421","BI-2536"
"1088",1088,"Irinotecan","Camptosar, (+)-Irinotecan, Irinotecanum, irinotecan hydrochloride","DNA replication","TOP1","60838","Irinotecan"
"1089",1089,"Oxaliplatin","Eloxatin","DNA replication","DNA alkylating agent","5310940","Oxaliplatin_1089"
"1091",1091,"BMS-536924","BMS 536924","IGF1R signaling","IGF1R, IR","10390396","BMS-536924"
"1093",1093,"GSK1904529A","GSK-1904529A, GSK 1904529A","IGF1R signaling","IGF1R, IR","25124816","GSK1904529A"
"1096",1096,"Tozasertib","MK 0457,MK-0457,MK-045, VX-680 VX 680 VX-68","Mitosis","AURKA, AURKB, AURKC, others","5494449","Tozasertib"
"1129",1129,"PF-4708671","PF 4708671, PF4708671","PI3K/MTOR signaling","S6K1","51371303","PF-4708671"
"1131",1131,"PRIMA-1MET","Prima 1MET, APR-246","p53 pathway","TP53 activation","52918385","PRIMA-1MET"
"1133",1133,"Serdemetan","JNJ-26854165","p53 pathway","MDM2","11609586","Serdemetan"
"1149",1149,"TW 37","TW37, TW-37","Apoptosis regulation","BCL2, BCL-XL, MCL1","11455910","TW 37"
"1168",1168,"Erlotinib","Tarceva, RG-1415, CP-358774, OSI-774, Ro-508231, R-1415","EGFR signaling","EGFR","176870","Erlotinib"
"1170",1170,"CCT-018159","CCT018159, CCT 018159","Protein stability and degradation","HSP90","5327091","CCT-018159"
"1175",1175,"Rucaparib","PF-01367338, AG-014699, AG-14447, AG-14699","Genome integrity","PARP1, PARP2","9931953","Rucaparib"
"1177",1177,"Niraparib","MK-4827, MK4827","Genome integrity","PARP1, PARP2","24958200","Niraparib"
"1179",1179,"MK-1775","AZD1775, Adavosertib","Cell cycle","WEE1, PLK1","24856436","MK-1775"
"1180",1180,"Dinaciclib","SCH727965, SCH 727965, SCH-727-965, MK-7965","Cell cycle","CDK1, CDK2, CDK5, CDK9","46926350","Dinaciclib"
"1190",1190,"Gemcitabine","Gemzar, LY-188011","DNA replication","Pyrimidine antimetabolite","60750","Gemcitabine"
"1191",1191,"Bortezomib","PS-341, LDP-341, Velcade","Protein stability and degradation","Proteasome","387447","Bortezomib"
"1192",1192,"GSK269962A","GSK 269962A","Cytoskeleton","ROCK1, ROCK2","16095342","GSK269962A"
"1194",1194,"SB505124","SB 505124, SB505124","RTK signaling","TGFBR1, ACVR1B, ACVR1C","9858940","SB505124"
"1199",1199,"Tamoxifen","Nolvadex, Soltamox, Zynoplex, ICI-46474, Kessar","Hormone-related","ESR1","2733526","Tamoxifen"
"1200",1200,"Fulvestrant","Faslodex, ICI-182780","Hormone-related","ESR","104741","Fulvestrant_1200"
"1237",1237,"EPZ004777","EPZ-004777","Chromatin histone methylation","DOT1L","56962336","EPZ004777"
"1239",1239,"YK-4-279","YK 4-279","Other","RNA helicase A","44632017","YK-4-279"
"1243",1243,"Piperlongumine","Piplartine","Other","Induces reactive oxygen species","637858","Piperlongumine"
"1248",1248,"Daporinad","APO866,  FK866, FK866","Metabolism","NAMPT","6914657","Daporinad"
"1249",1249,"BMS-345541","-","Other","IKK-1, IKK-2","9926054","BMS-345541"
"1250",1250,"AZ960","AZ 960, AZ-960","Other, kinases","JAK2, JAK3","25099184","AZ960"
"1259",1259,"Talazoparib","BMN-673, BMN 973","Genome integrity","PARP1, PARP2","44819241","Talazoparib"
"1268",1268,"XAV939","NVP-XAV939, XAV-939, XAV 939","WNT signaling","TNKS1, TNKS2","2726824","XAV939"
"1372",1372,"Trametinib","GSK1120212, Mekinist","ERK MAPK signaling","MEK1, MEK2","11707110","Trametinib"
"1373",1373,"Dabrafenib","GSK2118436, Tafinlar","ERK MAPK signaling","BRAF","44462760","Dabrafenib"
"1375",1375,"Temozolomide","Temodar, Temodal, M-39831, SCH 52365","DNA replication","DNA alkylating agent","5394","Temozolomide"
"1378",1378,"Bleomycin (50 uM)","-","DNA replication","dsDNA break induction","5460769","Bleomycin (50 uM)"
"1401",1401,"AZD5438","SN1057898678","Cell cycle","CDK2","-","AZD5438"
"1428",1428,"IAP_5620","SN1043546339","Other","IAP","-","IAP_5620"
"1441",1441,"AZD2014","SN1103949359","PI3K/MTOR signaling","mTORC1, mTORC2","-","AZD2014"
"1449",1449,"AZD1208","SN1028350371","Other, kinases","PIM1, PIM2, PIM3","-","AZD1208"
"1463",1463,"AZD1332","SN1061387896","RTK signaling","NTRK1, NTRK2, NTRK3","-","AZD1332"
"1494",1494,"SN-38","7-Ethyl-10-Hydroxy-Camptothecin, SN 38","DNA replication","TOP1","104842","SN-38"
"1502",1502,"Bicalutamide","ICI-176334, Casodex, Cosudex, ICI 176334","Hormone-related","AR","2375","Bicalutamide"
"1507",1507,"Ruxolitinib","INCB-18424, Ruxolitinib Phosphate, Jakafi","Other, kinases","JAK1, JAK2","25126798","Ruxolitinib"
"1510",1510,"Linsitinib","OSI-906, ASP-7487","IGF1R signaling","IGF1R","11640390","Linsitinib"
"1511",1511,"Epirubicin","Ellence, Farmorubicin, IMI-28","DNA replication","Anthracycline","41867","Epirubicin"
"1512",1512,"Cyclophosphamide","Cytoxan, Neosar, Cyclophosphamid, Procytox, Cyclophosphane","DNA replication","Alkylating agent","2907","Cyclophosphamide"
"1529",1529,"Pevonedistat","MLN4924, MLN 4924, MLN-4924","Other","NAE","16720766","Pevonedistat"
"1549",1549,"Sapitinib","AZD8931","EGFR signaling","EGFR, ERBB2, ERBB3","11488320","Sapitinib"
"1553",1553,"Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","PI3K/MTOR signaling","AKT1, AKT2, AKT3","51042438","Uprosertib_1553"
"1557",1557,"LCL161","-","Apoptosis regulation","XIAP, IAP1, IAP2","24737642","LCL161"
"1558",1558,"Lapatinib","Tykerb, Tyverb","EGFR signaling","EGFR, ERBB2","208908","Lapatinib"
"1559",1559,"Luminespib","AUY922, VER-52296,NVP-AUY922,  AUY","Protein stability and degradation","HSP90","10096043","Luminespib"
"1560",1560,"Alpelisib","BYL719, BYL-719, NVP-BYL719","PI3K/MTOR signaling","PI3Kalpha","56649450","Alpelisib"
"1561",1561,"Taselisib","GDC-0032, GDC0032, RG7604","PI3K/MTOR signaling","PI3K (beta sparing)","51001932","Taselisib"
"1563",1563,"EPZ5676","EPZ-5676, Pinometostat","Chromatin histone methylation","DOT1L","57345410","EPZ5676"
"1564",1564,"SCH772984","CS-1421","ERK MAPK signaling","ERK1, ERK2","24866313","SCH772984"
"1576",1576,"IWP-2","Wnt Inhibitor IWP-2","WNT signaling","PORCN","2155128","IWP-2"
"1578",1578,"Leflunomide","Sulol, SU-101, HWA-486, Arava","DNA replication","Pyrimidine synthesis inhibitor","3899","Leflunomide"
"1580",1580,"GSK2801","1-(7-(2-methylsulfonyl-phenyl)-4-propoxy-1-aza-bicyclo[4.3.0]nona-2,4,6,8-tetraen-9-yl)-ethanone","Chromatin other","-","-","GSK2801"
"1581",1581,"Bromosporine","ethyl N-[6-(3-methanesulfonamido-4-methylphenyl)-3-methyl-[1,2,4]triazolo[4,3-b]pyridazin-8-yl]carbamate","Chromatin other","CECR2, BRD2, BRD4, BRD9","-","Bromosporine"
"1582",1582,"SGC-CBP30","8-(3-chloro-4-methoxy-phenethyl)-4-(3,5-dimethyl-isoxazol-4-yl)-9-(2-(morpholin-4-yl)-propyl)-7,9-diaza-bicyclo[4.3.0]nona-1(6),2,4,7-tetraene","Chromatin histone acetylation","EP300, CBP","-","SGC-CBP30"
"1583",1583,"GSK-LSD1","N-((1R,2S)-2-phenylcyclopropyl)piperidin-4-amine","Chromatin histone methylation","KDM1","-","GSK-LSD1"
"1584",1584,"BDOCA000347a","4-bromo-N-(6-methoxy-1,3-dimethyl-2-oxo-2,3-dihydro-1H-benzo[d]imidazol-5-yl)-2-methylbenzenesulfonamide","Chromatin histone acetylation","BRPF1, BRPF2, BRPF3","-","BDOCA000347a"
"1585",1585,"BDF00022089a","-","Chromatin histone acetylation","BRPF1, BRPF2, BRPF3","-","BDF00022089a"
"1586",1586,"BDILV000379a","4-(4-(1-methyl-1H-pyrazol-4-yl)-1-(2-(1-methyl-1H-pyrazol-4-yl)ethyl)-4,5-dihydro-1H-imidazol-5-yl)benzonitrile","Chromatin histone acetylation","BAZ2A, BAZ2B","-","BDILV000379a"
"1593",1593,"Entinostat","MS-275","Chromatin histone acetylation","HDAC1, HDAC3","4261","Entinostat"
"1594",1594,"OSI-027","A-1065-5","PI3K/MTOR signaling","MTORC1, MTORC2","44224160","OSI-027"
"1598",1598,"LGK974","LGK-974","WNT signaling","PORCN","46926973","LGK974"
"1613",1613,"VE-822","VE 822, VE822, Berzosertib","Genome integrity","ATR","59472121","VE-822"
"1614",1614,"WZ4003","WZ 4003","Other, kinases","NUAK1, NUAK2","72200024","WZ4003"
"1615",1615,"CZC24832","GTPL6653","PI3K/MTOR signaling","PI3Kgamma","42623951","CZC24832"
"1617",1617,"AZD5582","GTPL7710, AOB5560","Apoptosis regulation","XIAP, cIAP","49847690","AZD5582"
"1618",1618,"GSK2606414","AK175551","Metabolism","PERK","53469448","GSK2606414"
"1620",1620,"PFI3","PFI-3, PFI 3, AOB2221","Chromatin other","Polybromo 1, SMARCA4, SMARCA2","78243717","PFI3"
"1621",1621,"PCI-34051","AK298746","Chromatin histone acetylation","HDAC8, HDAC6, HDAC1","24753719","PCI-34051"
"1622",1622,"Wnt-C59","AOB3540, AK161197","WNT signaling","PORCN","57519544","Wnt-C59"
"1624",1624,"I-BET-762","GSK525762A","Chromatin other","BRD2, BRD3, BRD4","46943432","I-BET-762"
"1625",1625,"RVX-208","1044870-39-4, Apabetalone","Chromatin other","BRD4","24871506","RVX-208"
"1626",1626,"OTX015","Birabresib, OTX-015, MK-8628","Chromatin other","BRD2, BRD3, BRD4","9936746","OTX015"
"1627",1627,"GSK343","GTPL8240, AOB3680, AK175558","Chromatin histone methylation","EZH2","71268957","GSK343_1627"
"1629",1629,"ML323","GTPL7898, AOB2313,","Protein stability and degradation","USP1, UAF1","60167849","ML323"
"1630",1630,"Entospletinib","GS-9973","Other, kinases","SYK","59473233","Entospletinib"
"1631",1631,"PRT062607","P505-15, PRT-2607, BIIB-057","Other, kinases","SYK","44462758","PRT062607"
"1632",1632,"Ribociclib","LEE011, NVP-LEE011, LEE011-BBA","Cell cycle","CDK4, CDK6","44631912","Ribociclib"
"1634",1634,"AGI-6780","AK162157","Metabolism","IDH2 R140Q mutant","71299339","AGI-6780"
"1635",1635,"Picolinici-acid","Picolinate","Other","Inflammatory related","1018","Picolinici-acid"
"1706",1706,"AZD5153","SN1045566955, AZD5153","Chromatin other","BRD4","-","AZD5153"
"1708",1708,"CDK9_5576","SN1047226266, CDK9_5576","Cell cycle","CDK9","-","CDK9_5576"
"1709",1709,"CDK9_5038","SN1047483750, CDK9_5038","Cell cycle","CDK9","-","CDK9_5038"
"1712",1712,"Eg5_9814","SN1047613775, Eg5_9814","Other","KSP11","-","Eg5_9814"
"1713",1713,"ERK_2440","SN1051032892, ERK_2440","ERK MAPK signaling","ERK1,ERK2","-","ERK_2440"
"1714",1714,"ERK_6604","SN1047587618, ERK_6604","ERK MAPK signaling","ERK1,ERK2","-","ERK_6604"
"1716",1716,"IRAK4_4710","SN1050852374, IRAK4_4710","Other, kinases","IRAK4","-","IRAK4_4710"
"1718",1718,"JAK1_8709","SN1049200060, JAK1_8709","Other, kinases","JAK1","-","JAK1_8709"
"1720",1720,"AZD5991","SN1049446612, AZD5991","Apoptosis regulation","MCL1","-","AZD5991"
"1730",1730,"PAK_5339","SN1046290829, PAK_5339","Cytoskeleton","PAK1, PAK2","-","PAK_5339"
"1732",1732,"TAF1_5496","SN1050393042, TAF1_5496","Other","TAF1","-","TAF1_5496"
"1733",1733,"ULK1_4989","SN1049257073, ULK1_4989","Other, kinases","ULK1","-","ULK1_4989"
"1734",1734,"VSP34_8731","SN1049998399, VSP34_8731","Other","VSP34","-","VSP34_8731"
"1736",1736,"Selumetinib","SN1103949345, AZD1480","ERK MAPK signaling","MEK1, MEK2","-","Selumetinib_1736"
"1738",1738,"IGF1R_3801","SN1051640224, IGF1R_3801","IGF1R signaling","IGFR1","-","IGF1R_3801"
"1739",1739,"JAK_8517","SN1066590414, JAK_8517","Other, kinases","JAK1, JAK2","-","JAK_8517"
"1776",1776,"GSK2256098C","-","Cytoskeleton","FAK1","-","GSK2256098C"
"1777",1777,"GSK2276186C","-","Other, kinases","JAK1, JAK2, JAK3","-","GSK2276186C"
"1778",1778,"GSK2110183B","-","PI3K/MTOR signaling","AKT1, AKT2, AKT3","-","GSK2110183B"
"1779",1779,"GSK626616AC","-","Other, kinases","DYRK1A","-","GSK626616AC"
"1780",1780,"GSK3337463A","-","Other, kinases","NIK","-","GSK3337463A"
"1782",1782,"GSK2830371A","-","Other","PPM1D","-","GSK2830371A"
"1783",1783,"LMB_AB1","-","Other","ADRA1A, ADRB1","-","LMB_AB1"
"1784",1784,"LMB_AB2","-","Unclassified","GADD34","-","LMB_AB2"
"1785",1785,"LMB_AB3","-","Other","PPP1R15B","-","LMB_AB3"
"1786",1786,"AZD4547","1035270-39-3","RTK signaling","FGFR1, FGFR2, FGFR3","51039095","AZD4547"
"1799",1799,"Ibrutinib","PCI-32765, CRA-032765, PCI-32765-00","Other, kinases","BTK","24821094","Ibrutinib"
"1802",1802,"Zoledronate","Zoledronic acid, Zometa, Reclast","Other","","-","Zoledronate"
"1803",1803,"Acetalax","Oxyphenisatin acetate","Unclassified","-","-","Acetalax_1803"
"1804",1804,"Acetalax","Oxyphenisatin acetate","Unclassified","-","-","Acetalax_1804"
"1806",1806,"Oxaliplatin","-","DNA replication","DNA alkylating agent","-","Oxaliplatin_1806"
"1808",1808,"Topotecan","-","DNA replication","TOP1","-","Topotecan"
"1809",1809,"Teniposide","Vumon","DNA replication","-","-","Teniposide"
"1810",1810,"Mitoxantrone","-","DNA replication","TOP2","-","Mitoxantrone"
"1811",1811,"Dactinomycin","Actinomycin D","Other","RNA polymerase","-","Dactinomycin_1811"
"1812",1812,"Bleomycin","-","DNA replication","dsDNA break induction","-","Bleomycin"
"1813",1813,"Fludarabine","Fludara","DNA replication","Antimetabolite","-","Fludarabine"
"1814",1814,"Nelarabine","Atriance, Arranon","DNA replication","-","-","Nelarabine"
"1815",1815,"Dacarbazine","DTIC","Other","CP11A","-","Dacarbazine"
"1816",1816,"Fulvestrant","-","Hormone-related","ESR","-","Fulvestrant_1816"
"1817",1817,"Romidepsin","Istodax, FK228, Depsipeptide","Chromatin histone acetylation","HDAC1, HDAC2, HDAC3, HDAC8","-","Romidepsin"
"1819",1819,"Docetaxel","RP-56976, Taxotere","Mitosis","Microtubule stabiliser","-","Docetaxel_1819"
"1820",1820,"123829","-","Unclassified","-","-","123829"
"1821",1821,"765771","-","Unclassified","-","-","765771"
"1824",1824,"123138","-","Unclassified","-","-","123138"
"1825",1825,"Podophyllotoxin bromide","-","Unclassified","-","-","Podophyllotoxin bromide"
"1826",1826,"50869","-","Unclassified","-","-","50869"
"1827",1827,"Dihydrorotenone","-","Unclassified","-","-","Dihydrorotenone"
"1828",1828,"720427","-","Unclassified","-","-","720427"
"1829",1829,"667880","-","Unclassified","-","-","667880"
"1830",1830,"Gallibiscoquinazole","-","Unclassified","-","-","Gallibiscoquinazole"
"1831",1831,"L-Oxonoreleagnine","-","Unclassified","-","-","L-Oxonoreleagnine"
"1832",1832,"729189","-","Unclassified","-","-","729189"
"1833",1833,"741909","-","Unclassified","-","-","741909"
"1834",1834,"743380","-","Unclassified","-","-","743380"
"1835",1835,"Elephantin","-","Unclassified","-","-","Elephantin"
"1836",1836,"150412","-","Unclassified","-","-","150412"
"1838",1838,"Sinularin","-","Unclassified","-","-","Sinularin"
"1839",1839,"615590","-","Unclassified","-","-","615590"
"1840",1840,"630600","-","Unclassified","-","-","630600"
"1843",1843,"LMP744","MJ-III-65","DNA replication","TOP1","-","LMP744"
"1844",1844,"776928","-","Unclassified","-","-","776928"
"1845",1845,"Schweinfurthin A","-","Unclassified","-","-","Schweinfurthin A"
"1847",1847,"BEN","-","Unclassified","-","-","BEN"
"1849",1849,"Sabutoclax","BI-97C1","Apoptosis regulation","BCL2,  BCL-XL,  BFL1, MCL1","46236925","Sabutoclax"
"1852",1852,"LY2109761","5XE","Other","TGFB1","11655119","LY2109761"
"1853",1853,"OF-1","-","Chromatin histone acetylation","BRPF1B, BRPF2","35397514","OF-1"
"1854",1854,"MN-64","-","WNT signaling","TNKS1, TNKS2","2802462","MN-64"
"1855",1855,"KRAS (G12C) Inhibitor-12","GTPL8020","ERK MAPK signaling","KRAS (G12C)","73555129","KRAS (G12C) Inhibitor-12"
"1862",1862,"MG-132","LLL cpd, MG 132, MG132","Protein stability and degradation","Proteasome, CAPN1","462382","MG-132"
"1866",1866,"BDP-00009066","-","Cytoskeleton","MRCKB_HUMAN","-","BDP-00009066"
"1873",1873,"Buparlisib","BKM120, NVP-BKM120","PI3K/MTOR signaling","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma","66577015, 16654980","Buparlisib"
"1908",1908,"Ulixertinib","BVD-523, VRT752271","ERK MAPK signaling","ERK1, ERK2","11719003, 58641927","Ulixertinib_1908"
"1909",1909,"Venetoclax","ABT-199, Veneclexta, GDC-0199","Apoptosis regulation","BCL2","49846579","Venetoclax"
"1910",1910,"ABT737","-","Apoptosis regulation","BCL2, BCL-XL,  BCL-W, BCL-B, BFL1","11228183","ABT737"
"1911",1911,"Dactinomycin","Actinomycin D, Cosmegen, Lyovac, Meractinomycin, Ac-De, ActD","Other","RNA polymerase","several","Dactinomycin_1911"
"1912",1912,"Afuresertib","GSK2110183, GSK2110183C","PI3K/MTOR signaling","AKT1, AKT2, AKT3","46843057","Afuresertib"
"1913",1913,"AGI-5198","IDH-C35","Metabolism","IDH1 (R132H)","56645356","AGI-5198"
"1915",1915,"AZD3759","-","EGFR signaling","EGFR","78209992","AZD3759"
"1916",1916,"AZD5363","-","Other, kinases","AKT1, AKT2, AKT3, ROCK2","25227436, 42602260","AZD5363"
"1917",1917,"AZD6738","AZD 6738, AZD-6738","Genome integrity","ATR","54761306","AZD6738"
"1918",1918,"AZD8186","AZD 8186, AZD-8186","PI3K/MTOR signaling","PI3Kalpha, PI3Kbeta","52913813","AZD8186"
"1919",1919,"Osimertinib","AZD9291, AZD 9291, AZD-9291, Tagrisso, Mereletinib","EGFR signaling","EGFR","71496458","Osimertinib"
"1922",1922,"Cediranib","AZD2171, AZD 2171, AZD-2171, Recentin","RTK signaling","VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB","9933475","Cediranib"
"1924",1924,"Ipatasertib","GDC0068, GDC 0068, GDC-0068","PI3K/MTOR signaling","AKT1, AKT, AKT3","24788740","Ipatasertib"
"1925",1925,"GDC0810","GDC-0810, GDC 0810","Hormone-related","ESR1, ESR2","56941241","GDC0810"
"1926",1926,"GNE-317","GNE317, GNE 317","PI3K/MTOR signaling","PI3Kalpha","70676303","GNE-317"
"1927",1927,"GSK2578215A","GSK 2578215A,  GSK-2578215A","Other, kinases","LRRK2","68107965","GSK2578215A"
"1928",1928,"I-BRD9","GSK602, GSK 602, GSK-602","Chromatin other","BRD9","91668541","I-BRD9"
"1930",1930,"Telomerase Inhibitor IX","MST-312, MST 312, MST312","Genome integrity","Telomerase","10385095","Telomerase Inhibitor IX"
"1931",1931,"MIRA-1","MIRA 1, MIRA1, NSC19630, NSC-19630, NSC 19630","p53 pathway","TP53","227681","MIRA-1"
"1932",1932,"NVP-ADW742","NVP ADW742, NVPADW742","IGF1R signaling","IGF1R","9825149","NVP-ADW742"
"1933",1933,"P22077","P 22077, P-22077","Protein stability and degradation","USP7, USP47","46931953","P22077"
"1936",1936,"Savolitinib","AZD6094, Volitinib, AZD-6094, AZD 6094","RTK signaling","MET","68289010","Savolitinib"
"1939",1939,"UMI-77","UMI 77, UMI-77","Apoptosis regulation","MCL1","992586","UMI-77"
"1940",1940,"WIKI4","WIKI-4, WIKI 4","WNT signaling","TNKS1, TNKS2","2984337","WIKI4"
"1941",1941,"Sepantronium bromide","YM155, YM-155, YM 155","Apoptosis regulation","BIRC5","11178236","Sepantronium bromide"
"1996",1996,"MIM1","MIM 1, MIM-1","Apoptosis regulation","MCL1","16241412","MIM1"
