Drug_Synonyms	NCI-60 private	CTRP_IDs	GDSC_IDs	CCLE_IDs	NCI/DTP SCLC_IDs	
468740-43-4;BMS 536924;BMS-536924;BMS536924;UNII-40E3AZG1MX	761760	NA	BMS-536924	NA	761760	
1146699-66-2;AVAGACESTAT;BMS 708163;BMS-708163;UNII-TQ44WWY45Q	761217	NA	BMS-708163_205;BMS-708163_1072	NA	761217	
1001350-96-4;BMS 754807;BMS-754807;BMS754807;UNII-W9E3353E8J	758243	NA	BMS-754807	NA	758243	
BRYOSTATIN 1	339555	NA	Bryostatin 1	NA	NA	
702674-56-4;BX 912;BX-912;BX912	758485	NA	BX-912	NA	758485	
111358-88-4;CEP 701;CEP-701;KT-5555;LESTAURTINIB	772196	NA	CEP-701	NA	772196	
1256580-46-7;ALECENSA;ALECTINIB;CH 5424802;CH-5424802;CH5424802	764040;764091;764821	NA	CH5424802	NA	764040	
405169-16-6;CHIR 258;CHIR-258;DOVITINIB;TKI258;UNII-I35H55G906	759661	NA	NA	TKI258	759661	
212631-79-3;CI-1040;PD 184352;PD-184352;PD184352	765695	NA	CI-1040	NA	765695	
11-DEOXOJERVINE;4449-51-8;CHEBI:4021;CHEMBL254129;CYCLOPAMINE	734950	NA	Cyclopamine	NA	NA	
EXEL-2880;FORETINIB;GSK1363089;XL-880;XL880	755775	foretinib	XL-880	NA	755775	
1089283-49-7;CHEMBL466397;GSK 1904529A;GSK-1904529A;GSK1904529A	767951	NA	GSK-1904529A	NA	767951	
1086062-66-9;GSK 2126458;GSK-2126458;GSK2126458;OMIPALISIB	764092	NA	GSK2126458	NA	764092	
937174-76-0;GSK 690693;GSK-690693;GSK690693;UNII-GWH480321B	766991	NA	GSK690693	NA	766991	
942918-07-2;GSK 1070916;GSK-1070916;GSK1070916;UNII-8VLB51V7HO	777445	NA	GSK1070916	NA	NA	
660868-91-7;GW 843682X;GW-843682X;GW843682;GW843682X	756404	NA	GW843682X	NA	NA	
1260907-17-2;GSK 525762A;I-BET-762;I-BET762;UNII-5QIO6SRZ2R	774829	NA	I-BET-762	NA	NA	
ISPINESIB MESYLATE	755386	NA	Ispinesib Mesylate	NA	NA	
170364-57-5;ENZASTAURIN;LY-317615;LY317615;UNII-UC96G28EQF	767124	NA	LY317615	NA	767124	
1032349-93-1;MK-2206;MK-2206 DIHYDROCHLORIDE;MK2206;UNII-51HZG6MP1K	756656	MK-2206	MK-2206	NA	756656	
905579-51-3;MLN 4924;MLN-4924;MLN4924;PEVONEDISTAT;UNII-S3AZD8D215	761192	pevonedistat	MLN4924	NA	761192	
850879-09-3;AMUVATINIB;MP 470;MP-470;MP470	754349	NA	MP470	NA	754349	
761439-42-3;NVP-TAE 684;NVP-TAE684;TAE-684;TAE684	764041	NA	NVP-TAE684	TAE684	764041	
936890-98-1;OSI 027;OSI-027;OSI027;UNII-25MKH1SZ0M	759660	OSI-027	OSI-027	NA	759660	
742112-33-0;AR-12;OSU 03012;OSU-03012;OSU03012	756657	NA	OSU-03012	NA	756657	
571190-30-2;IBRANCE;PALBOCICLIB;PD-0332991;PD0332991	758247	NA	PD-0332991	PD-0332991	758247	
404950-80-7;FARIDAK;LBH-589;LBH589;PANOBINOSTAT	761190	panobinostat	NA	Panobinostat	761190	
391210-10-9;PD 0325901;PD-0325901;PD0325901	755770	NA	PD-0325901	PD-0325901	755770	
219580-11-7;PD 173074;PD-173074;PD173074	766908	NA	PD-173074	NA	766908	
717907-75-0;CHEMBL1084546;PF 562271;PF-00562271;PF-562271	754356	NA	PF-562271	NA	754356	
1403764-72-6;CHEMBL2179387;PFI-1;QCR-192	777448	NA	PFI-1	NA	NA	
477575-56-7;PHA 665752;PHA-665752;PHA665752;TCMDC-125885	766271	NA	PHA-665752	PHA-665752	766271	
371935-74-9;PI-103;PI103;UNII-YQX02F616F	759676;776996	NA	PI-103	NA	759676	
918505-84-7;PLX 4720;PLX-4720;PLX4720	757438	NA	PLX4720_1371;PLX4720_1036	PLX4720	757438	
192185-72-1;R-115777;R115777;TIPIFARNIB;TIPIFARNIB [USAN];ZARNESTRA	760444	NA	Tipifarnib	NA	760444	
927880-90-8;CHIR-265;RAF 265;RAF-265;RAF265	754357	RAF265	NA	RAF265	754357	
923032-37-5;BAY 869766;RDEA 119;RDEA119;REFAMETINIB	765866	NA	RDEA119_1526;RDEA119_1014	NA	NA	
936091-26-8;FEDRATINIB;SAR-302503;SAR302503;TG-101348;TG101348	767600	TG-101348	TG101348	NA	767600	
405554-55-4;C27H27N5O2;J-501805;SB-590885;SB590885	754362	NA	SB590885	NA	754362	
(-)-SHIKONIN;(+)-SHIKONIN;517-89-5;SHIKONIN	252844	NA	Shikonin	NA	NA	
67526-95-8;CHEMBL96926;THAPSIGARGIN;UNII-Z96BQ26RZD;Z96BQ26RZD	299933	NA	Thapsigargin	NA	NA	
1255580-76-7;UNC 0638;UNC-0638;UNC0638;UNII-26A103L2FO	764517	NA	UNC0638_245;UNC0638_1236	NA	764517	
284028-89-3;XAV 939;XAV-939;XAV939	755761	NA	XAV 939	NA	755761	
781661-94-7;SEPANTRONIUM BROMIDE;YM 155;YM-155;YM155	755387	YM-155	YM155	NA	755387	
475110-96-4;ZSTK 474;ZSTK-474;ZSTK474	764516	ZSTK474	ZSTK474	NA	764516	
"PXD101, BELINOSTAT"		NA	"PXD101, Belinostat"	NA	NA	123 update and  575 to remove
414864-00-9;BELINOSTAT;BELINOSTAT (PXD101);PXD-101;PXD101	726630;758774	belinostat	"PXD101, Belinostat"	NA	758774	
