"nsc","name","pubchem_cid","pubchem_sid","cas"
1507,"2-Chloro-3-phenoxy-1,4-naphthoquinone","219799","219799","71369170"
1760,"3-Phenanthrenepropionic acid, hydrazide","219939","219939","5345879"
1771,"Thiram","5455","68535","137268"
1797,"o-Aminoazotoluene","7340","68559","97563"
1895,"Guanazole","15078","15078","1455772"
1906,"pmp (van)","72508","68634","98771"
1910,"alkarsodyl","23615615","538399","124652"
1945,"Gluconic acid, barium salt","5351603","5351603","5328416"
2012,"1-Dodecyl-4-nonylpyridinium chloride","24180869","24180869",NA
2013,"declid","5634","68715","112389"
2039,"oxin","1923","68737","148243"
2053,"tris(4-biphenylyl)methanol","219999","219999","5341140"
2061,"3-(2-furyl)acrolein","1549521","68755","623303"
2186,"thymophthalein","31316","31316","125202"
2384,"2,6-Dibenzylidenecyclohexanone","1550330","69055","897789"
2604,"d.b.t.c.","12688","12688","683181"
2626,"Propyl Gallate","4947","4947","121799"
2724,"phenyl p-tolyl sulfone","69497","69335","640573"
2755,"avlon","6842","538523","86408"
2785,"QAICTYKDANKDKI-UHFFFAOYSA-N","135399288","135399288","5323580"
2805,"2,2',5,5'-tetrahydroxy-4,4'-dimethylbiphenyl","220284","220284","4371340"
2829,"vetol","8369","69424","118718"
3039,"sodium phenylacetate","24180949","538568","114705"
3051,"methylformamide","31254","31254","123397"
3053,"Actinomycin D","44415057","-1","50760"
3055,"puromycin","5351454","538572","58582"
3060,"potassium arsenite","54611691","538575","10124502"
3061,"malacid","4993","-1","58140"
3062,"Etoprine","29142","29142","18588573"
3073,"facid","135444779","69619","59303"
3074,"chlorazin","9048","538580","152534"
3077,"d 54","16207143","538582","17711818"
3080,"d 69","16236702","538585","1931197"
3081,"","24180954","538586",NA
3082,"x 49","24180955","538587","4514527"
3083,"1-(3-chlorophenyl)-2-hexyl-2H-1,3,5-triazine-4,6-diamine;hydrochloride","24180956","24180956","5337962"
3088,"Chlorambucil","2708","-1","305033"
3090,"badil","11057","-1","548629"
3091,"methyl green","84671","538592","14855766"
3093,"crude pyronine b",NA,"538594",NA
3094,"pdmt","23654","23654","7227910"
3262,"2,5-bis(ethylamino)hydroquinone","94797","94797","2588343"
3265,"","5377682","69781","5392198"
3284,"wln: t6nj c- bt5ktj a1 a2- at5ktj a1 b- ct6nj &q 2 &i 2","110653","538616","5392303"
3298,"phenol, 2-methoxy-4-(2-nitropropenyl)-","5354204","69805","5395471"
3424,"quinacrine mustard","24180972","538639","4213450"
3531,"Clioquinol","2788","70003","130267"
3618,"4-N-(7-chloroquinolin-4-yl)-1-N-cyclohexylcyclohexane-1,4-diamine","220625","220625",NA
3628,"","24185366","538681","5342632"
3799,"AI3-08904","6436750","6436750","621216"
3808,"2,4-dinitrobromobenzene","11441","11441","584485"
3840,"Chloro-(5-chlorothiophen-2-yl)mercury","407288","407288",NA
3847,"1-(5-Bromo-4-nitrothiophen-2-yl)propan-1-one","220712","220712",NA
3852,"Hydron III","19103","19103","3565262"
3877,"","24181001","538703","69282162"
3905,"tripyridyl","70848","70320","1148794"
3907,"benzoic acid, 2-hydroxy-, compd. with 8-quinolinol (1:1)...","142766","142766","2439078"
3927,"Thiolutin","6870","6870","87116"
3941,"","5354235","70345","6974465"
3970,"pyrod","1174","70371","66228"
4045,"auramin","17170","538729","2465272"
4060,"urson","220774","64945","77521"
4112,"Fenticlor","7329","70504","97245"
4114,"Morpholine-N-dithiocarbamate","72675","72675","5327106"
4170,"kipca","4055","70547","58275"
4184,"p,p'-dihydroxystilbene","5282363","5282363","659223"
4232,"3-[(2-Oxo-1,2-diphenylethyl)amino]benzoic acid","220828","220828","5397568"
4236,"4m2o","668053","668053","897552"
4238,"2m2m","5713121","538770","3915615"
4239,"4m2m","12605846","538771","20327086"
4265,"phenanthroline hydrochloride","73350","538778","3829865"
4272,"5-methylphenanthroline","72791","72791","3002786"
4280,"neocuproin","65237","65237","484117"
4281,"4,7-dimethyl-o-phenanthroline","72792","72792","3248053"
4285,"STK862428","14161","14161","1090160"
4290,"1-[2-(4-Nitrophenyl)-2-oxoethyl]-4-pentylpyridin-1-ium bromide","24181037","24181037","5397955"
4291,"Masoprocol","4534","-1","500389"
4320,"Strophanthin","220861","70646","560532"
4375,"Hydroxychloroquine Sulfate","12947","-1","747364"
4378,"1-[7-Chloro-2-(4-chlorophenyl)quinolin-4-yl]-2-(diethylamino)ethanol;hydrochloride","24181064","24181064",NA
4432,"genacryl pink g","6433371","6433371","3648360"
4434,"nabor orange r","135436499","538841","4657005"
4483,"omadine sodium","23673459","538849","3811732"
4512,"2-Iodo-3-(phenylsulfonyl)propanenitrile","220946","220946",NA
4518,"Bis(4-amino-3-bromophenyl)methanone","220951","220951","5398618"
4582,"(1Z,4E)-1,5-bis(5-bromo-2-hydroxyphenyl)penta-1,4-dien-3-one","54603154","54603154","6291005"
4623,"1h-imidazole-4,5-dicarboxylic acid, 2-phenyl- (9ci)","221007","221007","888608"
4644,"betulin","221023","70904","473983"
4681,"2-[4-(Carboxymethoxy)phenoxy]acetic acid","24181093","24181093","5393293"
4698,"","94837","70941","6074313"
4728,"Aminothiadiazole","19909","19909","4005510"
4810,"","3802861","71037","2058711"
4844,"N-Benzyl-N,N-dimethylhexadecan-1-aminium hexafluorophosphate","24181101","24181101","2932516"
4857,"dedc","21192315","538917","148185"
4896,"Quinalizarin","5004","538929","81618"
4911,"Thioinosine","2861016","71103","574254"
4962,"2-Methyl-1,4-hydroquinone","7253","71154","95716"
4972,"tbhq","16043","16043","1948330"
5006,"c.i. 42510 acetate","221117","71191","6035956"
5011,"Brilliant Green","12449","538943","633034"
5019,"violet bnp","92206","538951","4129844"
5031,"d-glucopyranose, pentakis[3,4-dihydroxy-5-[(3,4,5-trihyd...","16129878","16129878","72401537"
5048,"magneson ii","79174","79174","5290620"
5053,"tptz","9283","9283","298964"
5062,"allyliodourotropine","2827274","538960","36895622"
5066,"2,4-dihydroxy-6-methyl-4'-nitroazobenzene","69095","69095","607965"
5113,"Pomiferin","4871","4871","572032"
5159,"chartreusin","5351130","538981","6377180"
5192,"5,6-Chrysenedione","16317","16317","2051107"
5200,"py 40","135403411","135403411","3054704"
5206,"1-(3-Bromophenyl)-2-undecyl-2H-1,3,5-triazine-4,6-diamine hydrochloride","24181145","24181145","6333477"
5278,"olpizan","17584","17584","2678219"
5283,"chlorotriethyltin","13820","13820","994310"
5332,"pan (van)","6825","6825","85858"
5337,"vancide 26","79411","79411","5406973"
5347,"(o-Carboxyphenylthio)acetic acid","8660","71476","135137"
5355,"berberal","5351462","538997","316416"
5364,"cinchonidine","2757","-1","485712"
5366,"Noscapine","275196","-1","128621"
5417,"1-naphthalenol, 4-nitroso- (9ci)","69064","71540","605607"
5418,"p-nitroso-n,n-diethylaniline","67115","67115","120229"
5425,"9,10-phenanthrenedione, 2-nitro- (9ci)","94860","71548","604955"
5485,"1,3-bis(7-chloroquinolin-4-ylamino)propan-2-ol","221231","221231","6285241"
5491,"ethyl red","25113351","539019","634219"
5550,"malachite green oxalate",NA,"407450","4366318"
5551,"wln: t b566 ck esj c1 d1u1r dn1&1 &i","6433478","6433478","6285354"
5620,"2,2'-(2-Oxo-3,4-dihydro-2h-1,4-benzothiazine-3,3-diyl)diacetic acid","221258","221258","6289185"
5639,"phenylbenzophenone","407452","407452","1985326"
5648,"thonzide","11102","539037","553082"
5703,"5-(3,4,5-Trimethoxyphenyl)[1,3]dioxolo[4,5-g]isoquinoline","221307","221307","6289710"
5705,"Methyl 8-hydroxy-5-(3,4,5-trimethoxyphenyl)benzo[f][1,3]benzodioxole-6-carboxylate","221309","221309","6289721"
5816,"wln: gr dmyus&mvr","701011","701011","4921839"
5889,"l-usnic acid","5646","71909",NA
5890,"d-usnic acid","5646","71910",NA
5896,"Sodium;5-[(6-methoxyquinolin-8-yl)diazenyl]quinolin-8-ol","135436503","135436503",NA
5907,"Acetic acid;6-methoxy-4-[(E)-2-(6-methoxyquinolin-4-yl)ethenyl]quinoline","16682406","16682406","6281852"
5908,"9-(6-Methoxy-3,4-dihydro-2H-quinolin-1-yl)acridine","221375","221375","5461472"
5920,"4-[[4-(dimethylamino)phenyl]methyl]-6-[(6-methoxyquinolin-8-yl)diazenyl]-1-N,1-N-dimethylbenzene-1,3-diamine","407487","407487",NA
6145,"1,2-Dibenzoylbenzene","70875","70875","1159860"
6152,"chrysarobin","221502","72146",NA
6171,"cineol","2758","72164","470826"
6176,"Cinchonine","90454","72169","118105"
6266,"Dibenzoylmethane","8433","8433","120467"
6278,"2-Aminonaphthiazole","94880","94880","40172654"
6386,"bialamicol","23616896","539146","3624962"
6396,"Thiotepa","5453","-1","52244"
6477,"nf 23","899314","899314","1874120"
6777,"ALBB-024793","221765","221765","5416228"
6814,"Erucic Acid","5281116","72770","112867"
6883,"72I9A2I712","221812","221812","2548972"
6891,"N-(4-bromophenyl)-3,4-dichlorobenzamide","221819","221819",NA
6926,"","221850","72881","3030759"
7215,"tetraaminoditolylmethane","66799","73154","97223"
7223,"chrome black t","135422055","539189","1787617"
7233,"9,24-Dibromononacyclo[18.10.2.22,5.03,16.04,13.06,11.017,31.022,27.028,32]tetratriaconta-1(31),2,4,6(11),7,9,13,15,17,19,22(27),23,25,28(32),29,33-hexadecaene-12,21-dione","222032","222032","76415413"
7354,"6-hydrazinopurine","94902","94902","5404864"
7359,"xylosyl a","191","73250","524696"
7364,"ddmp","24466","73253","7761457"
7365,"Diazooxonorleucine","164","539237","157039"
7376,"","1550966","73263","6178423"
7389,"phenanthraquinone","6763","73276","84117"
7390,"","1550967","73277","4230937"
7420,"5-Bromo-3-cyclohexyl-2-hydroxybenzamide","222105","222105","6284500"
7436,"sulfanilanilide, 4'-tert-butyl-","222114","222114",NA
7519,"buphanidrine, perchlorate","457798","457798",NA
7521,"simeon","222154","73367","466068"
7525,"transvaalin","222156","222156","124992"
7529,"Digimed","3061","73375","71636"
7530,"Strophanthoside-K","44891382","73376","33279571"
7532,"adigal","407582","539280","17575201"
7533,"allocor","3879","73378","17575223"
7534,"Scillirosidin, glycoside","222160","222160","507595"
7535,"lanatoside b","407583","539281","17575212"
7606,"alantan","204","73440","97596"
7757,"bornyl cinnamate","5354364","73553","6330672"
7801,"Mauve","407617","407617","6373224"
7811,"Bindschedler's green","73516","73516","4486059"
7813,"brilliant cresyl blue","24181324","24181324",NA
7821,"Capri Blue","102162","102162","1787571"
7833,"krisolamine","31420","539357","128950"
7853,"2,6-dichloro-7-methylpurine","75281","75281","2273930"
8101,"inosite","892","73813","6917357"
8117,"erycorbin","54676860","73828","89656"
8120,"mycoin","4696","73831","149291"
8174,"phenylbiguanide mbt-salt","3034162","3034162","5437116"
8179,"","222304","73878","6642326"
8360,"N-(6-chloro-2-methoxyacridin-9-yl)-N',N'-diethyl-1-(4-fluorophenyl)butane-1,4-diamine","222439","222439","3870437"
8552,"9-Chlorophenanthrene","13694","13694","947728"
8643,"Gallamine Blue","135436514","135436514","1563026"
8672,"Hofmann's Violet","24181402","24181402",NA
8673,"iodine green","54605107","54605107","33231004"
8675,"Ethyl violet","16955","16955","2390592"
8704,"dyodin","3728","74322","83738"
8786,"diacetoxybutyltin","16682740","16682740","1067330"
8806,"Melphalan","9927978","-1","3223072"
8974,"Bis(4-bromophenyl)iodanium;hydroiodide","54609012","54609012",NA
8982,"Diphenyliodanium;2,4,6-trinitrophenol","24181416","24181416","6293658"
8985,"Di-p-tolyliodinium bromide","54601177","539516","6293681"
8994,"Bis(4-tert-butylphenyl)iodanium;hydrochloride","54602012","54602012","5421534"
8995,"rot c","62331","539521","85869"
9037,"3h-xanthen-3-one, 2,6,7-trihydroxy-9-(o-hydroxy-phenyl)-","72722","72722","3569822"
9168,"fumidil","5351474","74694","23110158"
9170,"thiocolciran","17649","17649","2731160"
9291,"naphthol blue (van)","101929","101929","966621"
9358,"pada","81528","81528","13103758"
9403,"methylene green (van)","75889","539618","2679018"
9404,"safranin bluish","75442","539619","2390569"
9594,"safranin bluish","75442","539646","2390569"
9598,"azur i","68275","68275","531555"
9605,"methylene blue nn","73518","539650","1934163"
9608,"1-(naphthalen-2-yl)-9,10-dioxo-9,10-dihydroanthracene-2-...","222760","222760",NA
9609,"janus red","407803","539653","2636319"
9610,"janus black","135436529","135436529","4443996"
9612,"nile blue bb","20520","20520","4451881"
9665,"gelcohol","222778","222778","108102518"
9667,"N-Ethyl-N,N-dimethyl-2-[2-(4-octylphenoxy)ethoxy]ethan-1-aminium dodecane-1-sulfonate","24181516","24181516","6292315"
9704,"lutex","5994","75083","57830"
9706,"Triethylenemelamine","5799","5799","51183"
9768,"2,4-Dichloro-6-[(5-chloro-2-hydroxyphenyl)methyl]phenol","222840","222840","5419534"
9771,"2,6-Bis[(3,5-dichloro-2-hydroxyphenyl)methyl]-4-pentan-2-ylphenol","222841","222841",NA
9853,"orange y","135436533","539726","633965"
9855,"phenosafranin","65732","539727","81936"
9856,"red oil","445639","445639","112801"
9858,"new fuchsin","14454445","539728","3248917"
9921,"pentamide","4735","4735","100334"
9936,"kutizon","6474556","75287","3811209"
9951,"Decyltrimethylammonium bromide","16388","16388","2082840"
10010,"n,n-bis(2-methyl-6-methoxy-4-quinaldyl)-1,9-diamino- non...","5351138","539757","6286095"
10018,"benzimidazole, 1-dodecyl-2-methyl-, hydrobromide","3027338","539760",NA
10036,"2-(4-chlorophenyl)-N-(7-chloroquinolin-4-yl)-N',N'-diethylbutane-1,4-diamine","222938","222938",NA
10037,"N-(7-chloroquinolin-4-yl)-N',N'-diethyl-2-phenylbutane-1,4-diamine","222939","222939","6286255"
10438,"resazoin","11077","75737","550823"
10460,"p-fuchsin","11292","539808","569619"
10466,"Basic Fuchsin","12447","539813","632995"
10483,"Desoximetasone","5754","5754","50237"
10492,"2-(4-chlorophenyl)-n-(7-chloroquinolin-4-yl)-n',n'-dieth...","223170","75756","5418597"
10517,"2m2pm","54601194","539849","2156298"
10520,"2-[(Z)-2-(4-Chlorophenyl)ethenyl]-1-methylquinolin-1-ium iodide","54598850","54598850","5418779"
10526,"","6474466","539858","20064839"
10534,"1,3,3-trimethyl-2-[(1Z,3E)-4-phenylbuta-1,3-dienyl]indol-1-ium;iodide","54609031","54609031","5418859"
10535,"","10159899","539867","6307035"
10587,"1-naphthalenemethanol, .alpha.-[2-(dibutylamino)-1,1-dim...","24181636","24181636","5414584"
10594,"N-(2,3-dimethoxy-6-nitroacridin-9-yl)-N',N'-diethyl-2-phenylbutane-1,4-diamine;hydrochloride","24181641","24181641","5414631"
10641,"1-(5-Chloro-2-methoxyphenyl)-2-(dipentylamino)ethanol;hydrochloride","24181655","24181655",NA
10660,"1-(4-Chloronaphthalen-1-yl)-2-(dipentylamino)ethanol;hydrochloride","24181664","24181664",NA
10667,"phenothiazin-5-ium (9ci), 7-(dibutylamino)-3-(diethylami...","24181669","24181669","6285832"
10721,"cortef fluid","223253","223253","508996"
10848,"ALBB-015765","223320","223320","5408468"
11051,"","22210396","76102",NA
11216,"indophenol, 2,6-dibromo-, monosodium salt","21276631","540032","5415236"
11225,"klot","7083","540036","92319"
11232,"sudan r","14678","76266","1229556"
11235,"thioflavine","16953","16953","2390547"
11240,"Basic Blue K","16599","16599","2185866"
11241,"sudan red","11980862","11980862",NA
11420,"3-(Dipentylamino)-1-(4-methoxynaphthalen-1-yl)-2,2-dimethylpropan-1-ol","223647","223647","6288466"
11452,"Antineoplastic-11452","223660","223660",NA
11461,"usaf sn-31","6967","6967","89372"
11511,"NIOSH/GY7277500","223673","223673","5423063"
11590,"9AD2B660I3","20684","20684","4551955"
11624,"Maybridge3_001738","223719","223719",NA
11663,"1-Phenyl-4-propoxy-6-(propylsulfanyl)-1h-pyrazolo[3,4-d]pyrimidine","223750","223750",NA
11667,"1h-pyrazolo[3,4-d]pyrimidine, 4,6-bis(p-bromoanilino)-1-...","223752","223752",NA
11668,"n4,n6-bis(3-chlorophenyl)-1-methyl-1h-pyrazolo[3,4-d]pyr...","223753","223753",NA
11713,"c.i. pigment red 64 (8ci)","80753","80753","27757795"
11773,"mida","20441","20441","4408644"
11841,"TimTec1_005460","223821","223821","6295358"
11881,"benzoylleukomethylene blue","94975","94975","1249974"
11897,"Phthiocol","10221","10221","483556"
11905,"lapachol","3884","76734","84797"
11926,"tardolyt","2236","76752","313677"
11963,"2-Benzyl-6-[[2-[(3-benzyl-5-chloro-2-hydroxyphenyl)methylamino]ethylamino]methyl]-4-chlorophenol;hydrochloride","24181851","24181851",NA
11969,"3,4,6-Trichloro-2-[[2-[(2,3,5-trichloro-6-hydroxyphenyl)methylamino]ethylamino]methyl]phenol","223883","223883",NA
11981,"3-Methyl-8-(pentyliminomethyl)-5-propan-2-yl-2-[1,6,7-trihydroxy-3-methyl-8-(pentyliminomethyl)-5-propan-2-ylnaphthalen-2-yl]naphthalene-1,6,7-triol","223889","223889","5422606"
11991,"REGID_for_CID_223899","223899","223899","6287805"
12097,"Resorufin","69462","69462","635789"
12113,"1,2-Dimethoxy-4-(2-nitropropenyl)benzene","737187","76892","122474"
12129,"7-Hydroxy-8-[[4-[4-[(2-hydroxy-8-sulfonaphthalen-1-yl)diazenyl]phenyl]sulfonylphenyl]diazenyl]naphthalene-1-sulfonic acid","223984","223984","7251992"
12150,"decanediamide, n,n'-bis(4-amino-2-methyl-6-quinolyl)-, d...","24181871","540255",NA
12161,"Crotonosid","223996","76920","1818719"
12174,"isoflupredone","224001","76932","338954"
12181,"3-(6-hydroxy-3-oxo-3H-xanthen-9-yl)-1-phenyl-2-naphthoic acid","408250","408250","6640024"
12198,"Dromostanolone Propionate","224004","224004","521120"
12455,"beacon red","135421797","540311","1836222"
12516,"4-(6-chloro-2-methoxyacridin-9-ylamino)-2-(pyrrolidin-1-...","24181914","24181914",NA
12517,"N-benzyl-1-methyl-7-propan-2-yl-3,4,4a,9,10,10a-hexahydro-2H-phenanthren-1-amine;hydrochloride","24181915","24181915",NA
12650,"antineoplastic-12650","224279","224279","5425661"
12825,"NCIMech_000116","224423","224423","6639969"
12865,"quinine, hydrobromide, hydrate","11068","11068",NA
12969,"c.i. 37511","79513","77552","5442400"
13002,"win 1701","25926","25926","13365383"
13003,"wln: t c666 bnj eo1 fo1 im1yq1n2&2 mnw &gh 2","3020289","540400","73972506"
13006,"ethanol, 2-[(2-[(2-methoxy-9-acridinyl)amino]ethyl)amino...","24181963","24181963","38915785"
13051,"4-[(6-Chloro-2-methoxyacridin-9-yl)amino]-5-methyl-2-propan-2-ylphenol","224524","224524","5427554"
13052,"","223170","77607","5418597"
13055,"TCMDC-142279","459702","459702","5427587"
13119,"l-trp","1148","77648","73223"
13128,"nicota","936","77656","98920"
13151,"J-501875","5354553","5354553","5424022"
13162,"Cadmium;4-chlorobenzenesulfonic acid","54603804","54603804","5424975"
13204,"AK-38589","95001","95001","5423530"
13239,"NCI-13239","224604","224604","5423723"
13248,"","224612","77746","5423767"
13275,"5,6-dimethoxy-N-(2-piperidin-2-ylethyl)quinolin-8-amine;hydroiodide","24182013","24182013","5428604"
13300,"","223171","77783","5418600"
13307,"9-phenanthrenemethanol, 6-bromo-.alpha.-[(diheptylamino)...","45049470","45049470","23257536"
13314,"","224641","77787","5428795"
13316,"(2-(4-chlorophenyl)quinolin-4-yl)(piperidin-2-yl)methanol","224644","224644","5428808"
13317,"N-[(7-Chloro-2-phenylquinolin-4-yl)methyl]-N',N'-diethylpropane-1,3-diamine;sulfuric acid","54609285","54609285","5428819"
13318,"N',N'-Diethyl-N-[(2-phenylquinolin-4-yl)methyl]propane-1,3-diamine;sulfuric acid","54602013","54602013","5428820"
13378,"","54611715","540517","5429254"
13380,"2-(6-methoxy-2-methylquinolin-4-ylthio)benzo[d]thiazole","224687","224687","5429265"
13397,"Triamcinolone","31307","31307","124947"
13477,"4-N-(7-chloro-3-phenylquinolin-4-yl)-1-N,1-N-diethylpentane-1,4-diamine;hydroiodide","24182056","24182056","5431038"
13479,"1-N,1-N-diethyl-4-N-(7-phenoxyquinolin-4-yl)pentane-1,4-diamine;2-hydroxypropane-1,2,3-tricarboxylic acid","224741","224741","5431050"
13480,"","54598468","540538",NA
13483,"A821143","224743","224743","5431083"
13484,"1-N,1-N-Diethyl-4-N-(7-methoxy-2-phenylquinolin-4-yl)pentane-1,4-diamine","22210399","498042","5431094"
13502,"echinomycin","3197","3197",NA
13597,"","53423158","540565","5443038"
13598,"7-Chloro-N-[2-[2-(diethylamino)ethylsulfonyl]ethyl]quinolin-4-amine;phosphoric acid","54603830","54603830","5433261"
13616,"2-n-cyclohexyl-1-n-(6-methoxyquinolin-8-yl)butane-1,2-di...","224810","224810","5431629"
13625,"4-[(Z)-2-(4,6-dimethylquinolin-2-yl)ethenyl]-N,N-diethylaniline","54605076","54605076","5431696"
13628,"N-(4-benzylsulfanylquinolin-8-yl)-N',N'-diethylpropane-1,3-diamine","224815","224815","5431710"
13699,"Petcm","224859","224859","10129563"
13713,"","24182106","540594",NA
13724,"N-(7-chloro-3-methylquinolin-4-yl)-2-(4-chlorophenyl)-N',N'-diethylbutane-1,4-diamine","224873","224873","5442706"
13801,"2-mercapto-o-acetanisidide, carbamate","224935","224935","7451607"
13831,"Probes1_000354","224958","224958",NA
13835,"1-Tetradecylpyridin-1-ium-3-carboxamide;bromide","24182122","24182122","5442842"
13973,"basic yellow k","8672","540666","135499"
13977,"alizarin blue s","24181285","540667",NA
13981,"5-benzamido-1-aminoanthraquinone","67011","67011","117066"
13984,"SC-33007","224978","224978",NA
13986,"janus green v","76123","76123","2869832"
14006,"","5371805","78263","6306349"
14009,"2,4-dimethoxy-1-[(Z)-2-nitrobut-1-enyl]benzene","49791635","49791635","15804838"
14022,"Bis(methylthio)maleonitrile","5929688","5929688","7373026"
14034,"IMKHPTXYFMGMDE-UHFFFAOYSA-N","225001","225001","63161035"
14040,"[5-(4-Methoxybenzoyl)-2,6-dioxa-1,3-diazabicyclo[3.1.0]hex-3-en-4-yl]-(4-methoxyphenyl)methanone","225006","225006",NA
14050,"arolen","83818","78301","50635"
14071,"ethanol, 2-[[3-[(6-chloro-2-methoxy-9-acridinyl)amino]pr...","24182153","540688","38915183"
14073,"1-[2-[(2-Methoxyacridin-9-yl)amino]ethylamino]propan-2-ol;hydrochloride","54609322","54609322",NA
14079,"acridine, 9-[(4-diethylamino-1-methylbutyl)amino]-2-meth...","54602016","54602016",NA
14186,"Maybridge1_003613","137805","137805","3042000"
14229,"Acrichine","5351141","-1","69056"
14380,"1,3,7-Trimethyl-8-(2-methylpropoxy)purine-2,6-dione","225223","225223","5438766"
14548,"Benzylidenanthron","225328","225328","14343921"
14657,"1-[3-[(2,3-Dimethoxy-6-nitroacridin-9-yl)amino]propylamino]-2-methylpropan-2-ol;chloride","24182209","24182209",NA
14659,"3-[2-[(6-Chloro-2-methoxyacridin-9-yl)amino]ethylamino]propane-1,2-diol;hydrochloride","24182211","24182211",NA
14666,"adenin","190","540768","73245"
14711,"","54605111","540771",NA
14741,"8-[5-(Propan-2-ylamino)pentylamino]quinolin-6-ol;hydrochloride","54605112","54605112",NA
14864,"ceprim","31239","540790","123035"
14973,"n-(p-carboxyphenyl)glycine","225483","225483","5698544"
14974,"Glaucarubol","225484","225484","1448222"
14975,"glarubin","441794","78962","1448233"
14977,"9-Hydrazinoacridinhydrochlorid","54609366","54609366",NA
15013,"anqi","458959","540851","5438857"
15078,"malononitrile, (.beta.-pentylcinnamylidene)-","6271803","6271803",NA
15193,"ba 2758","225612","79125","154176"
15200,"gallium nitrate","6711183","540896","13494901"
15309,"phlorone","8718","79218","137188"
15372,"p-oxinozon","7141","79275","93458"
15609,"gluconic acid, cyclic antimonate(iii), sodium salt","24182331","24182331",NA
15623,"","24182342","540991",NA
15628,"rozex","5280954","5280954","24815245"
15785,"","5377203","79574","1222613"
15791,"thioxanthen-9-one, 4-methyl-1-(2-piperidinoethylamino)-,...","21144135","21144135",NA
15795,"6-Chloro-1-[2-[ethyl-(2-hydroxy-2-methylpropyl)amino]ethylamino]-4-methylthioxanthen-9-one;hydrochloride","24182355","24182355",NA
15812,"N,N-dihexylquinoline-4-carboximidamide","408791","408791",NA
15813,"(Z)-5-[benzyl(methyl)amino]-2-(4-chlorophenyl)-1-phenylpent-1-en-3-one","5897951","5897951","5447563"
15830,"dcvc","5473611","541024","13419460"
15886,"Q2806562","225968","225968",NA
15975,"light orange r","18981","18981","3468631"
16034,"CBDivE_011978","226033","226033","4837325"
16116,"Trimethyl-[2-[pyridin-2-yl(thiophen-2-ylmethyl)amino]ethyl]azanium;iodide","5351669","5351669",NA
16165,"azure c (van)","135421845","135421845","531577"
16166,"azure b bromide","13797451","13797451","7508409"
16219,"OAM5T44TSB","226107","226107","82014220"
16222,"phenazinium (8ci), 3-(diethylamino)-7-[(2-hydroxy-1-naph...","135421850","135421850","4569840"
16239,"p-anisylchloromercury","408835","408835","3009798"
16258,"2-Nitro-1-phenylpropan-1-ol","226118","226118","6343573"
16520,"N,N-diethyl-4-[(E)-2-(4-methylquinolin-2-yl)ethenyl]aniline","5912102","5912102",NA
16685,"","5375839","80198","5438415"
16729,"(Z)-3-(3-methoxy-4-phenylmethoxyphenyl)prop-2-enoic acid","5354670","5354670","7152956"
16865,"","54604911","541179",NA
16876,"","54599171","80372","15054601"
