d.extname,id,d.name,d.synonyms,index.dtable,index.dtable.curated,merge
JNK-9L,157,JNK-9L,"KIN001-204, JNK inhibitor 9l",376,376,
PF-562271,158,PF-562271,PF-00562271,525,525,
HG6-64-1,159,HG6-64-1,KIN001-206,,333,
JQ1_163,163,JQ1,"JQ-1, (+)-JQ-1",2;377,2,
JQ12,164,JQ12,-,377,377,
DMOG,165,DMOG,Dimethyloxalylglcine,248,248,
FTI-277,166,FTI-277,-,297,297,
OSU-03012,167,OSU-03012,"AR-12, OSU 03012, OSU03012, PDK1 inhibitor AR-12",491,491,
Shikonin,170,Shikonin,Anchusin,599,599,
AKT inhibitor VIII_171,171,AKT inhibitor VIII,"Akti-1/2, KIN001-102",43,43,
Embelin,172,Embelin,"Emberine, Embelic acid",261,261,
FH535,173,FH535,-,285,285,
PAC-1,175,PAC-1,GTPL5238,497,497,
IPA-3,176,IPA-3,IPA 3,355,355,
GSK650394,177,GSK650394,"GSK-650394, GSK 650394",319,319,
BAY-61-3606,178,BAY-61-3606,"Syk Inhibitor, BAY-613606",,115,
5-Fluorouracil,179,5-Fluorouracil,5-FU,10,10,
Thapsigargin,180,Thapsigargin,Octanoic acid,639,639,
Obatoclax Mesylate,182,Obatoclax Mesylate,"GX15-070MS, Obatoclax, GX15-070",329,329,
BMS-754807,184,BMS-754807,"BMS754807, BMS 754807",149,149,
Linsitinib,185,Linsitinib,"OSI-906, ASP-7487",81,81,
Bexarotene,186,Bexarotene,"LG-100069, Targretin, Targret, Targrexin, Targretyn, Bexarotenum",122,122,
Bleomycin,190,Bleomycin,-,136,136,
LFM-A13,192,LFM-A13,DDE-28,410,410,
GW-2580,193,GW-2580,"GX2580, CFMS receptor tyrosine kinase inhibitor",326,326,
Luminespib,194,Luminespib,"AUY922, VER-52296,NVP-AUY922,  AUY",91,91,
Phenformin,196,Phenformin,DBI,529;1492,529,
Bryostatin 1,197,Bryostatin 1,Bryostatin,157,157,
Pazopanib,199,Pazopanib,Votrient,503,503,
Dacinostat,200,Dacinostat,"NVP-LAQ824, LAQ824",402,402,
Epothilone B,201,Epothilone B,"Patupilone, EpoB, EPO906, GNF-PF-193",272;368;949,272,
GSK1904529A,202,GSK1904529A,"GSK-1904529A, GSK 1904529A",314,314,
BMS-345541,203,BMS-345541,"BMS345541, IKK Inhibitor 3",142,142,
Tipifarnib,204,Tipifarnib,Zarnestra,553,553,
Avagacestat_205,205,Avagacestat,"BMS-708163, BMS 708163",148,148,
Ruxolitinib,206,Ruxolitinib,"INCB-18424, Ruxolitinib Phosphate, Jakafi",350,350,
AS601245,207,AS601245,-,76,76,
Ispinesib Mesylate,208,Ispinesib Mesylate,SB-715992,361,361,
TL-2-105,211,TL-2-105,-,644,644,
AT-7519,219,AT-7519,AT7519,88,88,
TAK-715,221,TAK-715,"KIN001-201, TAK 715",621,621,
BX-912,222,BX-912,-,162,162,
ZSTK474,223,ZSTK474,"KIN001-167, ZSTK-474, ZSTK 474",712,712,
AS605240,224,AS605240,"KIN001-173, AS-605240",77,77,
Genentech Cpd 10,225,Genentech Cpd 10,-,307,307,
GSK1070916,226,GSK1070916,GSK-1070916,322,322,
AKT inhibitor VIII_228,228,AKT inhibitor VIII,"Akti-1/2, KIN001-102",43,43,
Enzastaurin,229,Enzastaurin,LY317615,430,430,
GSK429286A,230,GSK429286A,-,324,324,
FMK,231,FMK,KIN001-242,293,293,
QL-XII-47_235,235,QL-XII-47,-,550,550,
IC-87114,236,IC-87114,-,1828,1828,
Idelalisib,238,Idelalisib,"CAL-101, Zydelig",168,168,
UNC0638_245,245,UNC0638,"UNC-0638, UNC 0683",658,658,
Cabozantinib,249,Cabozantinib,"BMS-907351, XL-184, Cometriq",167,167,
WZ3105,252,WZ3105,-,684,684,
XMD14-99,253,XMD14-99,-,694,694,
Quizartinib,254,Quizartinib,"AC220, AC 220, AC-220, Asp-2689",27,27,
CP724714,255,CP724714,CP-724714,213,213,
JW-7-24-1,256,JW-7-24-1,-,378,378,
NPK76-II-72-1,257,NPK76-II-72-1,-,474,474,
STF-62247,258,STF-62247,STF62247,612,612,
NG-25_260,260,NG-25,NG25,470,470,
TL-1-85,261,TL-1-85,-,643,643,
VX-11e,262,VX-11e,"VX11e, VX11e",675,675,
FR-180204,263,FR-180204,"FR 180204, FR180204, ERK Inhibitor II",296,296,
ACY-1215,264,ACY-1215,-,31,31,
Tubastatin A,265,Tubastatin A,-,655,655,
Zibotentan,266,Zibotentan,"ZD4054, ZD-4054",707;1575,707,1575
Sepantronium bromide,268,Sepantronium bromide,"YM155, YM-155, YM 155",703,703,
NSC-207895,269,NSC-207895,"XI-006, NSC207895",824,824,
VNLG/124,271,VNLG/124,HDAC inhibitor XV,671,671,
AR-42,272,AR-42,"HDAC-42, AR 42, AR42",63,63,
CUDC-101,273,CUDC-101,CUDC 101,219,219,
Belinostat,274,Belinostat,"PXD101, PXD-101",118,118,
I-BET-762,275,I-BET-762,GSK525762A,340,340,
CAY10603,276,CAY10603,-,176,176,
Linifanib,277,Linifanib,"ABT-869, ABT 869",25,25,
BIX02189,279,BIX02189,BIX 02189,134,134,
Alectinib,281,Alectinib,"CH5424802, CH 542802, Alecensa",2882,2882,
Pelitinib,282,Pelitinib,"EKB-569, EKB 569",257,257,
Omipalisib,283,Omipalisib,"GSK2126458, GSK-2126458, EX-8678, GSK458",315,315,
JNJ38877605,284,JNJ38877605,-,,374,
SU11274,285,SU11274,-,,1411,
KIN001-236,286,KIN001-236,-,389,389,
KIN001-244,287,KIN001-244,PDK1 inhibitor 7,390,390,
WHI-P97,288,WHI-P97,"AC1L1GQE, KIN001-055",1972,1972,
KIN001-042,289,KIN001-042,-,,new,
KIN001-260,290,KIN001-260,"Bayer IKKb inhibitor, ACHP",391,391,
KIN001-266,291,KIN001-266,-,392,392,
Masitinib,292,Masitinib,"AB1010, Masivet",19,19,
Amuvatinib,293,Amuvatinib,"MP470, MP 470, MP-470",463,463,
MPS-1-IN-1,294,MPS-1-IN-1,-,465,465,
NVP-BHG712,295,NVP-BHG712,BHG712,479,479,
OSI-930,298,OSI-930,OSI 930 OSI930,490,490,
OSI-027,299,OSI-027,A-1065-5,489,489,
CX-5461,300,CX-5461,"CX5461, CX 5461",223,223,
PHA-793887,301,PHA-793887,"PHA793887, PHA 793887",528,528,
PI-103,302,PI-103,"PI-103, PI103, PI 103",530,530,
PIK-93,303,PIK-93,"PIK 93, PIK93",531,531,
SB52334,304,SB52334,"SB-52334, SB 52334",590,590,
TPCA-1,305,TPCA-1,-,649,649,
Fedratinib,306,Fedratinib,"TG101348, TG-101348, SAR302503, SAR-302503",579,579,
Foretinib,308,Foretinib,"GSK1363089, XL-880, EXEL-2880, GSK089",294,294,
Y-39983,309,Y-39983,-,700,700,
YM201636,310,YM201636,"YM-201636, YM 201636",704,704,
Tivozanib,312,Tivozanib,"AV-951, AV 951, KRN-951, KIL8951, ASP-4130",80,80,
WYE-125132,317,WYE-125132,-,2158,2158,
GSK690693,326,GSK690693,"GSK 690693, GSK-690693",320,320,
SNX-2112,328,SNX-2112,SNX 2112,607,607,
QL-XI-92,329,QL-XI-92,-,,new,
XMD13-2,330,XMD13-2,-,,new,
QL-X-138,331,QL-X-138,-,,new,
XMD15-27,332,XMD15-27,-,,new,
T0901317,333,T0901317,"TO-901317, TO901317",616,616,
Selisistat,341,Selisistat,"EX-527, EX 527",280,280,
Tenovin-6,342,Tenovin-6,-,,new,
THZ-2-49,344,THZ-2-49,-,,new,
KIN001-270,345,KIN001-270,"CDK9 inhibitor, CDK9-IN-1",,new,
THZ-2-102-1,346,THZ-2-102-1,-,641,641,
AT7867,356,AT7867,-,2422,2422,
CI-1033,362,CI-1033,-,,new,
PF-00299804,363,PF-00299804,-,520,520,
TWS119,366,TWS119,-,,2179,
Torin 2,371,Torin 2,-,,1034,
Pilaralisib,372,Pilaralisib,XL-147,688,688,
GSK1059615,374,GSK1059615,-,,321,
Voxtalisib,375,Voxtalisib,"XL-765, SAR245409",970,970,
"Brivanib, BMS-540215",376,"Brivanib, BMS-540215",-,,744,
BIBF-1120,380,BIBF-1120,-,129,129,
AST-1306,381,AST-1306,-,1659,1659,
Apitolisib,382,Apitolisib,GDC0980,191,191,
LIMK1 inhibitor BMS4,406,LIMK1 inhibitor BMS4,-,,new,
kb NB 142-70,407,kb NB 142-70,-,,new,
Sphingosine Kinase 1 Inhibitor II,408,Sphingosine Kinase 1 Inhibitor II,PF-543,,1970,
"eEF2K Inhibitor, A-484954",409,"eEF2K Inhibitor, A-484954",-,,new,
"MetAP2 Inhibitor, A832234",410,"MetAP2 Inhibitor, A832234",-,,new,
Venotoclax,412,Venotoclax,"ABT-199, Veneclexta, GDC-0199",,21,
CPI-613,415,CPI-613,-,215,215,
CAY10566,416,CAY10566,-,,new,
Ara-G,427,Ara-G,9-??-D-Arabinofuranosyl guanine,,new,
Pemetrexed,428,Pemetrexed,-,511,511,
Alisertib,431,Alisertib,MLN8237,44,44,
Flavopiridol,432,Flavopiridol,-,47,47,
C-75,435,C-75,-,165;1641,165,
"CAP-232, TT-232, TLN-232",436,"CAP-232, TT-232, TLN-232",-,,1334,
Trichostatin A,437,Trichostatin A,-,2400,2400,
Panobinostat,438,Panobinostat,"Farydak, LBH589",500,500,
LCL161,439,LCL161,-,404,404,
IMD-0354,442,IMD-0354,-,2130,2130,
MIM1,446,MIM1,-,,new,
ETP-45835,447,ETP-45835,-,,new,
CD532,449,CD532,-,,new,
NSC319726,461,NSC319726,-,,838,
ARRY-520,474,ARRY-520,-,72,72,
SB505124_476,476,SB505124,"SB 505124, SB505124",586,586,
A-83-01,477,A-83-01,-,2830,2830,
LDN-193189,478,LDN-193189,-,1661,1661,
FTY-720,546,FTY-720,Fingolimod hydrochloride; Gilenya; TDI-132; Imusera; Gilenia,,287,
BAM7,552,BAM7,-,112,112,
AGI-6780,562,AGI-6780,-,2408,2408,
Kobe2602,563,Kobe2602,-,,new,
LGK974,573,LGK974,-,801,801,
Wnt-C59,574,Wnt-C59,-,2033,2033,
RU-SKI 43,576,RU-SKI 43,-,,new,
AICA Ribonucleotide,1001,AICA Ribonucleotide,"AICAR, N1-(b-D-Ribofuranosyl)-5-aminoimidazole-4-carboxamide",,new,
Vinblastine,1004,Vinblastine,Velban,668,668,
Cisplatin_1005,1005,Cisplatin,"cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP",202,202,
Cytarabine,1006,Cytarabine,"Ara-Cytidine, Arabinosyl Cytosine, U-19920",231;1573,231,
Docetaxel,1007,Docetaxel,"RP-56976, Taxotere",249,249,
Methotrexate,1008,Methotrexate,"Abitrexate, Amethopterin, Rheumatrex, Trexall, Folex",436,436,
Tretinoin,1009,Tretinoin,"ATRA, Vesanoid, Renova, Atralin, Tretin-X, Avita",90,90,
Gefitinib,1010,Gefitinib,"ZD-1839, Iressa",304,304,
Navitoclax,1011,Navitoclax,"ABT-263, ABT263, ABT 263",22,22,
Vorinostat,1012,Vorinostat,"Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683",673,673,
Nilotinib,1013,Nilotinib,"Tasigna, AMN 107",471,471,
Refametinib_1014,1014,Refametinib,"RDEA119, BAY-86-9766, BAY 869766",563,563,
CI-1040,1015,CI-1040,"CI 1040, PD-18435, PD-184352, 212631-79-3",197,197,
Temsirolimus,1016,Temsirolimus,"CCI-779, Torisel",631,631,
Olaparib_1017,1017,Olaparib,"AZD2281, KU0059436,  Lynparza",483,483,
Veliparib,1018,Veliparib,"ABT-888, ABT888, ABT 888",26,26,
Bosutinib,1019,Bosutinib,"SKI-606, Bosulif",154,154,
Lenalidomide,1020,Lenalidomide,"CDC-501, CC-5013, Revlimid",406,406,
Axitinib,1021,Axitinib,"AG-13736, Inlyta",93,93,
AZD7762_1022,1022,AZD7762,"AZD-7762, AZD 7762",105,105,
GW441756,1023,GW441756,GW 441756,325,325,
Lestaurtinib,1024,Lestaurtinib,"CEP-701, SP-924, SPM-924, A-154475, KT-555",183,183,
SB216763,1025,SB216763,"SB-216763, SB 216763",,580,
Tanespimycin,1026,Tanespimycin,"17-AAG, BMS-722782",5,5,
VX-702,1028,VX-702,"VX702, VX 702",677,677,
Motesanib,1029,Motesanib,"AMG-706, AMG 706, AMG706",52,52,
KU-55933,1030,KU-55933,KU55933,396,396,
Elesclomol,1031,Elesclomol,STA-4783,258,258,
Afatinib_1032,1032,Afatinib,"BIBW2992, Tovok, Gilotrif",37,37,
Vismodegib,1033,Vismodegib,"GDC0449, Erivedge",302,302,
PLX-4720_1036,1036,PLX-4720,"PLX4720, PLX 4720",538,538,
BX795,1037,BX795,BX-795,161,161,
NU7441,1038,NU7441,"KU-57788, NU-7432, NU-7741",477,477,
SL0101,1039,SL0101,"SL-0101, SL 0101-1",604,604,
Doramapimod,1042,Doramapimod,"BIRB-796, BIRB 796",132,132,
JNK Inhibitor VIII,1043,JNK Inhibitor VIII,-,375,375,
Wee1 Inhibitor,1046,Wee1 Inhibitor,"681640, Wee1 Inhibitor",,new,
Nutlin-3a (-),1047,Nutlin-3a (-),-,,478,
Mirin,1048,Mirin,-,,new,
PD173074,1049,PD173074,"PD-173074, PD 173074",507,507,
ZM447439,1050,ZM447439,"ZM-447439, ZM 447439",710,710,
RO-3306,1052,RO-3306,-,572,572,
MK-2206,1053,MK-2206,"MK 2206, MK2206",450,450,
Palbociclib,1054,Palbociclib,"PD0332991, PD-0332991, PF-00080665-73",499,499,
Dactolisib,1057,Dactolisib,"NVP-BEZ235, BEZ235",123,123,
Pictilisib_1058,1058,Pictilisib,"GDC-0941, GDC0941, RG-7621",303,303,
AZD8055,1059,AZD8055,AZD-8055,106,106,
PD0325901,1060,PD0325901,"PD-0325901, PD 0325901",506,506,
SB590885,1061,SB590885,SB-590885,587,587,
Selumetinib_1062,1062,Selumetinib,"AZD6244, AZD-6244, ARRY-886",104,104,
AZD6482_1066,1066,AZD6482,"AZD 6482, AZD-6482, AK-55409",109,109,
CCT007093,1067,CCT007093,-,179,179,
EHT-1864,1069,EHT-1864,EHT 1864,,256,
CRT0105950,1070,CRT0105950,-,,new,
CRT0105446,1071,CRT0105446,-,,new,
Avagacestat_1072,1072,Avagacestat,"BMS-708163, BMS 708163",148,148,
BMS-536924_1091,1091,BMS-536924,BMS 536924,145,145,
Cetuximab,1114,Cetuximab,"Erbitux, IMC-C225, C225, IMC-225, L01XC06",186,186,
FS106,1128,FS106,-,,new,
PF-4708671,1129,PF-4708671,"PF 4708671, PF4708671",522,522,
Serdemetan,1133,Serdemetan,JNJ-26854165,371,371,
AZD4547_1135,1135,AZD4547,AZ6,102,102,
Capivasertib,1136,Capivasertib,AZ5363,103,103,
HG-5-113-01,1142,HG-5-113-01,-,331,331,
HG-5-88-01,1143,HG-5-88-01,-,332,332,
THZ-1-87,1145,THZ-1-87,-,,new,
TW 37,1149,TW 37,"TW37, TW-37",656,656,
QL-XII-47_1155,1155,QL-XII-47,-,550,550,
XMD11-50,1157,XMD11-50,-,,new,
XMD11-85h,1158,XMD11-85h,-,693,693,
ZG-10,1161,ZG-10,-,706,706,
XMD8-92,1164,XMD8-92,XMD 8-92,696,696,
THZ-2-98-01,1165,THZ-2-98-01,-,,new,
QL-VIII-58,1166,QL-VIII-58,-,549,549,
NG-25_1167,1167,NG-25,-,470,470,
CCT-018159,1170,CCT-018159,"CCT018159, CCT 018159",180,180,
Rucaparib,1175,Rucaparib,"PF-01367338, AG-014699, AG-14447, AG-14699",39,39,
CRT0160829,1183,CRT0160829,-,,new,
AZ20,1184,AZ20,-,,new,
KU-60019,1185,KU-60019,-,2290,2290,
FS112,1186,FS112,-,,new,
CCT245232,1187,CCT245232,-,,new,
CCT245467,1188,CCT245467,-,,new,
GSK269962A_1192,1192,GSK269962A,GSK 269962A,323,323,
SB505124_1194,1194,SB505124,"SB 505124, SB505124",586,586,
FY026,1195,FY026,"[(para-cymene)osmium(N,N-dimethylphenlyazopyridine)(iodide)]hexafluorophophate",,new,
FY069,1196,FY069,[(biphenyl)osmium(5-fluoro-phenlyazopyridine)(iodide)]hexafluorophophate,,new,
ZL049,1197,ZL049,[(diphenyltetramethylcyclopentadienyl)iridium(III)(2-phenylpyridine)(chloride)],,new,
FY012,1198,FY012,-,,new,
Tamoxifen,1199,Tamoxifen,"Nolvadex, Soltamox, Zynoplex, ICI-46474, Kessar",626,626,
torin2,1202,torin2,-,,1034,
QL-XII-61,1203,QL-XII-61,-,551,551,
HG-6-71-01,1204,HG-6-71-01,-,,new,
JQ1_1218,1218,JQ1,"JQ-1, (+)-JQ-1",2;377,2,
PFI-1,1219,PFI-1,-,526,526,
IOX2,1230,IOX2,"IOX-2, IOX 2, AK176060",354,354,
I-BET-151,1232,I-BET-151,GSK12100151A,,new,
UNC0638_1236,1236,UNC0638,"UNC-0638, UNC 0683",658,658,
YK-4-279,1239,YK-4-279,YK 4-279,702,702,
CHIR-99021_1241,1241,CHIR-99021,"CT 99021, CHIR99021, CHIR 99021",194,194,
(5Z)-7-Oxozeaenol,1242,(5Z)-7-Oxozeaenol,"5Z-7-Oxozeaenol, LL-Z1640-2",3,3,
Piperlongumine,1243,Piperlongumine,Piplartine,534,534,
Daporinad,1248,Daporinad,"APO866,  FK866, FK866",234,234,
N22899-6-C1,1251,N22899-6-C1,-,,new,
N23918-95-7,1252,N23918-95-7,-,,new,
N24798-49-A1,1253,N24798-49-A1,-,,new,
GSK-J4,1254,GSK-J4,-,2343,2343,
Talazoparib,1259,Talazoparib,"BMN-673, BMN 973",139,139,
rTRAIL,1261,rTRAIL,-,574,574,
UNC1215,1262,UNC1215,UNC-1215,659,659,
UNC0642,1263,UNC0642,-,,new,
SGC0946,1264,SGC0946,-,596,596,
ICL1100013,1266,ICL1100013,-,,new,
XAV939,1268,XAV939,"NVP-XAV939, XAV-939, XAV 939",685,685,
965-D2,1359,965-D2,-,,new,
993-D2,1360,993-D2,-,,new,
BAY ACCi,1362,BAY ACCi,-,,new,
BAY AKT1,1363,BAY AKT1,-,,new,
BAY-HDAC11_1,1364,BAY-HDAC11_1,-,,new,
BAY-HDAC11_2,1365,BAY-HDAC11_2,-,,new,
BAY-HDAC11_4,1367,BAY-HDAC11_4,-,,new,
BAY-MPS1,1368,BAY-MPS1,-,,new,
BAY-MPS-combo-1 (paclitaxel 5 uM),1369,BAY-MPS-combo-1 (paclitaxel 5 uM),-,,new,
BAY-MPS-combo 2 (paclitaxel 1 uM),1370,BAY-MPS-combo 2 (paclitaxel 1 uM),-,,new,
PLX-4720_1371,1371,PLX-4720,"PLX4720, PLX 4720",538,538,
Trametinib,1372,Trametinib,"GSK1120212, Mekinist",650,650,
Dabrafenib,1373,Dabrafenib,"GSK2118436, Tafinlar",232,232,
Temozolomide,1375,Temozolomide,"Temodar, Temodal, M-39831, SCH 52365",630,630,
Afatinib_1377,1377,Afatinib,"BIBW2992, Tovok, Gilotrif",37,37,
Bleomycin (50 uM),1378,Bleomycin (50 uM),-,,136,
ZL109,1379,ZL109,-,,new,
AZD3514,1382,AZD3514,SN1019841295,101,101,
Doxorubicin_1386,1386,Doxorubicin,-,251;271;831,251,
Bleomycin (10 uM),1392,Bleomycin (10 uM),-,,136,
Gemcitabine_1393,1393,Gemcitabine,-,306,306,
AZD6738,1394,AZD6738,SN1034081770,911,911,
AZD5438,1401,AZD5438,SN1057898678,1389,1389,
AZD7762_1402,1402,AZD7762,SN1031853762,105,105,
AZD6094,1403,AZD6094,SN1042487586,778,778,
Dyrk1b_0191,1407,Dyrk1b_0191,SN1008982787,,new,
AZD4877,1409,AZD4877,SN1055467765,,new,
EphB4_9721,1413,EphB4_9721,SN1076287848,,new,
Fulvestrant,1414,Fulvestrant,SN0117217688,298,298,
AZD8931,1416,AZD8931,SN0216062465,108,108,
FEN1_3940,1419,FEN1_3940,SN1106019609,,new,
FGFR_0939,1421,FGFR_0939,SN1043317881,,new,
FGFR_3831,1422,FGFR_3831,SN1037992934,,new,
BPTES,1425,BPTES,SN1041594574,795,795,
AZD7969,1426,AZD7969,SN1098976045,,new,
AZD5582,1427,AZD5582,SN1021632995,,new,
IAP_5620,1428,IAP_5620,SN1043546339,,new,
IAP_7638,1429,IAP_7638,SN1043547481,,new,
IGFR_3801,1430,IGFR_3801,SN1056768819,,new,
AZD1480,1432,AZD1480,SN1044232195,97,97,
JAK1_3715,1433,JAK1_3715,SN1042605297,,new,
JAK3_7406,1434,JAK3_7406,SN1014281280,,new,
MCT1_6447,1436,MCT1_6447,SN0177231247,,new,
MCT4_1422,1437,MCT4_1422,SN1043999849,,new,
AZD2014,1441,AZD2014,SN1103949359,898,898,
AZD8186,1444,AZD8186,SN1028722848,802,802,
AZD8835,1445,AZD8835,SN1040214596,950,950,
PI3Ka_4409,1446,PI3Ka_4409,SN1037097676,,new,
AZD1208,1449,AZD1208,SN1028350371,910,910,
PLK_6522,1451,PLK_6522,SN1077317349,,new,
RAF_9304,1453,RAF_9304,SN1034259943,,new,
PARP_9495,1458,PARP_9495,SN1024601395,,new,
PARP_0108,1459,PARP_0108,SN1044053371,,new,
PARP_9482,1460,PARP_9482,SN1031920820,,new,
TANK_1366,1461,TANK_1366,SN1032446568,,new,
AZD1332,1463,AZD1332,SN1061387896,,new,
TTK_3146,1464,TTK_3146,SN1080714093,,new,
SN-38_1490,1490,SN-38,SN1095903706,13,13,
SN-38_1494,1494,SN-38,"7-Ethyl-10-Hydroxy-Camptothecin, SN 38",13,13,
Olaparib_1495,1495,Olaparib,"AZD2281, KU0059436,  Lynparza",483,483,
Cisplatin_1496,1496,Cisplatin,Cisplatin,202,202,
AZD4547_1497,1497,AZD4547,AZ6,102,102,
Selumetinib_1498,1498,Selumetinib,"AZD6244, AZD-6244, ARRY-886",104,104,
Bicalutamide_1502,1502,Bicalutamide,"ICI-176334, Casodex, Cosudex, ICI 176334",130,130,
Refametinib_1526,1526,Refametinib,"RDEA119, BAY-86-9766, BAY 869766",563,563,
Pictilisib_1527,1527,Pictilisib,"GDC-0941, GDC0941, RG-7621",303,303,
Pevonedistat,1529,Pevonedistat,"MLN4924, MLN 4924, MLN-4924",459,459,
PFI-3,1530,PFI-3,BDF00016096,1879,1879,
I-CBP112,1531,I-CBP112,-,,,
