Drug_Synonyms	update	merge	remove	action	NCI-60_IDs	GDSC-MGH-Sanger_IDs	CCLE-Broad-MIT_IDs	CTRP-Broad-MIT_IDs	NCI-DTP SCLC_IDs	NCATS MT_IDs	NCATS CT ic50_IDs	display_name
BY-PRODUCT OF CUDC-305	167	917	917	m	NA	NA	NA	NA	761390	NA	Cudc-305	cudc-305
1217486-61-7;ALPELISIB;BYL-719;BYL719;UNII-08W5N2C97Q	168	879	879	m	NA	NA	NA	BYL-719	765974	NA	Alpelisib	alpelisib
1045792-66-2;CAY10603;CHEMBL511749;HDAC6 INHIBITOR	180	1534	1534	m	NA	CAY10603	NA	NA	NA	NA	Isox	isox
885499-61-6;CCT 128930;CCT-128930;CCT128930;CHEMBL263664	182	911	911	m	NA	NA	NA	NA	761387	NA	cct128930	cct-128930
847499-27-8;CEP-18770;DELANZOMIB;DELANZOMIB [USAN];UNII-6IF28942WO	186	1103	1103	m	NA	NA	NA	NA	764334	NA	Delanzomib	delanzomib
212142-18-2;CGP 79787D;CGP-79787D;PTK 787;PTK-787;VATALANIB SUCCINATE	193	1986	1986	m	NA	NA	NA	NA	772499	NA	VATALANIB	vatalanib
34316-15-9;CHELERYTHRINE;CHELERYTHRINE HYDROXIDE;EINECS 251-930-0;TODDALIN;122455-85-0;MP-0922;36405	196	1123	1123	m	36405	NA	NA	NA	36405	NA	Chelerythrine chloride	chelerythrine chloride
252917-06-9;CHIR 99021;CHIR-99021;CHIR99021;CT 99021	198	1507	1507	m	NA	CHIR-99021_154;CHIR-99021_1241	NA	NA	NA	NA	Ct-99021	chir-99021
CNF-2024	210	1016	1016	m	NA	NA	NA	NA	773265	NA	Cnf-2024	biib021
670220-88-9;ARO-002;CP-868596;CRENOLANIB;CRENOLANIB [USAN];UNII-LQF7I567TQ	214	906	906	m	NA	NA	NA	NA	763526	NA	Crenolanib	crenolanib
383432-38-0;CP 724714;CP-724714;CP724714;UNII-I05QZ0S4V3	217	893	893	m	NA	CP724714	NA	NA	NA	NA	Cp-724714	cp-724714
223132-38-5;CS-7017;EFATUTAZONE HYDROCHLORIDE;INOLITAZONE (DIHYDROCHLORIDE);RS-5444	221	1582	1582	m	NA	NA	NA	NA	764579	NA	Efatutazone	efatutazone
1009820-21-6;CX-4945;CX4945;SILMITASERTIB	227	2884	2884	m	NA	NA	NA	silmitasertib	761193	NA	Cx-4945 (sodium salt)	silmitasertib
1138549-36-6;CX 5461;CX-5461;CX5461;UNII-3R4C5YLB9I	228	995	995	m	NA	CX-5461	NA	NA	NA	NA	CX-5461	cx-5461
693228-63-6;CHEMBL482967;CYC-116;CYC116;KINOME_636	230	894	894	m	NA	NA	NA	NA	759498	NA	CYC-116	cyc-116
1056634-68-4;CYT 387;CYT-387;CYT387;MOMELOTINIB	234	782	782	m	NA	NA	NA	momelotinib	767598	NA	MOMELOTINIB DIHYDROCHLORIDE	momelotinib
917111-44-5;CYT 997;CYT-997;CYT997;LEXIBULIN	235	988	988	m	NA	NA	NA	NA	758488	NA	Lexibulin hydrochloride	cyt-997
147-94-4;ARA-C;ARABINOSYLCYTOSINE;CYTARABINE;CYTOSINE ARABINOSIDE;63878;287459	236	237	237	m	63878;287459	Cytarabine	NA	NA	63878	NA	cytarabine	cytarabine
658084-64-1;APO-866;DAPORINAD;FK-866;FK866	240	928	928	m	NA	FK866	NA	daporinad	NA	NA	Daporinad	daporinad
24584-09-6;CARDIOXANE;DEXRAZOXANE;ZINECARD;169780	250	251	251	m	169780	NA	NA	NA	NA	NA	Dexrazoxane hydrochloride	dexrazoxane hydrochloride
24584-09-6;CARDIOXANE;DEXRAZOXANE;ZINECARD;169780	250	1751	1751	m	169780	NA	NA	NA	NA	NA	Dexrazoxane hydrochloride	dexrazoxane hydrochloride
15307-86-5;DICHLOFENAC;DICLOFENAC;DICLOFENAC ACID;DICLOFENACUM	252	1824	1824	m	NA	NA	NA	NA	755403	NA	DICLOFENAC SODIUM	diclofenac sodium
779353-01-4;DINACICLIB;MK-7965;SCH 727965;SCH-727965;SCH727965	254	896	896	m	NA	NA	NA	dinaciclib	764036	NA	DINACICLIB	dinaciclib
289483-69-8;E 7820;E-7820;E7820;UNII-TVH5K7949N;719239	260	940	940	m	719239	NA	NA	NA	NA	NA	E-7820	e-7820
1100598-32-0;EMD 1214063;EMD-1204831;EMD-1214063;TEPOTINIB;UNII-1IJV77EI07	269	806	806	m	NA	NA	NA	NA	767954;758244	NA	EMD-1214063	emd-1214063
188968-51-6;CILENGITIDE;CILENGITIDE [USAN:INN];EMD-121974;UNII-4EDF46E4GI	270	1036	1036	m	NA	NA	NA	NA	774651	NA	Cilengitide	cilengitide
EPOTHILONE B;684363	279	1415	1415	m	684363	Epothilone B	NA	NA	NA	NA	patupilone	patupilone
183321-74-6;ERLOTINIB;TARCEVA;UNII-J4T82NDH7E;718781	281	2156	2156	m	718781	Erlotinib	Erlotinib	erlotinib	718781	NA	Erlotinib hydrochloride	erlotinib
2998-57-4;EMCYT;ESTRAMUSTINA;ESTRAMUSTINE;ESTRAMUSTINUM;89201;702294	282	1605	1605	m	89201;702294	NA	NA	NA	702294	NA	ESTRAMUSTINE PHOSPHATE	estramustine phosphate sodium
162359-55-9;FINGOLIMOD;GILENIA;UNII-3QN8BYN5QF	294	1386	1386	m	NA	NA	NA	fingolimod	NA	NA	Fingolimod hydrochloride	fingolimod hydrochloride
93957-54-1;CHEBI:38565;CRANOC;FLUVASTATIN;LESCOL	299	796	796	m	NA	NA	NA	fluvastatin	765948	NA	Fluvastatin	fluvastatin
957054-30-7;GDC 0941;GDC-0941;GDC0941;PICTRELISIB	310	1043	1043	m	NA	GDC0941_1527;GDC0941_1058	NA	GDC-0941	755385	NA	GDC-0941	pictilisib
GELDANAMYCIN ANALOG;255109	312	889	889	m	255109	NA	NA	NA	NA	NA	Geldanamycin	geldanamycin
529488-28-6;GENZ 644282;GENZ-644282;SCHEMBL241696;UNII-717I541I2R	315	915	915	m	NA	NA	NA	NA	768112	NA	Genz-644282	genz-644282
GSK-1210151A	320	1222	1222	m	NA	NA	NA	NA	767599	NA	I-BET151	i-bet151
1116235-97-2;GSK 1838705A;GSK-1838705A;GSK1838705A	321	784	784	m	NA	NA	NA	NA	766255	NA	Gsk-1838705a	gsk-1838705a
1227911-45-6;CHEMBL1765740;GSK 2334470;GSK-2334470;GSK2334470	324	1047	1047	m	NA	NA	NA	NA	759658	NA	GSK-2334470	gsk-2334470
1372540-25-4;GSK-2636771;GSK2636771;UNII-DW94IAT0LS	325	867	867	m	NA	NA	NA	GSK2636771	768508	NA	Gsk-2636771	gsk-2636771
929095-18-1;GSK 461364;GSK-461364;GSK461364	326	840	840	m	NA	NA	NA	GSK461364	754354	NA	Gsk461364	gsk-461364a
850664-21-0;GSK 269962;GSK 269962A;GSK-269962A;GSK269962A	331	1915	1915	m	NA	GSK269962A_1192;GSK269962A_127	NA	NA	NA	NA	GSK-269962B	gsk-269962a
864082-47-3;GSK429286A	332	2855	2855	m	NA	GSK429286A	NA	NA	NA	NA	GSK-429286A	gsk-429286a
GW 441756	333	2172	2172	m	NA	GW 441756	NA	NA	NA	NA	GW441756X	gw441756x
HG-5-113-01	339	1417	1417	m	NA	HG-5-113-01	NA	NA	NA	NA	Hmsl10015	hmsl10015
HG-5-88-01	340	2591	2591	m	NA	HG-5-88-01	NA	NA	NA	NA	Hmsl10016	hmsl10016
HPI-1	343	1063	1063	m	NA	NA	NA	NA	758486	NA	HPI-1	hpi-1
780757-88-2;847591-62-2;ICG 001;ICG-001	350	923	923	m	NA	NA	NA	NA	756641	NA	Icg-001	icg-001
4-DEMETHOXYDAUNORUBICIN;58957-92-9;IDAMYCIN;IDARUBICIN;IDARUBICINA;256439	351	1609	1609	m	256439	NA	NA	NA	NA	NA	Idarubicin hydrochloride	idarubicin hydrochloride
IDH-C227	352	1009	1009	m	NA	NA	NA	NA	772564	NA	Idh-c227	idh-c227
(R)-RUXOLITINIB;941685-37-6;INCB-18424;RUXOLITINIB (S ENANTIOMER);S-RUXOLITINIB	358	587	587	m	NA	INCB-18424	NA	NA	NA	NA	Ruxolitinib	ruxolitinib
1201438-56-3;DUVELISIB;INK-1197;IPI-145;UNII-610V23S0JI	360	766	766	m	NA	NA	NA	NA	772469	NA	Duvelisib	duvelisib
1037210-93-7;IPI-926;SARIDEGIB;SARIDEGIB [USAN];UNII-JT96FPU35X	364	930	930	m	NA	NA	NA	NA	767123	NA	ipi-926	patidegib
ISOMER OF BAFETINIB	367	794	794	m	NA	NA	NA	NA	773263	NA	Bafetinib	bafetinib
ISOMER OF LOR-253	368	1099	1099	m	NA	NA	NA	NA	763832	NA	APTO-253	apto-253
875320-29-9;JNJ-26481585;QUISINOSTAT;UNII-9BJ85K1J8S	378	967	967	m	NA	NA	NA	NA	759657	NA	Quisinostat hydrochloride	quisinostat
1210004-12-8;CHEMBL606201;JZL 195;JZL-195;JZL195	389	803	803	m	NA	NA	NA	NA	763527	NA	JZL-195	jzl-195
587871-26-9;ATM KINASE INHIBITOR;KU-55933;KU55933	404	1098	1098	m	NA	KU-55933	NA	NA	NA	NA	KU-0064	ku-55933
1000669-72-6;KW 2449;KW-2449;KW2449;UNII-2D9N67F58G	405	873	873	m	NA	NA	NA	KW-2449	759675	NA	KW-2449	kw-2449
LAPACHONE;629749	408	1466	1466	m	629749	NA	NA	NA	NA	NA	beta-Lapachone	lapachone
1005342-46-0;6TNS415Y3P;LCL-161;LCL161;UNII-6TNS415Y3P	412	1112	1112	m	NA	NA	NA	NA	772868	NA	Lcl-161	lcl-161
417716-92-8;E7080;LENVATINIB;LENVIMA	415	1050	1050	m	NA	NA	NA	lenvatinib	755980	NA	Lenvatinib	lenvatinib
LIFICGUAT;728165	419	716	716	m	728165	NA	NA	NA	NA	NA	Lificiguat	lificiguat
117-39-5;LNS-5662;MELETIN;QUERCETIN;QUERCETOL;SOPHORETIN	423	948	948	m	NA	NA	NA	NA	756660	NA	Quercetine	quercetin
603288-22-8;CHEMBL362558;LY-2090314;LY2090314;UNII-822M3GYM67	426	771	771	m	NA	NA	NA	NA	772198	NA	Ly-2090314	ly-2090314
862507-23-1;LY-2228820;LY2228820;RALIMETINIB MESYLATE;UNII-QUW7B71FO9	429	841	841	m	NA	NA	NA	NA	766820	NA	Ly-2228820	ralimetinib
911222-45-2;LY 2603618;LY-2603618;LY2603618;RABUSERTIB;UNII-3S9L1NU6U7	430	1007	1007	m	NA	NA	NA	NA	761188	NA	Rabusertib	rabusertib
1231929-97-7;ABEMACICLIB;LY-2835219;LY2835219 (FREE BASE);UNII-60UAB198HK	434	1115	1115	m	NA	NA	NA	NA	768073	NA	Abemaciclib	abemaciclib
1254473-64-7;LY-2874455;LY2874455;UNII-E9M363811V	435	1106	1106	m	NA	NA	NA	NA	771750	NA	LY-2874455	ly-2874455
LARIAM;MEFLOQUIN;MEFLOQUINA;MEFLOQUINE;MEFLOQUINUM	441	960	960	m	NA	NA	NA	NA	157387	NA	MEFLOQUINE HYDROCHLORIDE	mefloquine
59-05-2;ABITREXATE;AMETHOPTERIN;METHOTREXATE;RHEUMATREX;740	444	770	770	m	740	Methotrexate	NA	methotrexate	740	NA	METHOTREXATE	methotrexate
944537-89-7;MG-0103;MOCETINOSTAT DIHYDROBROMIDE;UNII-4V9P667Y2G	447	1039	1039	m	NA	NA	NA	NA	760143	NA	Mocetinostat	mocetinostat
133407-82-6;MG-132;MG132;Z-LEU-LEU-LEU-AL;ZLLLAL	448	929	929	m	NA	MG-132	NA	NA	NA	NA	MG-132	mg-132
955365-80-7;MK 1775;MK-1775;MK1775;UNII-K2T6HJX3I3	457	760	760	m	NA	NA	NA	MK-1775	754352	NA	AZD-1775	mk-1775
917879-39-1;MK 2461;MK-2461;UNII-4200RD53XF	459	827	827	m	NA	NA	NA	NA	764580	NA	MK-2461	mk-2461
1010085-13-8;MK 5108;MK-5108;MK5108;VX-689	461	805	805	m	NA	NA	NA	NA	773262	NA	Mk-5108	mk-5108
572924-54-0;AP-23573;DEFOROLIMUS;MK-8669;RIDAFOROLIMUS	463	1026	1026	m	NA	NA	NA	NA	757440	NA	RIDAFOROLIMUS	ridaforolimus
1072833-77-2;IXAZOMIB;MLN 2238;MLN-2238;MLN2238	465	949	949	m	NA	NA	NA	MLN2238	766907	NA	Mln2238	ixazomib
1096708-71-2;BIIB-024;MLN 2480;MLN-2480;MLN2480;UNII-ZN90E4027M	466	901	901	m	NA	NA	NA	MLN2480	766906	NA	MLN-2480	mln-2480
387867-13-2;CT53518;MLN 518;MLN-518;TANDUTINIB	468	1079	1079	m	NA	NA	NA	tandutinib	760841	NA	TANDUTINIB	tandutinib
1201902-80-8;MLN 9708;MLN-9708;MLN9708	470	776	776	m	NA	NA	NA	NA	758254	NA	Ixazomib citrate	mln-9708
MPS-1-IN-1	473	2605	2605	m	NA	MPS-1-IN-1	NA	NA	NA	NA	MPS1-IN-1	mps1-in-1
698387-09-6;HKI 272;HKI-272;NERATINIB;UNII-JJH94R3PWB	477	530	530	m	NA	NA	NA	neratinib	NA	NA	NERATINIB	neratinib
698387-09-6;HKI 272;HKI-272;NERATINIB;UNII-JJH94R3PWB	477	788	788	m	NA	NA	NA	neratinib	NA	NA	NERATINIB	neratinib
548472-68-0;890090-75-2;CHEMBL211045;NUTLIN 3;NUTLIN-3	486	487	487	m	NA	NA	Nutlin-3	nutlin-3	NA	NA	NUTLIN-3	nutlin-3
548472-68-0;890090-75-2;CHEMBL211045;NUTLIN 3;NUTLIN-3	486	874	874	m	NA	NA	Nutlin-3	nutlin-3	NA	NA	NUTLIN-3	nutlin-3
1225497-78-8;ESTYBON;NOVONEX;ON-01910NA;RIGOSERTIB (SODIUM);RIGOSERTIB SODIUM	493	582	582	m	NA	NA	NA	NA	754344	NA	ON-01910	rigosertib
1225497-78-8;ESTYBON;NOVONEX;ON-01910NA;RIGOSERTIB (SODIUM);RIGOSERTIB SODIUM	493	762	762	m	NA	NA	NA	NA	754344	NA	ON-01910	rigosertib
783355-60-2;ABEXINOSTAT;CRA-024781;PCI 24781;PCI-24781	514	1069	1069	m	NA	NA	NA	NA	764136	NA	ABEXINOSTAT HYDROCHLORIDE	abexinostat
137281-23-3;ALIMTA;PEMETREXED;PEMETREXED DISODIUM;UNII-04Q9AIZ7NO;698037	520	976	976	m	698037	NA	NA	NA	698037	NA	Pemetrexed (disodium hemipenta hydrate) (1:2:2.5)	pemetrexed disodium
PF-03084014 DIASTEREOMER 1	524	525	525	m	NA	NA	NA	NA	754348	NA	NIROGACESTAT	nirogacestat
PF-03084014 DIASTEREOMER 1	524	1481	1481	m	NA	NA	NA	NA	754348	NA	NIROGACESTAT	nirogacestat
908115-27-5;PF-04929113;SNX 5422;SNX-5422;UNII-BF52J69Q8T	528	872	872	m	NA	NA	NA	NA	768509	NA	SNX-5422	snx-5422
1197160-78-3;GEDATOLISIB;PF-05212384;PKI 587;PKI-587	529	816	816	m	NA	NA	NA	NA	758256	NA	GEDATOLISIB	pf-05212384
PF-299804	531	943	943	m	NA	NA	NA	NA	765888	NA	DACOMITINIB	dacomitinib
1092351-67-1;CHEBI:90679;PP 242;PP-242;PP242	551	837	837	m	NA	NA	NA	NA	764515	NA	Torkinib	torkinib
CAPAZINE;COMPAZINE;PROCHLORPERAZIN;PROCHLORPERAZINE;PROCHLORPROMAZINE	554	1704	1704	m	NA	NA	NA	prochlorperazine	NA	NA	PROCHLORPERAZINE EDISYLATE	prochlorperazine
PYRVINIUM PAMOATE	559	2368	2368	m	NA	NA	NA	NA	757296	NA	Pyrantel pamoate	pyrantel pamoate
192185-72-1;R-115777;R115777;TIPIFARNIB;TIPIFARNIB [USAN];ZARNESTRA;760444	564	657	657	m	760444	Tipifarnib	NA	NA	760444	NA	TIPIFARNIB	tipifarnib
882531-87-5;CHEMBL1980391;R-1530;R1530;UNII-XQJ55R5PPQ	565	972	972	m	NA	NA	NA	NA	767953	NA	R 1530	r-1530
741713-40-6;R 547;R-547;R547;UNII-T61871RKRI	568	861	861	m	NA	NA	NA	NA	773094	NA	RG-547	r-547
1207360-89-1;CHEMBL2331680;GDC-0349;RG-7603;UNII-579255I6O9	580	985	985	m	NA	NA	NA	NA	771532	NA	GDC-0349	gdc-0349
946128-88-7;CHEBI:78825;CHEMBL3264002;RO 5126766;RO-5126766;RO5126766	585	912	912	m	NA	NA	NA	NA	758248	NA	ro-5126766	ro-5126766
BDBM50427294;CHEMBL2325429;SB 743921;SB-743921;SCHEMBL645543	601	829	829	m	NA	NA	NA	SB-743921	773261	NA	sb-743921	sb-743921
929016-96-6;PRACINOSTAT;SB 939;SB-939;SB939	602	870	870	m	NA	NA	NA	NA	758249	NA	Pracinostat	pracinostat
839707-37-8;PLURIPOTIN;SC-1	604	780	780	m	NA	NA	NA	NA	763525	NA	Pluripotin	pluripotin
891494-63-6;SCH 900776;SCH-900776;SCH900776;UNII-K2ZSF0992C	606	937	937	m	NA	NA	NA	NA	764659	NA	SCH-900776	sch-900776
1022150-57-7;SGX 523;SGX-523;SGX523;UNII-WH8SQN09KJ	611	1005	1005	m	NA	NA	NA	SGX-523	758591	NA	Sgx-523	sgx-523
139755-83-2;REVATIO;SILDENAFIL;SILDENAFIL [INN:BAN];VIAGRA	613	2561	2561	m	NA	NA	NA	sildenafil	744009	NA	Sildenafil citrate salt	sildenafil citrate
79902-63-9;SIMVASTATIN;SINVACOR;SYNVINOLIN;ZOCOR;758706;633782	614	615	615	m	758706;633782	NA	NA	simvastatin	633782	NA	Simvastatin	simvastatin
486460-32-6;JANUVIA;MK-0431;SITAGLIPTIN;XELEVIA	616	1250	1250	m	NA	NA	NA	sitagliptin	NA	NA	SITAGLIPTIN PHOSPHATE	sitagliptin
1057249-41-8;KINOME_3712;SNS 314;SNS-314;UNII-802IFJ0Z8X	619	1041	1041	m	NA	NA	NA	NA	758250	NA	SNS-314	sns-314
SNS-595; SPC-595	620	2401	2401	m	NA	NA	NA	NA	760764	NA	Vosaroxin	vosaroxin
888216-25-9;GANETESPIB;STA-9090;STA9090;UNII-2E8412Y946	625	864	864	m	NA	NA	NA	NA	765435	NA	Ganetespib	ganetespib
104987-11-3;PROGRAF;PROTOPIC;TACROLIMUS;TSUKUBAENOLIDE	631	2250	2250	m	NA	NA	NA	tacrolimus	755767	NA	Fk506/tacrolimus	tacrolimus
1035555-63-5;TAK 733;TAK-733;TAK733;UNII-5J61HSP0QJ	636	941	941	m	NA	NA	NA	NA	761215	NA	TAK-733	tak-733
934541-31-8;TAK 901;TAK-901;TAK901;UNII-DM9UIR23R7	637	852	852	m	NA	NA	NA	NA	762151	NA	TAK-901	tak-901
1137868-52-0;CHEMBL2392545;TAK 960;TAK-960;TAK960	638	810	810	m	NA	NA	NA	NA	768072	NA	TAK-960	tak-960
108605-62-5;163451-81-8;AUBAGIO;FLUCYAMIDE;TERIFLUNOMIDE	648	921	921	m	NA	NA	NA	NA	766118	NA	Teriflunomide	teriflunomide
TRIFLUOPERAZINE;TRIFLUOROPERAZINE;TRIFLUPERAZINE;TRIFLURIN;TRIPERAZINE	668	1747	1747	m	NA	NA	NA	trifluoperazine	NA	NA	Trifluoperazine dihydrochloride	stelazine
38748-32-2;PG490;TRIPTOLID;TRIPTOLIDE;UNII-19ALD1S53J	669	1105	1105	m	NA	NA	NA	triptolide	NA	NA	TRIPTOLIDE	triptolide
