Uppername	compound_id	compound_name	equivalent_structures	primary_moa	moas	primary_target_gene_symbol	phase	rdkit_smiles	CAS	cas	nsc	name	testing_status	mechanism	synonyms	cas.y	found	duplicated
AT-13148	5153fd283cbfe53edfc008786eee777b	AT-13148	"[NCGC00538425, NCGC00589154, NCGC00386423]"	Akt Serine/threonine Kinase Inhibitor	"[Akt Serine/threonine Kinase Inhibitor, Akt Inhibitor, Rho-associated Protein Kinase 1 Inhibitor, Camp-dependent Protein Kinase Alpha Inhibitor, Protein Kinase C (pkc) Inhibitor, Cgmp-dependent Protein Kinase Inhibitor, Rho-associated Protein Kinase 2 Inhibitor, Ribosomal Protein S6 Kinase Beta Inhibitor, Camp-dependent Protein Kinase (pka) Inhibitor]"	AKT1	"[Unknown, Phase I]"	"[NC[C@](O)(c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1, NC[C@@](O)(c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1, NCC(O)(c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1]"	1056901-62-2	1056901622	"799337, 771650"	"AT-13148, AT-13148"	"NA, Clinical trial"	"NA, PK:AKT"	"NA, at-13148|(s)-2-amino-1-(4-chlorophenyl)-1-[4-(1h-pyrazol-4-yl)-ph...|tcrs-191"	", "	"name, name"	"TRUE, TRUE"
AZD-5438	354b6344690e5d19f8b7559f28e16fdc	Azd-5438	[NCGC00346617]	Cyclin-dependent Kinase 1/cyclin B Inhibitor	"[Cyclin-dependent Kinase 1/cyclin B Inhibitor, Cdk1/2 Inhibitor, Cdk1/cyclin B Inhibitor, Cdk2/cyclin A Inhibitor, Cdk2/cyclin E Inhibitor, Cdk1/cyclin B1 Inhibitors;cdk2/cyclin A Inhibitors;cdk2/cyclin E Inhibitors]"	CDK1	"[Discontinued, Unknown, Phase I]"	"[CS(=O)(=O)O.Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C, Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C]"	602306-29-6	602306296	799348	AZD-5438	NA	NA	NA		name	FALSE
AZD-6482	7e66ea85598351e398789b86267dfb6b	Azd-6482	"[NCGC00389715, NCGC00263154]"	Pi3kbeta Inhibitor	"[Pi3kbeta Inhibitor, Pi3kb/d Inhibitor, Phosphatidylinositol 3-kinase Beta Isoform Inhibitor, Phosphatidylinositol 3-kinase Delta Isoform Inhibitor]"	PIK3CB	"[Discontinued, Unknown, Phase I]"	"[Cc1cc(C(C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1, Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1, Cc1cc([C@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1]"	1173900-33-8	1173900338	799349	AZD-6482	NA	NA	NA		name	FALSE
AZD4547	ed95d641577b53da181ff0d8f2558a4a	Azd4547	"[NCGC00378876, NCGC00485936, NCGC00389612, NCGC00346713]"	Fgfr 3 Inhibitor	"[Fgfr 3 Inhibitor, Fgfr 1/2/3 Inhibitor, Fibroblast Growth Factor Receptor Inhibitor]"	FGFR1	"[Phase II/III, Phase II, Unknown]"	"[COc1cc(CCc2cc(NC(=O)c3ccc(N4CC(C)NC(C)C4)cc3)n[nH]2)cc(OC)c1, COc1cc(CCC2=NN=C(NC(=O)c3ccc(N4C[C@H](C)N[C@H](C)C4)cc3)C2)cc(OC)c1, COc1cc(CCc2cc(NC(=O)c3ccc(N4C[C@H](C)N[C@H](C)C4)cc3)[nH]n2)cc(OC)c1, COc1cc(CCc2cc(NC(=O)c3ccc(N4C[C@H](C)N[C@H](C)C4)cc3)n[nH]2)cc(OC)c1]"	1035270-39-3	1035270393	764239	AZD-4547	Clinical trial	"PK:YK,FGFR,FGFR1,FGFR2,FGFR3"	azd-4547|inb0001243|;azd-4547;inb0001243	1035270393	cas	FALSE
BAY-1895344	3e4e0113e0193e434e38b0d2d8e6105d	BAY-1895344	[NCGC00510268]	Atr Kinase Inhibitor	"[Atr Kinase Inhibitor, Serine-protein Kinase Atr Inhibitor]"	ATR	[Phase I]	[C[C@@H]1COCCN1c1cc(-c2ccnn2C)c2ccnc(-c3ccn[nH]3)c2n1]	1876467-74-1	1876467741	817275	BAY1895344	NA	NA	bay1895344|ct-bay189|bay-1895344	1876467741	cas	FALSE
BETA-LAPACHONE	2c8f3c83de3acb6a9c7a1581c2a894cb	beta-Lapachone	"[NCGC00094066, NCGC00261402, NCGC00015598]"	Dna Topoisomerase I/ii Inhibitors	"[Dna Topoisomerase I/ii Inhibitors, Tryptophan 2,3-dioxygenase Inhibitor, Tryptophan 2,3-dioxygenase (tdo) Inhibitor, Indoleamine 2,3-dioxygenase 1 Inhibitor, Transcription Factor E2f Modulators, Dna Topoisomerase I Inhibitor, Dna Topoisomerase Ii Inhibitor]"	TDO2	"[Phase II, Unknown, Phase I]"	[CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O]	4707-32-8	4707328	813862	Lapachone	Clinical trial		cs-3680|arq501|.beta.-lapachone|arq-501|CO-501|MB-660|lapachone|beta-Lapachone	4707328	cas	FALSE
BI-847325	d6cc0b0917ca0f2438070a9970637db7	BI-847325	[NCGC00481575]	Aurora Kinase B Inhibitor	"[Aurora Kinase B Inhibitor, Aurora Kinase Inhibitor, Dual Specificity Mitogen-activated Protein Kinase Kinase 2 Inhibitor, Aurora Kinase A Inhibitor, Aurora Kinase C Inhibitor, Dual Specificity Mitogen-activated Protein Kinase Kinase 1 Inhibitor]"	AURKB	"[Unknown, Phase I]"	[CCNC(=O)C#Cc1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(CN(C)C)cc1)c1ccccc1]		NA	799360	BI-847325	NA	NA	NA		name	FALSE
BI-D1870	0349a36d2ced17ec3e4edc6415097cb6	Bi-d1870	"[NCGC00651728, NCGC00386218, NCGC00263086]"	Mapkap-k1 (rsk; P90rsk) Inhibitor	"[Mapkap-k1 (rsk; P90rsk) Inhibitor, Rsk Inhibitor, Ribosomal Protein S6 Kinase Alpha-1 Inhibitor, Ribosomal Protein S6 Kinase Alpha-2 Inhibitor, Ribosomal Protein S6 Kinase Alpha-3 Inhibitor]"	RPS6KA1	"[Preclinical, Unknown]"	"[CC(C)CCN1c2nc(Nc3cc(F)c(O)c(F)c3)ncc2N(C)C(=O)C1C, CC(C)CCN1c2nc(Nc3cc(F)c(O)c(F)c3)ncc2N(C)C(=O)[C@H]1C, CC(C)CCN1c2nc(Nc3cc(F)c(O)c(F)c3)ncc2N(C)C(=N)C1C]"	501437-28-1	501437281	747342	BI-D1870			;bi-d1870|bi-d1870		name	FALSE
BMS-599626	6e8d10357827c30f0336d84b635d6d00	BMS-599626	"[NCGC00346483, NCGC00389718]"	Egfr (her1; Erbb1) Inhibitor	"[Egfr (her1; Erbb1) Inhibitor, Her2, Her3, Her4 Inhibitor, Epidermal Growth Factor Receptor Inhibitor, Egfr Inhibitor, Receptor Tyrosine-protein Kinase Erbb-4 Inhibitor, Receptor Tyrosine-protein Kinase Erbb-3 Inhibitor, Receptor Tyrosine-protein Kinase Erbb-2 Inhibitor]"	EGFR	"[Phase 1, Phase I]"	"[Cc1c(NC(=O)OCC2COCCN2)cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12, Cc1c(NC(=O)OC[C@@H]2COCCN2)cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12]"	8173837-23-1	8173837231	764135	BMS-599626	Clinical trial	"PK:YK,EGFR,ERBB2"	bms-599626|ct-bms59|AC-480 (free base)|ac 480|N-[4-[1-(3-Fluorobenzyl)-1H-indazol-5-ylamino]-5-methylp...|AC-480	714971092	name	FALSE
BMS-777607	3a77eafc5a79aedcddf33b66a70e064c	BMS-777607	[NCGC00263157]	Hgfr (met; C-met) Inhibitor	"[Hgfr (met; C-met) Inhibitor, Tyrosine-protein Kinase Mer Inhibitor, Hgfr Inhibitor, Macrophage Stimulating Protein Receptor, Tyrosine-protein Kinase Receptor Tyro3 Inhibitor, Receptor-type Tyrosine-protein Kinase Flt3 Inbitor, Hepatocyte Growth Factor Receptor Inhibitor, Tyrosine-protein Kinase Receptor Ufo Inhibitor]"	MET	"[Phase II, Phase I]"	[CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1]	1025720-94-8	1025720948	764090	BMS-777607	Clinical trial	"PK:MET,RON"	bms 777607|;bms 777607;s1561|s1561|BMS-777607|ASLAN-002	1196681443	name	FALSE
BMS-863233	1afe0364ffa3bfda364d3e2169522327	BMS-863233	"[NCGC00390286, NCGC00389230, NCGC00378617]"	Cdk 7 Inhibitor	"[Cdk 7 Inhibitor, Cell Division Cycle 7-related Protein Kinase Inhibitor, Serine/threonine-protein Kinase Pim1 Inhibitor]"	CDK7	"[Phase II, Phase I/II, Unknown]"	"[O=c1nc(C2CCCN2)[nH]c2c1oc1ccc(Cl)cc12, Cl.O=c1[nH]c(C2CCCN2)nc2c1oc1ccc(Cl)cc12, O=c1[nH]c([C@@H]2CCCN2)nc2c1oc1ccc(Cl)cc12, O=c1nc([C@@H]2CCCN2)[nH]c2c1oc1ccc(Cl)cc12, O=c1[nH]c(C2CCCN2)nc2c1oc1ccc(Cl)cc12]"	1169562-71-3	1169562713	775771	BMS-863233	Clinical trial	"PK:CDC7,CDK9"	"xl-413|bms-863233|(r)-8-chloro-2-(pyrrolidin-2-yl)benzofuro[3,2-d]pyrimidi..."	1169558386	name	FALSE
BP-1-102	14e9a40b7f25978e4cb3d6c11dd7a2cf	BP-1-102	[NCGC00345808]	Signal Transducer And Activator Of Transcription 3 Inhibitor	"[Signal Transducer And Activator Of Transcription 3 Inhibitor, Stat-3 Inhibitor]"	STAT3	"[Preclinical, Unknown]"	[CN(CC(=O)N(Cc1ccc(C2CCCCC2)cc1)c1ccc(C(=O)O)c(O)c1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F]		NA	764037	BP-1-102	Clinical trial	STAT|IL6|STAT3	"bp-1-102|4-[n-(4-cyclohexylbenzyl)-2-(2,3,4,5,6-pentafluoro-n-met..."		name	FALSE
CANERTINIB	3cc40ca1f22aec001487fbab25bc8905	Canertinib	"[NCGC00182713, MLS004774146]"	Egfr (her1; Erbb1) Inhibitor	"[Egfr (her1; Erbb1) Inhibitor, Epidermal Growth Factor Receptor Inhibitor, Egfr Inhibitor, Receptor Tyrosine-protein Kinase Erbb-4 Inhibitor, Receptor Tyrosine-protein Kinase Erbb-2 Inhibitor]"	EGFR	"[Phase III, Phase II]"	"[C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl, C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1]"	267243-28-7	267243287	801011	CANERTINIB	NA	NA	NA		name	FALSE
CC-115	107bedab0121360dda9d295123131a6d	CC-115	"[NCGC00507843, NCGC00522580]"	Dna-pk Inhibitor	"[Dna-pk Inhibitor, Dna-dependent Protein Kinase Inhibitor, Serine/threonine-protein Kinase Mtor Inhibitor]"	PRKDC	"[Phase II, Unknown]"	"[CCN1C(=O)CN=C2NC=C(c3ccc(-c4nnc[nH]4)nc3C)N=C21, CCN1C(=O)CNc2ncc(-c3ccc(-c4nc[nH]n4)nc3C)nc21]"	1300118-55-1	1300118551	793151	CC-115	Clinical trial	PK:MTOR	cc-115|cc115|a-9068	1228013157	name	FALSE
CCT-251545	8ace74a9b955efbb2c8c53218e479492	Cct-251545	[NCGC00509936]	Cyclin-dependent Kinase 19 Inhibitor	"[Cyclin-dependent Kinase 19 Inhibitor, Cdk 8/19 Inhibitor, Cyclin-dependent Kinase 8 Inhibitor]"	CDK8	"[Preclinical, Unknown]"	[Cn1cc(-c2ccc(-c3cncc(Cl)c3N3CCC4(CCNC4=O)CC3)cc2)cn1]	1661839-45-7	1661839457	784591	CCT-251545	Clinical trial	Wnt	cct-251545|cct 251545|a-1387|cct251545		name	FALSE
CEP-32496	70fd9626f86e04168d8809825d3cc6d7	Cep-32496	[NCGC00386234]	Proto-oncogene Tyrosine-protein Kinase Receptor Ret Inhibitor	"[Proto-oncogene Tyrosine-protein Kinase Receptor Ret Inhibitor, Egfr Inhibitor, Serine/threonine-protein Kinase B-raf Inhibitor, Epidermal Growth Factor Receptor Inhibitor]"	RET	"[Phase I/II, Unknown, Phase I]"	"[COc1cc2ncnc(Oc3cccc(N[11C](=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC.Cl, COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC]"	1227678-26-3	1227678263	"800070, 776043"	"CEP-32496, CEP-32496"	"NA, Clinical trial"	"NA, PK:BRAF"	"NA, cep-32496|cs-1115"	", 1188910760"	"name, name"	"TRUE, TRUE"
CERDULATINIB	8e0c616141d06fdf3aaaa639729c2872	Cerdulatinib	[NCGC00386415]	Tyk2 Inhibitor	"[Tyk2 Inhibitor, Tyrosine-protein Kinase Syk Inhibitor, Jak Inhibitor]"	SYK	"[Phase I/II, Unknown]"	[CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1]	1198300-79-6	1198300796	825827	Cerdulatinib	NA	NA	ct-cerd|prt2070|cerdulatinib|prt062070	1198300796	cas	FALSE
CH-5132799	b77f5e8268629bf78dc6dbc42873137b	Ch-5132799	[NCGC00346650]	Phosphatidylinositol 3-kinase Beta Isoform Inhibitor	"[Phosphatidylinositol 3-kinase Beta Isoform Inhibitor, Pi3kalpha, Beta, Gamma Inhibitor, Phosphatidylinositol 3-kinase Alpha Isoform Inhibitor, Phosphatidylinositol 3-kinase Catalytic Subunit Gamma Inhibitor]"	PIK3CA	"[Preclinical, Phase I]"	[CS(=O)(=O)N1CCc2c(-c3cnc(N)nc3)nc(N3CCOCC3)nc21]	1007207-67-1	1007207671	"762382, 800984"	"CH-5132799, CH-5132799"	"Clinical trial, NA"	"PK:PIK3, NA"	"ch-5132799|;ch-5132799|PA-799, NA"	", "	"name, name"	"TRUE, TRUE"
COPANLISIB	9dbf8d63143cbc8bdb77733bd0e2b90e	Copanlisib	[NCGC00346457]	Phosphatidylinositol 3-kinase Alpha Isoform Inhibitor	"[Phosphatidylinositol 3-kinase Alpha Isoform Inhibitor, Pi3k Alpha/delta Inhibitor, Phosphatidylinositol 3-kinase Delta Isoform Inhibitor]"	PIK3CA	"[Phase II, Approved]"	"[COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21, COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21.Cl.Cl]"	1032568-63-0	1032568630	809693	Copanlisib	FDA approved	PK:PIK3	bay-80-6946|copanlisib|aliqopa|SRS18	1032568630	cas	FALSE
CUDC-101	a392de6efa5ae267d661a58f1bd7016c	CUDC-101	[NCGC00263177]	Egfr (her1; Erbb1) Inhibitor	"[Egfr (her1; Erbb1) Inhibitor, Egfr Inhibitor, Epidermal Growth Factor Receptor Inhibitor, Histone Deacetylase (hdac) Inhibitor, Receptor Tyrosine-protein Kinase Erbb-2 Inhibitor]"	EGFR	"[Discontinued, Unknown, Phase I]"	"[C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)N[O-])cc23)c1.[Na+], C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1.O=C(O)CC(O)(CC(=O)O)C(=O)O, C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1, C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1.Cl, C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1.O=C(O)C(O)C(O)C(=O)O]"	1012054-59-9	1012054599	800081	CUDC-101	NA	NA	NA		name	FALSE
