cellminer_compound_name,display_name,compound_id,
Oxfendazole,oxfendazole,3b01a8c1290df87cd44bf284f04503fd,
Fenbendazole,fenbendazole,e20c20c28646747b657cb77700a60746,
Danoprevir,danoprevir,4ab410e3e9ed4cb96603deb6db5ee117,
DIOSMETIN,diosmetin,4421b50bb095d6509f2cba069fc2911f,
Brivudine,brivudine,e936b0955dcf4ea23cff843d7939eb9a,
Clinofibrate,clinofibrate,89f9ac6d89869cc981c4cf505e86b271,
Pemafibrate,pemafibrate,557eca45634f924b78b49e3e6243f4b8,
MIZOLASTINE,mizolastine,5457d5263e6e9654115b748754af5ccb,
Temocapril (hydrochloride),temocapril hydrochloride,b5e4b627606349725cd97f2fe1c73895,
Mecarbinate,mecarbinate,444f2c418b671e80d4f93f72fb9ddf32,
Rilmenidine hemifumarate,rilmenidine,0a4ebf80e936df759bb30bf967b9f1af,
Icotinib hydrochloride,icotinib,7e6d84237c0af4df6946fb88086ac8dc,
Idebenone,idebenone,26e7b77ef15e66774e53e0b3c5148fab,
CAL-101,idelalisib,9017d893047bc790a9c0b3923426a7d7,
Roxadustat,roxadustat,f388a997a507d5c8a61ba54ba7be3de3,
Edaravone,edaravone,625184eadc4314d83fd0d02059fad5d7,
Arbutin,arbutin,f88283fa40a61c5b7d4fd417ff0f7069,
Nicorandil,nicorandil,34c631cef2442b6d770b4f43ccc9d75b,
Pizotyline,pizotyline,a9186834222966e44a0dce905a032f6b,
TEGAFUR,tegafur,256e5ad3d143e2065f4db5f53d0efebb,
DOXOFYLLINE,doxofylline,63faefdd95c42ca35482d9ee0b86ef6f,
Bufexamac,bufexamac,56a2766468ddefc22852abf9a7090768,
CYTISINE,cytisine,e79c35d40ac4ae9f6b54b3cc9652bec5,
FAVIPIRAVIR,favipiravir,1e0d5d9acf4718afb71999a97fd5bd47,
Ipratropium bromide hydrate,ipratropium bromide,3683ae2e5199373f812b63779c40d9a6,
(s)-(+)-camptothecin,camptothecin,a1065bedec69f602a219ef48699a1d6a,
Sn-38,7-ethyl-10-hydroxycamptothecin,318fe15abac8f0362b01d28170252262,
CLEVUDINE,clevudine,8827c3bc7adb4780521319061ddbf19c,
Oglufanide,oglufanide,7080b9e2c04bc0e95dd59f4a4841a9b0,
Oxibendazole,oxibendazole,2d8f4e0764b249572681b9ec5ba933ab,
AMRUBICIN HYDROCHLORIDE,amrubicin,bfce914fe2017c111d22b1ae66aff4a6,
OTILONIUM BROMIDE,otilonium bromide,9ee4dec1593d24e15412152a9678d049,
Ginsenoside rb1,ginsenoside rb1,c70cdd36709227228847ce21fe9aaaea,
CHRYSOPHANOL,chrysophanol,377f518e521c85a144a0957c826f9256,
Rose bengal disodium,rose bengal,3ba44012545ae0099b5d397a3cc3b4ba,
Maltulose monohydrate,lactulose,63de8b333bba5c0abdfec4b0ca467fd2,
LETROZOLE,letrozole,802f41966c1a81e1744738cd84dd7cd4,
Loratadine,loratadine,eda0b53e83e36308e7b8df2e36cd4ef2,
Belotecan,belotecan,0033e09e12a95c7dd089d2d304cfafed,
EPIBESTATIN HYDROCHLORIDE,ubenimex,60c89e2632e4a11b857d7be948e9a5b8,
AGOMELATINE,agomelatine,cc15f21a4f8b158739f39676c8c28b3c,
Pyronaridine,pyronaridine,5f25f912fc7b4e9e13f22878586856df,
ARTEMISININ,artemisinin,9fb840f1f4d62e8896ba041b6d57efe5,
Medroxyprogesterone acetate,medroxyprogesterone acetate,592f7e098b2dc7605ffc09d34081f938,
Ido inhibitor 1,epacadostat,fda420ddbe2bd71c6a6e85b28ee6a03b,
Tibolone,tibolone,0c191a110d623f786b71abddae3cec14,
CAMOSTAT,camostat,118a6da72aec24901383eb84a440ee53,
Vosaroxin,vosaroxin,ac3ce4abf6e3f2118710340854c8ab89,
Gabexate mesilate,gabexate mesilate,1432dfff65250568eb645628be8a884d,
Olmutinib,olmutinib,845038a4a016046c67356f5b1e761ef5,
Aloin,aloin,8b260edb5ba2af7bd658cab06dcbcc25,
ROCILETINIB,rociletinib,220c5ac79602903eabb14c65536f452a,
NYSTATIN,nystatin,b9e50d294f5ee89a2b5de9454e51361f,
Lactobionic acid,lactobionic acid,43c2b3ad85c5c4d2ef7f531be443a08f,
Amorolfine hydrochloride,amorolfine hydrochloride,228893f1ec7fddb56ec9d23f4d574197,
Lornoxicam,lornoxicam,1244ce28b3438024f644bee7297edac2,
Icariin,icariin,6cfccc5ca895c40bb9e550e9285e9ced,
Ipriflavone,ipriflavone,94c7cce62fa0de77ac058fe13e25050c,
Oteracil potassium,oteracil potassium,06d639e9f28c5fccd66fe4edf0aa79ec,
Cortivazol,cortivazol,604da8a918f45884cde2fdddc7720cfa,
Exatecan,exatecan,e3737dc8c74e064728a27d2bc739f3c5,
Benserazide,benserazide,a70ede0cf27b3b359af4255253bbca67,
REBAMIPIDE,rebamipide,27129c31d0337b4afc8ee195225b74eb,
Proglumide,proglumide,e6b72d06a0183d9e0c9df63ef08d9b89,
Buflomedil hydrochloride,buflomedil hydrochloride,b6c1c4382f7d00d23dcf4e50f7c65c0a,
Oleanolic acid,oleanolic acid,1dda86a58651b169e26642a4d51d22d0,
CYCLOHEXIMIDE,cycloheximide,56d5e1ed00a9b3b1cc986d899b2c21ce,
Polymyxin b sulfate,polymyxin b sulphate,d2383bf30524ddee1ed84ea555c71c72,
Tenoxicam,tenoxicam,1037177a5bc19585208d6c52fc3acedd,
GESTODENE,gestodene,7b1b39d994d6a376ef3483a06c21e173,
Indirubin,indirubin,6474416b43412c589a0e7caffe4176a5,
TEBIPENEM PIVOXIL,tebipenem pivoxil,d5024f8facd6bf5c6f403bbb71566a4c,
Fotemustine,fotemustine,41619b78b484942891b0fbfcd4398ef0,
CRIDANIMOD,cridanimod,692e8a101c761d981a18e0a2e267d566,
ANCITABINE HYDROCHLORIDE,ancitabine hydrochloride,4cab5a0efc708d673a02fcef8e65beb1,
Niflumic acid,niflumic acid,3eb6221ce203da08828c005bb0640341,
Mizoribine,mizoribine,8f98db2540c3918af6f4b397e0f7b2d5,
ROQUINIMEX,roquinimex,827628d7f94236a59865dc6a7a9e365f,
HUPERZINE A,huperzine a,640afabdf0fffbfba9cddc14f38c4f23,
Z-PICEID,polydatin,1e9d0a87af32c8c81e76d7565af27bd4,
DEMECOLCINE,demecolcine,83c15a151055c96e845da2f1e0ba36db,
Glycyrrhetinic acid,enoxolone,cf4885a50ebc4b44a4f51a5223fd0503,
Taltirelin,taltirelin,bb67415c2c49077b69ec355850e6d88c,
Sulfadoxine,sulfadoxine,572f9dbb035a86ec2292cbf26daa6e13,
(rs)-(+/-)-sulpiride,sulpiride,733572e245e6a5aa80de479cfd48670f,
Anlotinib,catequentinib,ba720bd10fe3bbaa6252e35df5576b13,
Coenzyme q10,ubidecarenone,f33e2d7215b59ebec1ffab44ec5ab15c,
Cantharidin,cantharidin,c0f7d3ede06f1a3d554695762ca7b57f,
TAURINE,taurine,93b5deb5e001a50efb52631f4f0f6b02,
Mometasone furoate,mometasone furoate,9af36fca6860bd83a4bbdb3362aa3fb1,
Aclarubicin hydrochloride,aclarubicin,c24159c0886eaef9f97cd8669bbf4e59,
LIRANAFTATE,liranaftate,ba726fdb925f058a33777934562a525b,
Zaldaride maleate,zaldaride maleate,d3edfe158f4eea3aae460e596dc4c235,
Nimorazole,nimorazole,048d2de8c84520a580e3dc2da0800aea,
PROTHIONAMIDE,protionamide,d81c019539dfe31c469bcad17ebdf5e7,
Mitiglinide calcium,mitiglinide,2ddd2a10b64f9a45a8231a062107c51f,
Bergenin monohydrate,bergenin,5e117350cffca897f4c6ebc2fdb780fe,
UMIFENOVIR,umifenovir,cab41bf0fadde6c5d5b80cad184ff425,
Orotic acid,orotic acid,0cdfe2872638a3049b21281e94475b9c,
Marbofloxacin,marbofloxacin,de7d84b4150281aa0b7863faf8279539,
Prulifloxacin,prulifloxacin,25954251a12cede50edd162e454ffea3,
Pentagastrin,pentagastrin,6d49785457dcd4a3da45495c6e6a6dbc,
Aspartame,aspartame,7f8b01181a91667b025990bb016d3ee6,
Pranlukast hydrate,pranlukast,12cb4513789954e09a697b68ceb88f68,
NAFAMOSTAT MESYLATE,nafamostat mesilate,3875001a31f93071675e8f9631f7c5b5,
PARECOXIB SODIUM,parecoxib,a5b7f38d5bb6aff6f80a30aa14244e18,
Flunarizine,flunarizine dihydrochloride,45ff1ee8872784b377ad74356328c46a,
Acipimox,acipimox,1209c8c75af37ab8b0ef20d5d04d1ba8,
Melatonin,melatonin,55e2b6bc1789e785fc2c55cbaca0356f,
Probucol,probucol,419718927aab1be5e50ef898375ad6eb,
Butylscopolamine bromide,hyoscine n-butyl bromide,9840eb8796792f76f65930e7286429e5,
Roxithromycin,roxithromycin,254dde959332963728fa4d4cf9d8b438,
Isoconazole nitrate,isoconazole nitrate,2c0c34b844e939145016b3cbdfefc1a9,
FENTICONAZOLE NITRATE,fenticonazole nitrate,1cad381c809091ae8812e734e08b065d,
Biapenem,biapenem,bcdca2d3689474386385ffc1f867ca11,
Methyl Hesperidin,hesperidin,c9c313edf89d8860f32b723fa06d26db,
Moroxydine,moroxydine,27fda05ea719b5d00df66d0ca044a8f0,
Toceranib,toceranib,325505ac1963ffbedb41fee26f0f30ef,
339253,bml-277,577a84115c87bf1b8364ee324e27916f,
"(10R)-10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-[1,4]diazepino[5',6':4,5]thieno[3,2-f]quinolin-8-one",pf-3644022,8fcd4cb88ed762b3036cc3157c4cfc32,
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",bio,564994670290565dc7b0444fc89a7b96,
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",as-604850,55b3991ee7f164ea2d2e36ee6ecb560c,
(r)-(+)-etomoxir sodium salt,rac-etomoxir,40322af2aa035d20ae6b55655e6d4799,
(r)-pfi-2,(r)-pfi-2,f84d9786d2595a98b04ed72f60d7c865,
?-secretase inhibitor dbz,yo-01027,b64b0be30e843b2938777ba950421317,
1-(2-Fluorobenzyl)-3-Butyl-8-(N-Acetyl-4-Aminobenzyl)-Xanthine,cpepck inhibitor,ec4f86d80fa8e92ed7affb718093aca7,
17_-hydroxy Wortmannin,17-hydroxy wortmannin,a6f8f3a37c326fda84d6a418cae8955c,
2-({2-[(3-HYDROXYPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)BENZAMIDE,db-07268,43ddd282f0acdd76833d21ccc41e8754,
2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE,nvp-tae226,8486b04ce8151fdc5dac9ba62c678ebe,
"2,6-Dihydroanthra/1,9-Cd/Pyrazol-6-One",sp-600125,934adb8f825a316665b558baa327531a,
3-bdo,3-bdo,28c1bef67b154dc019e8296f2c33924f,
3-deazaneplanocin a (dznep) hydrochloride,3-deazaneplanocin a,49bb979f62b479e34b4f0e29759226eb,
3-Methyladenine,3-methyladenine,fe955e507c9a1eca3711e9b6476abb8d,
4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE,at-7867,c6a1a54dea9b252b27d8af590bb13004,
4-[3-(4-acetyl-3-hydroxy-2-propylphenoxy)propoxy]phenoxy-acetic acid,l-165041,f8aad9719fa9d1f945e15545d3945530,
4-AMINOQUINAZOLINE,4-quinazolinamine,0922eda27720c1578f1a2f0ed373f762,
5'-episilvestrol,silvestrol,add88a6e4e5278559b675cb8d8bf7d9a,
"5-hydroxymethyl tolterodine (pnu 200577, 5-hmt, 5-hm)",desfesoterodine,3f1ad872b685e305bb5f95f170954b79,
"5-QUINOXALIN-6-YLMETHYLENE-THIAZOLIDINE-2,4-DIONE",as-605240,ec2d9b76a7f52cccb7bed97a62f3fc7d,
6-Bromoindirubin-3'-acetoxime,6-bromoindirubin-3'-acetoxime,dcfae3043bb21aa688a9b7e31e506347,
7-aminocephalosporanic acid,7-aminocephalosporanic acid,ef0a6536538897c02a02f18ddc0d292d,
A 438079,a 438079,09f961911367cabdd3fd304f5118c86b,
A 740003,a 740003,a2637b305d8b7911add20293fb012106,
A 804598,a 804598,282583a2dbe3432c477e9f94c518986e,
A 839977,a-839977,cb66b8d6a38865672ac4cd282bb8a9de,
A-1210477,a-1210477,e07db19790690ef9552225d52e4db01f,
A-196,a-196,da505a4260215b75d3c78941df67b071,
A-366,a-366,3c43b4386b8c6e525dc6a61702b4508d,
A-419259,a-419259,3140000c11cbbffa248905fa691ae5a8,
A-443654,a-443654,00c0d6b7ce3e40508cb6beec5a449642,
A-66,a-66,346dac022ecab1590ce22e8a297544c6,
a-674563,a-674563,f264604c2fb2713e4afe65b47c72785f,
a-769662,a-769662,bce53fd0b75b39f8d26ea7e0ee053a4d,
a-803467,a-803467,2ca9b498553cc469d94e9eb95c0c998f,
A-83-01,a-83-01,f98c3d63d800428aa50bbd6182e636a7,
A-966492,a-966492,18656d1ffd61b02dc61d4853931a2058,
ABT-702,abt-702,90376cdc8c30c4f4ca366d66c58823c3,
AC-261066,ac-261066,2d5cc3f429f9abd24d18f4625bf37f9c,
AC-265347,ac-265347,f26514ed47b951a570edd5fd6c34a378,
Acc1 bms,acc1 bms,9dfb37ad2fbdc7ee7637078a868b1306,
Acc-789,acc-789,497629bd58e5a091e59ee522214f70fc,
Ac-sah-p53-8,ac-sah-p53-8,972f5bd77c374527df77ba9aebb25ab9,
ACY-738,acy-738,9e4f3aef762b5765313458e0be8a6a30,
Acy-775,acy-775,3746d232f96f2ee2ed6d694dac6996bc,
AEW-541,aew-541,0cb4e7cbfea433529fd697d335dcde96,
AG-041R,ag-041r,198f4c46e90783fdbc832df859e707d4,
Ag-1024,ag-1024,64db872260e13efc3bb847c6275f9e7a,
ag-490,ag-490,abfd9439ef4fa823da9184910dd35d73,
AGI-5198,agi-5198,d221c1c77f74feffd5987d540b8f3be9,
AGI-6780,agi-6780,c538e8905db58bf92f1703c11e91ae96,
AHPN,ahpn,79ca55f2ad08933dec8b385cbd8d66ca,
AIM-100,aim-100,5560ddce1248d4d16aa5136330f990ef,
Ak-7,ak-7,6e26828eed079196b9e4ba2b470142ec,
AKT inhibitor VIII,akt inhibitor viii,b5297e9ef57826078be3e3b052a6be18,
Akt-I-1,akt-i-1,1f2db2036edb4fc8bb2a696435b75d92,
"Akt-i-1,2","akt-i-1,2",b42feb5413b4823e3cf1a02aa9b8bcae,
AL-8697,al-8697,b60f235fc58f2011c0f61d0160a3ba4e,
Aloperine,aloperine,6401da29b23518d74548fa29da09ce6b,
Alw-ii-41-27,alw-ii-41-27,adf4eae4209c0d5e482f6cc22c608c0a,
AM-5992,am-5992,11e4610b47f5ca5eb954646646f26146,
AMASTATIN,amastatin,f4711b51409c690838d357b1a5886544,
Amg perk 44,amg perk 44,9bad38631633ea6024a0698586fdfe29,
Amg-1,amg-1,af3e49a50e30d1f14b27432278e2895b,
AMG-25,amg-25,0d9cb6d34657a4db84d023ac315dfcf4,
Amg-47a,amg-47a,30479f338d06f82ca9e338e6564e14fa,
AMG-51,amg-51,b6d9269f4a82048bce38e51b4021ea1b,
Amg-511,amg-511,cf54365ae8d668287148eab054c325ec,
Amg-tie2-1,amg-tie2-1,0634988051314d2a05f4a3fd1b9f273c,
Ap-768,ap-768,1ff5378b9a852ab358c703a5cedb8aca,
Apy29,apy29,72177e89b3200afb16ee3fa47c5d9405,
AQX-MN-100,aqx-mn-100,a79d229d9029162e6af78e0ad34c2045,
Ar-7,ar-7,73d19240dab6ff0781da9f26b64623ca,
Ar-c155858,ar-c155858,a5f17a02d6b576048096fcacd0b10c69,
Ars-853,ars-853,f2a65acfa764f7821b7e9daa14822253,
ARV-771,arv-771,e174197ee7aae41ca2880d2295ef4f1d,
ARV-825,arv-825,3c93959d5a74247f0587d976a8ca37ab,
As-1940477,as-1940477,27f775bf6d6033b375964a09abf12445,
AS-1949490,as-1949490,006700bba9a0c4778c62167b341245f5,
AS-252424,as-252424,62ad18aab9dbd0a40c84ddd80d79c1eb,
Asaraldehyde,asaraldehyde,f210c2a5cfc86e5ca059c2e6783a58b1,
ASR-isobudimer-SO2Ph-4-CH2OC(O)NMe2,asr-isobudimer-so2ph-4-ch2oc(o)nme2,d71e4f0f4d1106a9094d9ba619ed4cc4,
At-iap,at-iap,3de284d49f2cfa6cf9c89e7728c99822,
Aurora a inhibitor i,aurora a inhibitor i,875415d128499765cde8152a8301fba3,
AZ 10606120,az 10606120,264d3632351e778ba22a96136a5c6208,
AZ-191,az-191,586f5d0d3dbfa54cd8e7d8e598e0115e,
