pert_iname,clinical_phase,moa,target,disease_area,indication,matching_in_cellminercdb,kw_matching,
PI3K-IN-2,Phase 2,PI3K inhibitor,,,,FALSE,bimiralisib,
4-methylgenistein,Preclinical,protein tyrosine kinase inhibitor,CYP19A1|ESRRA|ESRRB|ESRRG|FASN,,,FALSE,biochanin a,
blebbistatin-(-),Preclinical,ATPase inhibitor,,,,FALSE,(-)-blebbistatin,
brefeldin-A,Preclinical,protein synthesis inhibitor,ARF1|CYTH2,,,FALSE,brefeldin a,
buthionine-sulfoximine,Phase 1,glutathione transferase inhibitor,GCLM,,,FALSE,buthionine sulfoximine,
ZK-811752,Phase 2,CC chemokine receptor antagonist,CCR1,,,FALSE,bx-471,
caffeic-acid,Preclinical,HIV integrase inhibitor|lipoxygenase inhibitor|nitric oxide production inhibitor|tumor necrosis factor production inhibitor,ALOX5|MIF,,,FALSE,caffeic acid,
cholecalciferol,Launched,,VDR,endocrinology,vitamin D deficiency,FALSE,,
INC-280,Phase 3,c-Met inhibitor,MET,,,FALSE,capmatinib,
CCT129202,Preclinical,Aurora kinase inhibitor,AURKA|AURKB|AURKC,,,FALSE,cct-129202,
CCT137690,Preclinical,Aurora kinase inhibitor,AURKA|AURKB|AURKC,,,FALSE,cct-137690,
cefditoren-pivoxil,Launched,bacterial cell wall synthesis inhibitor,,infectious disease|pulmonary|otolaryngology,pneumonia|bronchitis|skin infections|tonsillitis|pharyngitis,FALSE,cefditoren pivoxil,
levocetirizine,Launched,histamine receptor antagonist,HRH1,allergy,allergic rhinitis|urticaria,FALSE,cetirizine hydrochloride,
CH5132799,Phase 1,PI3K inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG,,,FALSE,ch-5132799,
chloramphenicol-palmitate,Launched,protein synthesis inhibitor,,infectious disease|endocrinology,meningitis|fever|cholera,FALSE,chloramphenicol palmitate,
clindamycin-phosphate,Launched,protein synthesis inhibitor,,obstetrics/gynecology,bacterial vaginosis,FALSE,clindamycin hydrochloride,clindamycin palmitate
clobetasol-propionate,Launched,glucocorticoid receptor agonist,NR3C1|PLA2G1B,dermatology,corticosteroid-responsive dermatoses,FALSE,clobetasol propionate,
crizotinib-(S),Preclinical,MTH1 inhibitor,NUDT1,,,SYN,crizotinib,
CHIR-98014,Preclinical,glycogen synthase kinase inhibitor,GSK3A|GSK3B,,,FALSE,ct-98014,
cyclosporin-A,Launched,calcineurin inhibitor,ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3CA|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3,rheumatology|dermatology,rheumatoid arthritis|psoriasis,FALSE,cyclosporine,
cyclovirobuxin-D,Preclinical,calcium channel modulator,,,,FALSE,cyclovirobuxin d,
cyproterone-acetate,Launched,androgen receptor antagonist,ADORA1|AR,oncology,prostate cancer,FALSE,cyproterone acetate,
NVP-BEZ235,Phase 3,mTOR inhibitor|PI3K inhibitor,ATR|MTOR|PIK3CA|PIK3CD|PIK3CG,,,FALSE,dactolisib,
digitoxin,Launched,ATPase inhibitor,ATP1A1|ATP1A2|ATP1A3|ATP1A4|ATP1B1|ATP1B2|ATP1B3|FXYD2,cardiology,congestive heart failure|cardiac arrythmia,SYN,digoxin,
dolastatin-10,Phase 2,tubulin polymerization inhibitor,TUBB,,,FALSE,dolastatin 10,
epothilone-A,Preclinical,microtubule stabilizing agent,,,,FALSE,epothilone a,
epothilone-D,Phase 2,microtubule stabilizing agent|tubulin polymerization inhibitor,TUBB,,,FALSE,epothilone d,
estramustine-phosphate,Launched,DNA synthesis inhibitor|microtubule inhibitor,ESR1|ESR2|MAP1A|MAP2,oncology,prostate cancer,SYN,estramustine phosphate,
ethinyl-estradiol,Launched,estrogen receptor agonist|estrogenic hormone,ESR1|ESR2|NR1I2,endocrinology,contraceptive,FALSE,ethinyl estradiol,
etoposide-phosphate,Launched,topoisomerase inhibitor,TOP2A,oncology,testicular carcinoma|small cell lung cancer,SYN,etoposide,
exatecan-mesylate,Phase 3,topoisomerase inhibitor,TOP1,,,FALSE,exatecan,
fludarabine-phosphate,Launched,ribonucleotide reductase inhibitor,POLA1|POLD1|POLE|RRM1|RRM2|RRM2B,hematologic malignancy,chronic lymphocytic leukemia (CLL),SYN,fludarabine,
fluocinolone-acetonide,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6,dermatology,seborrheic dermatitis,FALSE,fluocinolone acetonide,
fluticasone-propionate,Launched,glucocorticoid receptor agonist,NR3C1|NR3C2|PGR|PLA2G4A,dermatology,corticosteroid-responsive dermatoses,FALSE,fluticasone propionate,
crystal-violet,Launched,other antibiotic,,,,FALSE,gentian violet,
ginkgolide-A,Preclinical,GABA receptor antagonist,GLRA1|GLRB,,,FALSE,ginkgolide a,
GSK1292263,Phase 2,glucose dependent insulinotropic receptor agonist,GRPR,,,FALSE,gsk-1292263,
GSK256066,Phase 2,phosphodiesterase inhibitor,PDE4A,,,FALSE,gsk-256066,
GSK2656157,Preclinical,PERK inhibitor,,,,FALSE,gsk-2656157,
GW-3965,Preclinical,LXR agonist,NR1H2|NR1H3,,,FALSE,gsk-3965,
GW-441756,Preclinical,growth factor receptor inhibitor,NTRK1,,,FALSE,gw441756x,
GW-842166,Phase 2,cannabinoid receptor agonist,CNR2,,,FALSE,gw842166,
GZD824,Preclinical,Bcr-Abl kinase inhibitor,ABL1|BCR,,,FALSE,gzd-824,
butylscopolamine-bromide,Launched,cholinergic receptor antagonist,,gastroenterology,abdominal pain,FALSE,hyoscine n-butyl bromide,
ingenol-mebutate,Launched,PKC activator,PRKCA|PRKCB|PRKCD|PRKCE|PRKCG,dermatology,actinic keratosis (AK),FALSE,ingenol mebutate,
JQ1-(+),Preclinical,bromodomain inhibitor,BRD4|BRDT,,,FALSE,jq1,
KD025,Phase 2,rho associated kinase inhibitor,ROCK2,,,FALSE,kd-025,
KY02111,Preclinical,WNT pathway inhibitor,DKK1,,,FALSE,ky-02111,
lappaconite,Phase 2,sodium channel blocker,,,,FALSE,lappaconitine,
LY2334737,Phase 1,antitumor agent|ribonucleotide reductase inhibitor,,,,FALSE,ly-2334737,
mitomycin-C,Launched,DNA alkylating agent|DNA synthesis inhibitor,,oncology,pancreatic cancer|gastric adenocarcinoma,FALSE,mitomycin,
ixazomib-citrate,Launched,proteasome inhibitor,,hematologic malignancy,multiple myeloma,FALSE,mln-9708,
mycophenolate-mofetil,Launched,dehydrogenase inhibitor|inositol monophosphatase inhibitor,IMPDH1|IMPDH2,transplant,organ rejection,FALSE,mycophenolate mofetil,
mycophenolic-acid,Launched,dehydrogenase inhibitor|inositol monophosphatase inhibitor,IMPDH1|IMPDH2,transplant,organ rejection,FALSE,mycophenolic acid,
RG108,Preclinical,DNA methyltransferase inhibitor,DNMT1|DNMT3B,,,FALSE,nsc-401077,
oleanolic-acid,Preclinical,G protein-coupled receptor agonist,GPBAR1,,,FALSE,oleanolic acid,
oligomycin-A,Preclinical,ATP synthase inhibitor|ATPase inhibitor,ATP5A1,,,FALSE,oligomycin a,
oseltamivir-phosphate,Launched,neuraminidase inhibitor,CES1|NEU1|NEU2,infectious disease,influenza A virus infection,FALSE,oseltamivir phosphate,
"CP-945,598",Phase 3,cannabinoid receptor antagonist,CNR1,,,FALSE,otenabant,
oxonic-acid,Preclinical,uricase inhibitor,,,,FALSE,oteracil potassium,
OTS167,Phase 1/Phase 2,maternal embryonic leucine zipper kinase inhibitor,MELK,,,FALSE,ots-167,
aminophylline,Launched,adenosine receptor antagonist,ADORA1|ADORA2A|ADORA2B|ADORA3|HDAC2|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A,pulmonary,asthma|bronchitis|emphysema,FALSE,oxtriphylline,
rheochrysidin,Preclinical,protein tyrosine kinase inhibitor,PTPN1,,,FALSE,parietin,
parthenolide-(-),Preclinical,NFkB pathway inhibitor,HDAC1,,,SYN,parthenolide,
epothilone-B,Phase 3,microtubule stabilizing agent|tubulin polymerization inhibitor,TUBB,,,FALSE,patupilone,
penicillamine-(D),Launched,chelating agent,,metabolism|rheumatology|nephrology,Wilson's disease|rheumatoid arthritis|cystinuria,FALSE,penicillamine,
prednisolone-acetate,Launched,glucocorticoid receptor agonist,NR3C1,ophthalmology|dermatology|infectious disease,conjunctivitis|rosacea|punctate keratitis|shingles|iritis|cyclitis,FALSE,prednisolone acetate,
PRT062607,Phase 2,SYK inhibitor,FGR|MAP3K9|SYK,,,FALSE,prt-062607,
R406,Phase 1,SYK inhibitor,RET|SYK,,,FALSE,r-406,
P276-00,Phase 2,CDK inhibitor,CDK1|CDK4|CDK9,,,FALSE,riviciclib,
bisindolylmaleimide-IX,Preclinical,PKC inhibitor,AKT1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1|SIRT1,,,FALSE,ro-31-8425,
FG-4592,Phase 3,hypoxia inducible factor prolyl hydroxylase inhibitor,EGLN1|EGLN2|EGLN3,,,FALSE,roxadustat,
MLN0128,Phase 2,mTOR inhibitor,MTOR|PIK3CA|PIK3CD|PIK3CG,,,FALSE,sapanisertib,
SAR131675,Preclinical,VEGFR inhibitor,FLT4,,,FALSE,sar-131675,
SID-7969543,Preclinical,steroidogenic factor antagonist,NR5A1,,,FALSE,sid 7969543,
PSI-7976,Preclinical,HCV inhibitor,,,,FALSE,sofosbuvir,
stemregenin-1,Preclinical,aryl hydrocarbon receptor antagonist,AHR,,,FALSE,stemregenin 1,
tanshinone-I,Phase 2,AP inhibitor,IFNG,,,FALSE,tanshinone i,
telotristat-ethyl,Launched,tryptophan hydroxylase inhibitor,TPH1,gastroenterology,diarrhea,FALSE,telotristat etiprate,
torin-1,Preclinical,mTOR inhibitor,MTOR,,,FALSE,torin1,
torasemide,Launched,electrolyte reabsorption inhibitor|thromboxane receptor antagonist,SLC12A1,cardiology,edema|congestive heart failure|hypertension,FALSE,torsemide,
triamcinolone-acetonide,Launched,glucocorticoid receptor agonist|immunosuppressant,NR3C1|SERPINA6,dermatology,corticosteroid-responsive dermatoses,SYN,triamcinolone acetonide,
trichostatin-a,Phase 1,HDAC inhibitor,HDAC1|HDAC10|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,,,FALSE,trichostatin a,
UNC0631,Preclinical,histone lysine methyltransferase inhibitor,EHMT2,,,FALSE,unc-0631,
SC-12267,Phase 2,dihydroorotate dehydrogenase inhibitor,IL17A,,,FALSE,vidofludimus,
voreloxin,Phase 3,topoisomerase inhibitor,TOP2A,,,FALSE,vosaroxin,
WP1066,Phase 1,STAT inhibitor,STAT3,,,FALSE,wp 1066,
WZ8040,Preclinical,EGFR inhibitor,EGFR,,,FALSE,wz-8040,
XL388,Preclinical,mTOR inhibitor,MTOR,,,FALSE,xl-388,
ribitol,Preclinical,,,,,FALSE,xylitol,
12-O-tetradecanoylphorbol-13-acetate,Phase 2,PKC activator,KCNT2|TRPV4,,,FALSE,,
1-azakenpaullone,Preclinical,glycogen synthase kinase inhibitor,CCNB1|CDK1|CDK5|GSK3B,,,FALSE,,
1-naphthyl-PP1,Preclinical,SRC inhibitor,SRC,,,FALSE,,
1-phenylbiguanide,Preclinical,serotonin receptor agonist,HTR3A|HTR3B,,,FALSE,,
"2,3-DCPE",Preclinical,BCL-XL downregulator,BCL2L1,,,FALSE,,
2'-MeCCPA,Preclinical,adenosine receptor agonist,ADORA1,,,FALSE,,
"3,4-methylenedioxy-beta-nitrostyrene",Preclinical,SRC inhibitor|SYK inhibitor,SRC|SYK,,,FALSE,,
3-deazaneplanocin-A,Preclinical,histone lysine methyltransferase inhibitor,EZH2,,,FALSE,,
3'-fluorobenzylspiperone,Preclinical,dopamine receptor ligand,DRD2,,,FALSE,,
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,Preclinical,serotonin receptor antagonist,HTR2A,,,FALSE,,
4-chlorophenylguanidine,Preclinical,urokinase inhibitor,PLAUR,,,FALSE,,
4E1RCat,Preclinical,protein synthesis inhibitor,EIF4E|EIF4G1,,,FALSE,,
4-hydroxy-phenazone,Preclinical,,,,,FALSE,,
4-iodo-6-phenylpyrimidine,Preclinical,macrophage migration inhibiting factor inhibitor,MIF,,,FALSE,,
4-methylhistamine,Preclinical,histamine receptor agonist,HRH4,,,FALSE,,
4-pyrimidinecarbonitrile,Preclinical,,,,,FALSE,,
5-hydroxymethyl-tolterodine,Phase 1,acetylcholine receptor antagonist,CHRM3,,,FALSE,,
7-aminocephalosporanic-acid,Preclinical,beta lactamase inhibitor,,,,FALSE,,
7-nitroindazole,Preclinical,nitric oxide synthase inhibitor,NOS1|NOS2|NOS3,,,FALSE,,
8-bromo-cGMP,Preclinical,PKA activator,PRKG1,,,FALSE,,
8-hydroxy-PIPAT,Preclinical,dopamine receptor ligand,DRD2|DRD3,,,FALSE,,
9-aminoacridine,Preclinical,,,,,FALSE,,
A61603,Preclinical,adrenergic receptor agonist,ADRA1A,,,FALSE,,
AC-264613,Preclinical,PAR agonist,F2RL1,,,FALSE,,
ACDPP,Preclinical,glutamate receptor antagonist,GRM5,,,FALSE,,
acesulfame-potassium,Phase 3,,,,,FALSE,,
acetazolamide,Launched,carbonic anhydrase inhibitor,AQP1|CA1|CA12|CA14|CA2|CA3|CA4|CA7,ophthalmology,glaucoma,FALSE,,
acetophenazine,Launched,dopamine receptor antagonist,DRD1|DRD2,neurology/psychiatry,psychosis,FALSE,,
acetylsalicylsalicylic-acid,Preclinical,cyclooxygenase inhibitor,,,,FALSE,,
acivicin,Phase 2,gamma glutamyltransferase inhibitor,CTPS1,,,FALSE,,
adaprev,Phase 3,TGF beta receptor inhibitor,AKR1B1|GPI|HK1|M6PR|PYGM,,,FALSE,,
adarotene,Phase 1,retinoid receptor agonist,RARB|RARG,,,FALSE,,
AEG3482,Preclinical,HSP inducer,,,,FALSE,,
afobazole,Launched,anxiolytic,,neurology/psychiatry,anxiety,FALSE,,
ajmaline,Launched,sodium channel blocker,,cardiology,Wolff-Parkinson-White Syndrome (WPW),FALSE,,
alexidine,Preclinical,phosphatidylglycerophosphatase inhibitor,PTPMT1,,,FALSE,,
alfacalcidol,Launched,vitamin D receptor agonist,CYP27B1|VDR,endocrinology,vitamin D deficiency,FALSE,,
almorexant,Phase 3,orexin receptor antagonist,HCRTR1|HCRTR2,,,FALSE,,
alogliptin,Launched,dipeptidyl peptidase inhibitor,DPP4,endocrinology,diabetes mellitus,FALSE,,
AM095,Preclinical,lysophosphatidic acid receptor antagonist,,,,FALSE,,
AM-251,Preclinical,cannabinoid receptor antagonist,CNR1|GPR18|GPR55,,,FALSE,,
AM-404,Preclinical,cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist,CNR1|CNR2|FAAH|TRPV1,,,FALSE,,
AM-580,Preclinical,retinoid receptor agonist,RARA,,,FALSE,,
ambazone,Phase 1,DNA damage inducer,,,,FALSE,,
amfenac,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,neurology/psychiatry,pain relief,FALSE,,
aminopurvalanol-a,Preclinical,CDK inhibitor|tyrosine kinase inhibitor,CDK1|CDK2|CDK5,,,FALSE,,
ammonium-lactate,Launched,,HCAR1,dermatology,xerosis cutis|ichthyosis vulgaris,FALSE,,
amprolium,Launched,thiamine uptake blocker,,infectious disease,coccidiosis,FALSE,,
anguidine,Phase 2,protein synthesis inhibitor,SLC5A1,,,FALSE,,
anisomycin,Preclinical,DNA synthesis inhibitor,NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1,,,FALSE,,
AP1903,Phase 1/Phase 2,,MTOR,,,FALSE,,
aphidicolin,Phase 1,RNA synthesis inhibitor,,,,FALSE,,
arctigenin,Preclinical,MEK inhibitor,CHUK|MAP2K1,,,FALSE,,
arcyriaflavin-a,Preclinical,CDK inhibitor,CCND1|CDK4,,,FALSE,,
astemizole,Withdrawn,histamine receptor antagonist,HRH1|KCNH1|KCNH2,,,FALSE,,
asymmetrical-dimethylarginine,Phase 1,nitric oxide synthase inhibitor,NOS2|NOS3,,,FALSE,,
atenolol-(-),Launched,adrenergic receptor antagonist,,cardiology,hypertension,FALSE,,
atenolol-(+/-),Launched,adrenergic receptor antagonist,ADRB1|ADRB2|LTF|PLA2G2E,cardiology,hypertension|angina pectoris,FALSE,,
atipamezole,Launched,adrenergic receptor antagonist,,neurology/psychiatry,reverse sedative,FALSE,,
avanafil,Launched,phosphodiesterase inhibitor,PDE5A,urology,erectile dysfunction,FALSE,,
AZ20,Preclinical,ATR kinase inhibitor,ATR|MTOR,,,FALSE,,
azilsartan,Launched,angiotensin receptor antagonist,AGTR1|AGTR2,cardiology,hypertension,FALSE,,
azodicarbonamide,Phase 2,DNA synthesis inhibitor,,,,FALSE,,
balapiravir,Phase 2,RNA polymerase inhibitor,,,,FALSE,,
BAN-ORL-24,Preclinical,nociceptin/orphanin FQ receptor antagonist,OPRL1,,,FALSE,,
BAY-11-7082,Preclinical,NFkB pathway inhibitor,RELA,,,FALSE,,
BAY-11-7085,Preclinical,NFkB pathway inhibitor,NFKBIA,,,FALSE,,
BAY-87-2243,Phase 1,hypoxia inducible factor inhibitor,HIF1A,,,FALSE,,
BAY-K-8644-(s)-(-),Preclinical,L-type calcium channel activator,CACNA1C,,,FALSE,,
beclomethasone-dipropionate,Launched,glucocorticoid receptor agonist,GPR97|NR3C1,allergy,allergic rhinitis,FALSE,,
bekanamycin,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease,gram-negative bacterial infections,FALSE,,
bendroflumethiazide,Launched,sodium/potassium/chloride transporter inhibitor,SLC12A1|SLC12A3,cardiology,hypertension,FALSE,,
benfotiamine,Launched,antioxidant,AGER,rheumatology,lumbago,FALSE,,
benzethonium,Launched,sodium channel blocker,SCN10A,infectious disease,first-aid antiseptic,FALSE,,
benzocaine,Launched,sodium channel blocker,SCN10A,infectious disease,first-aid antiseptic,FALSE,,
benzydamine,Launched,prostanoid receptor antagonist,,dental|otolaryngology,mouth inflammation|throat inflammation,FALSE,,
benzyldimethylhexadecylammonium,Preclinical,cationic surfactant,,,,FALSE,,
bephenium-hydroxynaphthoate,Launched,anthelmintic agent,,infectious disease,ascariasis,FALSE,,
beta-naphthol,Preclinical,,,,,FALSE,,
BIBU-1361,Preclinical,EGFR inhibitor,EGFR,,,FALSE,,
BIBX-1382,Phase 1,EGFR inhibitor,EGFR|ERBB2,,,FALSE,,
bifemelane,Launched,acetylcholine release enhancer,MAOA|MAOB,ophthalmology|neurology/psychiatry,glaucoma|senile dementia,FALSE,,
bis(maltolato)oxovanadium(IV),Phase 2,tyrosine phosphatase inhibitor,PTPN1,,,FALSE,,
bitopertin,Phase 3,glycine transporter inhibitor,SLC6A5|SLC6A9,,,FALSE,,
BMS-626529,Phase 3,HIV attachment inhibitor,,,,FALSE,,
BNC105,Phase 2,tubulin polymerization inhibitor,,,,FALSE,,
BNTX,Preclinical,opioid receptor antagonist,OPRD1|OPRK1|OPRM1,,,FALSE,,
bosentan,Launched,endothelin receptor antagonist,EDNRA|EDNRB,pulmonary,pulmonary arterial hypertension (PAH),FALSE,,
brilliant-green,Launched,,,infectious disease,antiseptic,FALSE,,
bromosporine,Preclinical,bromodomain inhibitor,,,,FALSE,,
broxaldine,Preclinical,,,,,FALSE,,
broxyquinoline,Phase 1,antiprotozoal agent,,,,FALSE,,
BTS-54505,Withdrawn,dopamine reuptake inhibitor,SLC6A2|SLC6A3|SLC6A4,,,FALSE,,
bucladesine,Launched,adenosine receptor agonist|cAMP stimulant,PRKACA,dermatology,skin ulcer,FALSE,,
buphenine,Launched,adrenergic receptor agonist,ADRB2,rheumatology,Raynaud's disease,FALSE,,
butamben,Withdrawn,sodium channel blocker,,,,FALSE,,
BVT-948,Preclinical,tyrosine phosphatase inhibitor,PTPN1|PTPN11|PTPN2,,,FALSE,,
BW-180C,Phase 2,opioid receptor agonist,OPRD1|OPRM1,,,FALSE,,
caffeic-acid-phenethyl-ester,Preclinical,HIV integrase inhibitor,RELA,,,FALSE,,
calcium-gluceptate,Launched,,,,,FALSE,,
camylofine-chlorhydrate,Launched,,,gastroenterology,abdominal pain,FALSE,,
candesartan,Launched,angiotensin receptor antagonist,AGTR1,cardiology,hypertension|congestive heart failure,FALSE,,
canrenone,Withdrawn,mineralocorticoid receptor antagonist,NR3C2,,,FALSE,,
captamine,Preclinical,,,,,FALSE,,
carbachol,Launched,cholinergic receptor agonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA2,ophthalmology,intraocular pressure,FALSE,,
carboxypyridine-disulfide,Phase 2,,,,,FALSE,,
cariporide,Phase 3,sodium/hydrogen exchanger inhibitor,SLC9A1,,,FALSE,,
CB-10-277,Phase 1,DNA synthesis inhibitor,,,,FALSE,,
CCG-50014,Preclinical,G protein signaling inhibitor,RGS4|RGS8,,,FALSE,,
CCMI,Preclinical,acetylcholine receptor allosteric modulator,CHRNA7,,,FALSE,,
cefpiramide,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-negative bacterial infections,FALSE,,
cetrimonium,Launched,,,dermatology,cosmetic,FALSE,,
cetylpyridinium,Launched,,,dental,gingivitis|mouth inflammation,FALSE,,
CGP-37849,Phase 1,glutamate receptor antagonist,GRIN2A|GRIN2B|GRIN2C|GRIN2D,,,FALSE,,
CGP-52411,Preclinical,EGFR inhibitor,EGFR,,,FALSE,,
CGP-54626,Preclinical,GABA receptor antagonist,GABBR1|GABBR2|KCTD12|KCTD16|KCTD8,,,FALSE,,
CGS-15943,Preclinical,adenosine receptor antagonist,ADORA1|ADORA2A|ADORA2B|ADORA3,,,FALSE,,
CGS-20625,Phase 1,benzodiazepine receptor agonist|GABA benzodiazepine site receptor partial agonist,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6,,,FALSE,,
chicago-sky-blue-6b,Preclinical,glutamate inhibitor|macrophage migration inhibiting factor inhibitor,MIF,,,FALSE,,
chlorindanol,Preclinical,,,,,FALSE,,
chlormidazole,Launched,fungal lanosterol demethylase inhibitor,,infectious disease,fungal infection,FALSE,,
chlorogenic-acid,Launched,antioxidant,SLC37A4,neurology/psychiatry|pulmonary|allergy,headache|chest congestion|allergic rhinitis,FALSE,,
chlorpropamide,Launched,ATP channel blocker,ABCC8|KCNJ10,endocrinology,diabetes mellitus,FALSE,,
chlorpyrifos,Launched,acetylcholinesterase inhibitor,ACHE,,,FALSE,,
chlorquinaldol,Launched,other antibiotic,,infectious disease,fungal infection,FALSE,,
chromium-picolinate,Launched,insulin sensitizer,,endocrinology,diabetes mellitus,FALSE,,
chromocarb,Launched,antispasmodic,,,,FALSE,,
CI-844,Phase 2,,,,,FALSE,,
cibenzoline,Launched,sodium channel blocker,,cardiology,cardiac arrythmia,FALSE,,
CID-5458317,Preclinical,MAP kinase phosphatase inhibitor,MAPK3,,,FALSE,,
cilostamide,Preclinical,phosphodiesterase inhibitor,PDE3A|PDE3B,,,FALSE,,
cinalukast,Phase 2,leukotriene receptor antagonist,CYSLTR1,,,FALSE,,
cinnarazine,Launched,calcium channel blocker,,neurology/psychiatry|gastroenterology|ophthalmology,Meniere's disease|nausea|vomiting|Cogan's syndrome,FALSE,,
cinromide,Phase 3,,,,,FALSE,,
CL-218872,Phase 1,benzodiazepine receptor agonist,GABRA1|GABRA2|GABRA3|GABRA5|GABRB2|GABRG2,,,FALSE,,
clebopride,Launched,dopamine receptor antagonist,ACHE|DRD2,gastroenterology,nausea,FALSE,,
clenbuterol,Launched,adrenergic receptor agonist,ABCC8|ADRB2|KCNJ11,pulmonary,chronic obstructive pulmonary disease (COPD)|asthma,FALSE,,
clobutinol,Withdrawn,antitussive,,,,FALSE,,
clocortolone-pivalate,Launched,steroid,NR3C1|PLA2G1B,dermatology,corticosteroid-responsive dermatoses,FALSE,,
clofazimine,Launched,GK0582 inhibitor,,infectious disease,leprosy,FALSE,,
clofoctol,Launched,protein synthesis inhibitor,,infectious disease,gram-positive bacterial infections,FALSE,,
clopamide,Launched,sodium/chloride cotransporter inhibitor,,cardiology,hypertension,FALSE,,
CMPD-1,Preclinical,p38 MAPK inhibitor,GNRHR|MAPK14,,,FALSE,,
cobicistat,Launched,cytochrome P450 inhibitor,CYP3A4|CYP3A43|CYP3A5|CYP3A7,infectious disease,human immunodeficiency virus (HIV-1),FALSE,,
colforsin-daproate,Launched,adenylyl cyclase activator,,,,FALSE,,
colfosceril-palmitate,Launched,pulmonary surfactant,,pulmonary,respiratory distress syndrome (RDS),FALSE,,
combretastatin-A-4,Phase 2,tubulin polymerization inhibitor,,,,FALSE,,
CPP,Phase 2,glutamate receptor antagonist,GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D,,,FALSE,,
CR8-(R),Preclinical,CDK inhibitor,CCNA2,,,FALSE,,
creatine,Launched,,CKB|CKM|CKMT1A|CKMT2|GAMT|SLC6A8,,,FALSE,,
